distid,createdts,sn,tplg_node_sta_num,tplg_node_type,tplg_node_son
DEV_001_2024-09-19 08:00:00,2024-09-19 08:00:00,DEV_001,73,95,48
DEV_001_2024-09-19 12:00:00,2024-09-19 12:00:00,DEV_001,27,20,50
DEV_001_2024-09-19 16:00:00,2024-09-19 16:00:00,DEV_001,11,17,50
DEV_001_2024-09-19 20:00:00,2024-09-19 20:00:00,DEV_001,28,50,3
DEV_001_2024-09-20 00:00:00,2024-09-20 00:00:00,DEV_001,67,86,16
DEV_001_2024-09-20 04:00:00,2024-09-20 04:00:00,DEV_001,10,54,66
DEV_001_2024-09-20 08:00:00,2024-09-20 08:00:00,DEV_001,49,46,76
DEV_001_2024-09-20 12:00:00,2024-09-20 12:00:00,DEV_001,56,14,16
DEV_001_2024-09-20 16:00:00,2024-09-20 16:00:00,DEV_001,75,39,60
DEV_001_2024-09-20 20:00:00,2024-09-20 20:00:00,DEV_001,41,23,29
DEV_001_2024-09-21 00:00:00,2024-09-21 00:00:00,DEV_001,11,10,64
DEV_001_2024-09-21 04:00:00,2024-09-21 04:00:00,DEV_001,16,15,56
DEV_001_2024-09-21 08:00:00,2024-09-21 08:00:00,DEV_001,63,25,34
DEV_001_2024-09-21 12:00:00,2024-09-21 12:00:00,DEV_001,68,76,80
DEV_001_2024-09-21 16:00:00,2024-09-21 16:00:00,DEV_001,86,58,6
DEV_001_2024-09-21 20:00:00,2024-09-21 20:00:00,DEV_001,33,19,15
DEV_001_2024-09-22 00:00:00,2024-09-22 00:00:00,DEV_001,92,80,39
DEV_001_2024-09-22 04:00:00,2024-09-22 04:00:00,DEV_001,44,60,46
DEV_001_2024-09-22 08:00:00,2024-09-22 08:00:00,DEV_001,71,89,36
DEV_001_2024-09-22 12:00:00,2024-09-22 12:00:00,DEV_001,76,34,67
DEV_001_2024-09-22 16:00:00,2024-09-22 16:00:00,DEV_001,58,12,41
DEV_001_2024-09-22 20:00:00,2024-09-22 20:00:00,DEV_001,20,25,93
DEV_001_2024-09-23 00:00:00,2024-09-23 00:00:00,DEV_001,94,92,19
DEV_001_2024-09-23 04:00:00,2024-09-23 04:00:00,DEV_001,49,2,21
DEV_001_2024-09-23 08:00:00,2024-09-23 08:00:00,DEV_001,63,13,48
DEV_001_2024-09-23 12:00:00,2024-09-23 12:00:00,DEV_001,41,78,31
DEV_001_2024-09-23 16:00:00,2024-09-23 16:00:00,DEV_001,81,76,80
DEV_001_2024-09-23 20:00:00,2024-09-23 20:00:00,DEV_001,23,80,85
DEV_001_2024-09-24 00:00:00,2024-09-24 00:00:00,DEV_001,45,38,75
DEV_001_2024-09-24 04:00:00,2024-09-24 04:00:00,DEV_001,12,90,90
DEV_001_2024-09-24 08:00:00,2024-09-24 08:00:00,DEV_001,98,16,15
DEV_001_2024-09-24 12:00:00,2024-09-24 12:00:00,DEV_001,70,10,46
DEV_001_2024-09-24 16:00:00,2024-09-24 16:00:00,DEV_001,83,6,98
DEV_001_2024-09-24 20:00:00,2024-09-24 20:00:00,DEV_001,11,3,12
DEV_001_2024-09-25 00:00:00,2024-09-25 00:00:00,DEV_001,33,31,40
DEV_001_2024-09-25 04:00:00,2024-09-25 04:00:00,DEV_001,55,26,97
DEV_001_2024-09-25 08:00:00,2024-09-25 08:00:00,DEV_001,73,94,7
DEV_001_2024-09-25 12:00:00,2024-09-25 12:00:00,DEV_001,10,40,18
DEV_001_2024-09-25 16:00:00,2024-09-25 16:00:00,DEV_001,42,81,28
DEV_001_2024-09-25 20:00:00,2024-09-25 20:00:00,DEV_001,7,26,14
DEV_001_2024-09-26 00:00:00,2024-09-26 00:00:00,DEV_001,67,33,8
DEV_001_2024-09-26 04:00:00,2024-09-26 04:00:00,DEV_001,97,39,43
DEV_001_2024-09-26 08:00:00,2024-09-26 08:00:00,DEV_001,29,8,37
DEV_001_2024-09-26 12:00:00,2024-09-26 12:00:00,DEV_001,24,14,77
DEV_001_2024-09-26 16:00:00,2024-09-26 16:00:00,DEV_001,70,45,71
DEV_001_2024-09-26 20:00:00,2024-09-26 20:00:00,DEV_001,85,67,38
DEV_001_2024-09-27 00:00:00,2024-09-27 00:00:00,DEV_001,86,77,52
DEV_001_2024-09-27 04:00:00,2024-09-27 04:00:00,DEV_001,58,36,31
DEV_001_2024-09-27 08:00:00,2024-09-27 08:00:00,DEV_001,29,14,41
DEV_001_2024-09-27 12:00:00,2024-09-27 12:00:00,DEV_001,14,51,57
DEV_001_2024-09-27 16:00:00,2024-09-27 16:00:00,DEV_001,5,2,82
DEV_001_2024-09-27 20:00:00,2024-09-27 20:00:00,DEV_001,17,62,57
DEV_001_2024-09-28 00:00:00,2024-09-28 00:00:00,DEV_001,40,6,92
DEV_001_2024-09-28 04:00:00,2024-09-28 04:00:00,DEV_001,19,92,48
DEV_001_2024-09-28 08:00:00,2024-09-28 08:00:00,DEV_001,26,68,47
DEV_001_2024-09-28 12:00:00,2024-09-28 12:00:00,DEV_001,96,80,6
DEV_001_2024-09-28 16:00:00,2024-09-28 16:00:00,DEV_001,19,16,87
DEV_001_2024-09-28 20:00:00,2024-09-28 20:00:00,DEV_001,40,10,21
DEV_001_2024-09-29 00:00:00,2024-09-29 00:00:00,DEV_001,81,83,27
DEV_001_2024-09-29 04:00:00,2024-09-29 04:00:00,DEV_001,19,14,55
DEV_001_2024-09-29 08:00:00,2024-09-29 08:00:00,DEV_001,68,92,73
DEV_001_2024-09-29 12:00:00,2024-09-29 12:00:00,DEV_001,34,24,48
DEV_001_2024-09-29 16:00:00,2024-09-29 16:00:00,DEV_001,88,71,89
DEV_001_2024-09-29 20:00:00,2024-09-29 20:00:00,DEV_001,36,82,60
DEV_001_2024-09-30 00:00:00,2024-09-30 00:00:00,DEV_001,9,18,25
DEV_001_2024-09-30 04:00:00,2024-09-30 04:00:00,DEV_001,59,61,79
DEV_001_2024-09-30 08:00:00,2024-09-30 08:00:00,DEV_001,71,8,7
DEV_001_2024-09-30 12:00:00,2024-09-30 12:00:00,DEV_001,16,87,50
DEV_001_2024-09-30 16:00:00,2024-09-30 16:00:00,DEV_001,80,37,35
DEV_001_2024-09-30 20:00:00,2024-09-30 20:00:00,DEV_001,84,25,44
DEV_001_2024-10-01 00:00:00,2024-10-01 00:00:00,DEV_001,50,80,88
DEV_001_2024-10-01 04:00:00,2024-10-01 04:00:00,DEV_001,99,68,13
DEV_001_2024-10-01 08:00:00,2024-10-01 08:00:00,DEV_001,80,77,3
DEV_001_2024-10-01 12:00:00,2024-10-01 12:00:00,DEV_001,73,87,24
DEV_001_2024-10-01 16:00:00,2024-10-01 16:00:00,DEV_001,59,55,22
DEV_001_2024-10-01 20:00:00,2024-10-01 20:00:00,DEV_001,28,80,45
DEV_001_2024-10-02 00:00:00,2024-10-02 00:00:00,DEV_001,27,43,42
DEV_001_2024-10-02 04:00:00,2024-10-02 04:00:00,DEV_001,15,26,43
DEV_001_2024-10-02 08:00:00,2024-10-02 08:00:00,DEV_001,56,38,65
DEV_001_2024-10-02 12:00:00,2024-10-02 12:00:00,DEV_001,14,86,78
DEV_001_2024-10-02 16:00:00,2024-10-02 16:00:00,DEV_001,22,18,76
DEV_001_2024-10-02 20:00:00,2024-10-02 20:00:00,DEV_001,54,59,90
DEV_001_2024-10-03 00:00:00,2024-10-03 00:00:00,DEV_001,39,11,43
DEV_001_2024-10-03 04:00:00,2024-10-03 04:00:00,DEV_001,34,7,98
DEV_001_2024-10-03 08:00:00,2024-10-03 08:00:00,DEV_001,24,92,97
DEV_001_2024-10-03 12:00:00,2024-10-03 12:00:00,DEV_001,98,11,36
DEV_001_2024-10-03 16:00:00,2024-10-03 16:00:00,DEV_001,66,45,2
DEV_001_2024-10-03 20:00:00,2024-10-03 20:00:00,DEV_001,20,55,37
DEV_001_2024-10-04 00:00:00,2024-10-04 00:00:00,DEV_001,63,72,34
DEV_001_2024-10-04 04:00:00,2024-10-04 04:00:00,DEV_001,33,7,5
DEV_001_2024-10-04 08:00:00,2024-10-04 08:00:00,DEV_001,96,68,61
DEV_001_2024-10-04 12:00:00,2024-10-04 12:00:00,DEV_001,5,84,1
DEV_001_2024-10-04 16:00:00,2024-10-04 16:00:00,DEV_001,72,44,5
DEV_001_2024-10-04 20:00:00,2024-10-04 20:00:00,DEV_001,72,11,32
DEV_001_2024-10-05 00:00:00,2024-10-05 00:00:00,DEV_001,56,20,57
DEV_001_2024-10-05 04:00:00,2024-10-05 04:00:00,DEV_001,39,36,59
DEV_001_2024-10-05 08:00:00,2024-10-05 08:00:00,DEV_001,27,38,87
DEV_001_2024-10-05 12:00:00,2024-10-05 12:00:00,DEV_001,28,44,73
DEV_001_2024-10-05 16:00:00,2024-10-05 16:00:00,DEV_001,68,50,19
DEV_001_2024-10-05 20:00:00,2024-10-05 20:00:00,DEV_001,57,70,24
DEV_001_2024-10-06 00:00:00,2024-10-06 00:00:00,DEV_001,25,6,77
DEV_001_2024-10-06 04:00:00,2024-10-06 04:00:00,DEV_001,44,60,38
DEV_001_2024-10-06 08:00:00,2024-10-06 08:00:00,DEV_001,37,88,87
DEV_001_2024-10-06 12:00:00,2024-10-06 12:00:00,DEV_001,60,43,33
DEV_001_2024-10-06 16:00:00,2024-10-06 16:00:00,DEV_001,36,90,58
DEV_001_2024-10-06 20:00:00,2024-10-06 20:00:00,DEV_001,27,98,58
DEV_001_2024-10-07 00:00:00,2024-10-07 00:00:00,DEV_001,24,26,6
DEV_001_2024-10-07 04:00:00,2024-10-07 04:00:00,DEV_001,92,55,6
DEV_001_2024-10-07 08:00:00,2024-10-07 08:00:00,DEV_001,40,1,63
DEV_001_2024-10-07 12:00:00,2024-10-07 12:00:00,DEV_001,41,90,52
DEV_001_2024-10-07 16:00:00,2024-10-07 16:00:00,DEV_001,55,98,89
DEV_001_2024-10-07 20:00:00,2024-10-07 20:00:00,DEV_001,97,34,29
DEV_001_2024-10-08 00:00:00,2024-10-08 00:00:00,DEV_001,21,8,13
DEV_001_2024-10-08 04:00:00,2024-10-08 04:00:00,DEV_001,39,61,31
DEV_001_2024-10-08 08:00:00,2024-10-08 08:00:00,DEV_001,61,66,16
DEV_001_2024-10-08 12:00:00,2024-10-08 12:00:00,DEV_001,27,52,17
DEV_001_2024-10-08 16:00:00,2024-10-08 16:00:00,DEV_001,61,44,58
DEV_001_2024-10-08 20:00:00,2024-10-08 20:00:00,DEV_001,12,24,32
DEV_001_2024-10-09 00:00:00,2024-10-09 00:00:00,DEV_001,22,73,32
DEV_001_2024-10-09 04:00:00,2024-10-09 04:00:00,DEV_001,82,23,16
DEV_001_2024-10-09 08:00:00,2024-10-09 08:00:00,DEV_001,28,16,51
DEV_001_2024-10-09 12:00:00,2024-10-09 12:00:00,DEV_001,67,2,28
DEV_001_2024-10-09 16:00:00,2024-10-09 16:00:00,DEV_001,46,70,56
DEV_001_2024-10-09 20:00:00,2024-10-09 20:00:00,DEV_001,48,62,84
DEV_001_2024-10-10 00:00:00,2024-10-10 00:00:00,DEV_001,62,94,96
DEV_001_2024-10-10 04:00:00,2024-10-10 04:00:00,DEV_001,70,63,48
DEV_001_2024-10-10 08:00:00,2024-10-10 08:00:00,DEV_001,62,53,37
DEV_001_2024-10-10 12:00:00,2024-10-10 12:00:00,DEV_001,25,9,75
DEV_001_2024-10-10 16:00:00,2024-10-10 16:00:00,DEV_001,22,97,47
DEV_001_2024-10-10 20:00:00,2024-10-10 20:00:00,DEV_001,94,88,80
DEV_001_2024-10-11 00:00:00,2024-10-11 00:00:00,DEV_001,75,71,9
DEV_001_2024-10-11 04:00:00,2024-10-11 04:00:00,DEV_001,17,49,76
DEV_001_2024-10-11 08:00:00,2024-10-11 08:00:00,DEV_001,90,73,4
DEV_001_2024-10-11 12:00:00,2024-10-11 12:00:00,DEV_001,41,63,15
DEV_001_2024-10-11 16:00:00,2024-10-11 16:00:00,DEV_001,24,69,27
DEV_001_2024-10-11 20:00:00,2024-10-11 20:00:00,DEV_001,78,29,11
DEV_001_2024-10-12 00:00:00,2024-10-12 00:00:00,DEV_001,37,94,81
DEV_001_2024-10-12 04:00:00,2024-10-12 04:00:00,DEV_001,82,33,98
DEV_001_2024-10-12 08:00:00,2024-10-12 08:00:00,DEV_001,25,43,2
DEV_001_2024-10-12 12:00:00,2024-10-12 12:00:00,DEV_001,88,45,6
DEV_001_2024-10-12 16:00:00,2024-10-12 16:00:00,DEV_001,39,67,71
DEV_001_2024-10-12 20:00:00,2024-10-12 20:00:00,DEV_001,86,94,76
DEV_001_2024-10-13 00:00:00,2024-10-13 00:00:00,DEV_001,45,33,73
DEV_001_2024-10-13 04:00:00,2024-10-13 04:00:00,DEV_001,27,70,21
DEV_001_2024-10-13 08:00:00,2024-10-13 08:00:00,DEV_001,62,41,16
DEV_001_2024-10-13 12:00:00,2024-10-13 12:00:00,DEV_001,20,3,16
DEV_001_2024-10-13 16:00:00,2024-10-13 16:00:00,DEV_001,76,82,89
DEV_001_2024-10-13 20:00:00,2024-10-13 20:00:00,DEV_001,18,88,20
DEV_001_2024-10-14 00:00:00,2024-10-14 00:00:00,DEV_001,30,90,16
DEV_001_2024-10-14 04:00:00,2024-10-14 04:00:00,DEV_001,24,1,39
DEV_001_2024-10-14 08:00:00,2024-10-14 08:00:00,DEV_001,40,74,35
DEV_001_2024-10-14 12:00:00,2024-10-14 12:00:00,DEV_001,63,37,13
DEV_001_2024-10-14 16:00:00,2024-10-14 16:00:00,DEV_001,69,48,89
DEV_001_2024-10-14 20:00:00,2024-10-14 20:00:00,DEV_001,52,64,8
DEV_001_2024-10-15 00:00:00,2024-10-15 00:00:00,DEV_001,14,59,4
DEV_001_2024-10-15 04:00:00,2024-10-15 04:00:00,DEV_001,13,2,79
DEV_001_2024-10-15 08:00:00,2024-10-15 08:00:00,DEV_001,81,27,39
DEV_001_2024-10-15 12:00:00,2024-10-15 12:00:00,DEV_001,17,65,70
DEV_001_2024-10-15 16:00:00,2024-10-15 16:00:00,DEV_001,22,3,20
DEV_001_2024-10-15 20:00:00,2024-10-15 20:00:00,DEV_001,19,17,4
DEV_001_2024-10-16 00:00:00,2024-10-16 00:00:00,DEV_001,36,8,67
DEV_001_2024-10-16 04:00:00,2024-10-16 04:00:00,DEV_001,84,29,7
DEV_001_2024-10-16 08:00:00,2024-10-16 08:00:00,DEV_001,80,75,42
DEV_001_2024-10-16 12:00:00,2024-10-16 12:00:00,DEV_001,7,9,26
DEV_001_2024-10-16 16:00:00,2024-10-16 16:00:00,DEV_001,97,18,8
DEV_001_2024-10-16 20:00:00,2024-10-16 20:00:00,DEV_001,89,29,38
DEV_001_2024-10-17 00:00:00,2024-10-17 00:00:00,DEV_001,25,71,51
DEV_001_2024-10-17 04:00:00,2024-10-17 04:00:00,DEV_001,19,9,15
DEV_001_2024-10-17 08:00:00,2024-10-17 08:00:00,DEV_001,71,12,77
DEV_001_2024-10-17 12:00:00,2024-10-17 12:00:00,DEV_001,19,38,45
DEV_001_2024-10-17 16:00:00,2024-10-17 16:00:00,DEV_001,43,55,97
DEV_001_2024-10-17 20:00:00,2024-10-17 20:00:00,DEV_001,62,60,84
DEV_001_2024-10-18 00:00:00,2024-10-18 00:00:00,DEV_001,2,40,77
DEV_001_2024-10-18 04:00:00,2024-10-18 04:00:00,DEV_001,97,37,74
DEV_001_2024-10-18 08:00:00,2024-10-18 08:00:00,DEV_001,88,49,42
DEV_001_2024-10-18 12:00:00,2024-10-18 12:00:00,DEV_001,43,90,95
DEV_001_2024-10-18 16:00:00,2024-10-18 16:00:00,DEV_001,62,75,58
DEV_001_2024-10-18 20:00:00,2024-10-18 20:00:00,DEV_001,77,42,78
DEV_001_2024-10-19 00:00:00,2024-10-19 00:00:00,DEV_001,22,5,35
DEV_001_2024-10-19 04:00:00,2024-10-19 04:00:00,DEV_001,59,43,59
DEV_001_2024-10-19 08:00:00,2024-10-19 08:00:00,DEV_001,42,74,43
DEV_001_2024-10-19 12:00:00,2024-10-19 12:00:00,DEV_001,92,89,77
DEV_001_2024-10-19 16:00:00,2024-10-19 16:00:00,DEV_001,52,27,41
DEV_001_2024-10-19 20:00:00,2024-10-19 20:00:00,DEV_001,13,96,92
DEV_001_2024-10-20 00:00:00,2024-10-20 00:00:00,DEV_001,59,27,78
DEV_001_2024-10-20 04:00:00,2024-10-20 04:00:00,DEV_001,92,73,68
DEV_001_2024-10-20 08:00:00,2024-10-20 08:00:00,DEV_001,1,33,44
DEV_001_2024-10-20 12:00:00,2024-10-20 12:00:00,DEV_001,26,65,5
DEV_001_2024-10-20 16:00:00,2024-10-20 16:00:00,DEV_001,54,94,46
DEV_001_2024-10-20 20:00:00,2024-10-20 20:00:00,DEV_001,25,58,30
DEV_001_2024-10-21 00:00:00,2024-10-21 00:00:00,DEV_001,30,42,61
DEV_001_2024-10-21 04:00:00,2024-10-21 04:00:00,DEV_001,95,66,32
DEV_001_2024-10-21 08:00:00,2024-10-21 08:00:00,DEV_001,10,63,10
DEV_001_2024-10-21 12:00:00,2024-10-21 12:00:00,DEV_001,18,36,36
DEV_001_2024-10-21 16:00:00,2024-10-21 16:00:00,DEV_001,89,27,5
DEV_001_2024-10-21 20:00:00,2024-10-21 20:00:00,DEV_001,90,37,50
DEV_001_2024-10-22 00:00:00,2024-10-22 00:00:00,DEV_001,67,30,21
DEV_001_2024-10-22 04:00:00,2024-10-22 04:00:00,DEV_001,42,66,16
DEV_001_2024-10-22 08:00:00,2024-10-22 08:00:00,DEV_001,93,6,28
DEV_001_2024-10-22 12:00:00,2024-10-22 12:00:00,DEV_001,76,63,94
DEV_001_2024-10-22 16:00:00,2024-10-22 16:00:00,DEV_001,38,19,69
DEV_001_2024-10-22 20:00:00,2024-10-22 20:00:00,DEV_001,50,92,37
DEV_001_2024-10-23 00:00:00,2024-10-23 00:00:00,DEV_001,92,66,2
DEV_001_2024-10-23 04:00:00,2024-10-23 04:00:00,DEV_001,60,1,36
DEV_001_2024-10-23 08:00:00,2024-10-23 08:00:00,DEV_001,19,50,46
DEV_001_2024-10-23 12:00:00,2024-10-23 12:00:00,DEV_001,52,35,6
