distid,createdts,sn,wc_interface,wc_current_ch,wc_enable
DEV_001_2024-09-16 12:00:00,2024-09-16 12:00:00,DEV_001,94,42,99
DEV_001_2024-09-16 16:00:00,2024-09-16 16:00:00,DEV_001,7,16,90
DEV_001_2024-09-16 20:00:00,2024-09-16 20:00:00,DEV_001,60,2,1
DEV_001_2024-09-17 00:00:00,2024-09-17 00:00:00,DEV_001,48,12,69
DEV_001_2024-09-17 04:00:00,2024-09-17 04:00:00,DEV_001,37,32,9
DEV_001_2024-09-17 08:00:00,2024-09-17 08:00:00,DEV_001,99,19,48
DEV_001_2024-09-17 12:00:00,2024-09-17 12:00:00,DEV_001,80,3,20
DEV_001_2024-09-17 16:00:00,2024-09-17 16:00:00,DEV_001,24,54,33
DEV_001_2024-09-17 20:00:00,2024-09-17 20:00:00,DEV_001,24,75,72
DEV_001_2024-09-18 00:00:00,2024-09-18 00:00:00,DEV_001,36,38,84
DEV_001_2024-09-18 04:00:00,2024-09-18 04:00:00,DEV_001,99,89,99
DEV_001_2024-09-18 08:00:00,2024-09-18 08:00:00,DEV_001,25,93,18
DEV_001_2024-09-18 12:00:00,2024-09-18 12:00:00,DEV_001,82,66,54
DEV_001_2024-09-18 16:00:00,2024-09-18 16:00:00,DEV_001,35,80,61
DEV_001_2024-09-18 20:00:00,2024-09-18 20:00:00,DEV_001,41,33,68
DEV_001_2024-09-19 00:00:00,2024-09-19 00:00:00,DEV_001,33,14,21
DEV_001_2024-09-19 04:00:00,2024-09-19 04:00:00,DEV_001,48,20,8
DEV_001_2024-09-19 08:00:00,2024-09-19 08:00:00,DEV_001,7,67,17
DEV_001_2024-09-19 12:00:00,2024-09-19 12:00:00,DEV_001,33,48,76
DEV_001_2024-09-19 16:00:00,2024-09-19 16:00:00,DEV_001,59,86,22
DEV_001_2024-09-19 20:00:00,2024-09-19 20:00:00,DEV_001,30,38,51
DEV_001_2024-09-20 00:00:00,2024-09-20 00:00:00,DEV_001,54,8,27
DEV_001_2024-09-20 04:00:00,2024-09-20 04:00:00,DEV_001,27,98,21
DEV_001_2024-09-20 08:00:00,2024-09-20 08:00:00,DEV_001,30,97,28
DEV_001_2024-09-20 12:00:00,2024-09-20 12:00:00,DEV_001,64,97,69
DEV_001_2024-09-20 16:00:00,2024-09-20 16:00:00,DEV_001,61,48,19
DEV_001_2024-09-20 20:00:00,2024-09-20 20:00:00,DEV_001,4,35,64
DEV_001_2024-09-21 00:00:00,2024-09-21 00:00:00,DEV_001,49,17,44
DEV_001_2024-09-21 04:00:00,2024-09-21 04:00:00,DEV_001,92,30,93
DEV_001_2024-09-21 08:00:00,2024-09-21 08:00:00,DEV_001,46,6,99
DEV_001_2024-09-21 12:00:00,2024-09-21 12:00:00,DEV_001,37,24,93
DEV_001_2024-09-21 16:00:00,2024-09-21 16:00:00,DEV_001,46,53,95
DEV_001_2024-09-21 20:00:00,2024-09-21 20:00:00,DEV_001,99,60,97
DEV_001_2024-09-22 00:00:00,2024-09-22 00:00:00,DEV_001,63,85,32
DEV_001_2024-09-22 04:00:00,2024-09-22 04:00:00,DEV_001,87,33,67
DEV_001_2024-09-22 08:00:00,2024-09-22 08:00:00,DEV_001,18,25,95
DEV_001_2024-09-22 12:00:00,2024-09-22 12:00:00,DEV_001,54,58,67
DEV_001_2024-09-22 16:00:00,2024-09-22 16:00:00,DEV_001,46,24,32
DEV_001_2024-09-22 20:00:00,2024-09-22 20:00:00,DEV_001,47,86,23
DEV_001_2024-09-23 00:00:00,2024-09-23 00:00:00,DEV_001,66,27,2
DEV_001_2024-09-23 04:00:00,2024-09-23 04:00:00,DEV_001,90,17,33
DEV_001_2024-09-23 08:00:00,2024-09-23 08:00:00,DEV_001,9,43,48
DEV_001_2024-09-23 12:00:00,2024-09-23 12:00:00,DEV_001,39,93,42
DEV_001_2024-09-23 16:00:00,2024-09-23 16:00:00,DEV_001,26,99,50
DEV_001_2024-09-23 20:00:00,2024-09-23 20:00:00,DEV_001,25,24,13
DEV_001_2024-09-24 00:00:00,2024-09-24 00:00:00,DEV_001,60,7,57
DEV_001_2024-09-24 04:00:00,2024-09-24 04:00:00,DEV_001,36,45,20
DEV_001_2024-09-24 08:00:00,2024-09-24 08:00:00,DEV_001,65,8,16
DEV_001_2024-09-24 12:00:00,2024-09-24 12:00:00,DEV_001,14,76,87
DEV_001_2024-09-24 16:00:00,2024-09-24 16:00:00,DEV_001,15,92,98
DEV_001_2024-09-24 20:00:00,2024-09-24 20:00:00,DEV_001,66,32,87
DEV_001_2024-09-25 00:00:00,2024-09-25 00:00:00,DEV_001,63,86,51
DEV_001_2024-09-25 04:00:00,2024-09-25 04:00:00,DEV_001,25,58,63
DEV_001_2024-09-25 08:00:00,2024-09-25 08:00:00,DEV_001,62,22,58
DEV_001_2024-09-25 12:00:00,2024-09-25 12:00:00,DEV_001,58,86,49
DEV_001_2024-09-25 16:00:00,2024-09-25 16:00:00,DEV_001,52,42,70
DEV_001_2024-09-25 20:00:00,2024-09-25 20:00:00,DEV_001,15,54,60
DEV_001_2024-09-26 00:00:00,2024-09-26 00:00:00,DEV_001,97,8,53
DEV_001_2024-09-26 04:00:00,2024-09-26 04:00:00,DEV_001,60,5,68
DEV_001_2024-09-26 08:00:00,2024-09-26 08:00:00,DEV_001,6,96,94
DEV_001_2024-09-26 12:00:00,2024-09-26 12:00:00,DEV_001,47,99,55
DEV_001_2024-09-26 16:00:00,2024-09-26 16:00:00,DEV_001,40,52,16
DEV_001_2024-09-26 20:00:00,2024-09-26 20:00:00,DEV_001,13,30,19
DEV_001_2024-09-27 00:00:00,2024-09-27 00:00:00,DEV_001,17,63,19
DEV_001_2024-09-27 04:00:00,2024-09-27 04:00:00,DEV_001,92,58,55
DEV_001_2024-09-27 08:00:00,2024-09-27 08:00:00,DEV_001,90,90,62
DEV_001_2024-09-27 12:00:00,2024-09-27 12:00:00,DEV_001,23,9,12
DEV_001_2024-09-27 16:00:00,2024-09-27 16:00:00,DEV_001,1,58,1
DEV_001_2024-09-27 20:00:00,2024-09-27 20:00:00,DEV_001,34,96,48
DEV_001_2024-09-28 00:00:00,2024-09-28 00:00:00,DEV_001,89,1,16
DEV_001_2024-09-28 04:00:00,2024-09-28 04:00:00,DEV_001,61,64,63
DEV_001_2024-09-28 08:00:00,2024-09-28 08:00:00,DEV_001,69,22,93
DEV_001_2024-09-28 12:00:00,2024-09-28 12:00:00,DEV_001,67,76,26
DEV_001_2024-09-28 16:00:00,2024-09-28 16:00:00,DEV_001,16,51,86
DEV_001_2024-09-28 20:00:00,2024-09-28 20:00:00,DEV_001,57,29,78
DEV_001_2024-09-29 00:00:00,2024-09-29 00:00:00,DEV_001,92,69,47
DEV_001_2024-09-29 04:00:00,2024-09-29 04:00:00,DEV_001,94,62,69
DEV_001_2024-09-29 08:00:00,2024-09-29 08:00:00,DEV_001,76,16,90
DEV_001_2024-09-29 12:00:00,2024-09-29 12:00:00,DEV_001,90,48,85
DEV_001_2024-09-29 16:00:00,2024-09-29 16:00:00,DEV_001,39,33,94
DEV_001_2024-09-29 20:00:00,2024-09-29 20:00:00,DEV_001,23,10,69
DEV_001_2024-09-30 00:00:00,2024-09-30 00:00:00,DEV_001,34,52,95
DEV_001_2024-09-30 04:00:00,2024-09-30 04:00:00,DEV_001,10,19,58
DEV_001_2024-09-30 08:00:00,2024-09-30 08:00:00,DEV_001,96,1,69
DEV_001_2024-09-30 12:00:00,2024-09-30 12:00:00,DEV_001,4,16,24
DEV_001_2024-09-30 16:00:00,2024-09-30 16:00:00,DEV_001,80,2,92
DEV_001_2024-09-30 20:00:00,2024-09-30 20:00:00,DEV_001,32,91,84
DEV_001_2024-10-01 00:00:00,2024-10-01 00:00:00,DEV_001,24,12,50
DEV_001_2024-10-01 04:00:00,2024-10-01 04:00:00,DEV_001,35,33,33
DEV_001_2024-10-01 08:00:00,2024-10-01 08:00:00,DEV_001,61,51,43
DEV_001_2024-10-01 12:00:00,2024-10-01 12:00:00,DEV_001,12,67,65
DEV_001_2024-10-01 16:00:00,2024-10-01 16:00:00,DEV_001,33,40,74
DEV_001_2024-10-01 20:00:00,2024-10-01 20:00:00,DEV_001,43,44,29
DEV_001_2024-10-02 00:00:00,2024-10-02 00:00:00,DEV_001,13,12,95
DEV_001_2024-10-02 04:00:00,2024-10-02 04:00:00,DEV_001,46,2,35
DEV_001_2024-10-02 08:00:00,2024-10-02 08:00:00,DEV_001,87,81,90
DEV_001_2024-10-02 12:00:00,2024-10-02 12:00:00,DEV_001,8,93,26
DEV_001_2024-10-02 16:00:00,2024-10-02 16:00:00,DEV_001,74,90,34
DEV_001_2024-10-02 20:00:00,2024-10-02 20:00:00,DEV_001,7,68,58
DEV_001_2024-10-03 00:00:00,2024-10-03 00:00:00,DEV_001,75,29,36
DEV_001_2024-10-03 04:00:00,2024-10-03 04:00:00,DEV_001,89,21,36
DEV_001_2024-10-03 08:00:00,2024-10-03 08:00:00,DEV_001,10,73,24
DEV_001_2024-10-03 12:00:00,2024-10-03 12:00:00,DEV_001,64,99,49
DEV_001_2024-10-03 16:00:00,2024-10-03 16:00:00,DEV_001,99,36,82
DEV_001_2024-10-03 20:00:00,2024-10-03 20:00:00,DEV_001,96,24,23
DEV_001_2024-10-04 00:00:00,2024-10-04 00:00:00,DEV_001,62,96,37
DEV_001_2024-10-04 04:00:00,2024-10-04 04:00:00,DEV_001,12,55,13
DEV_001_2024-10-04 08:00:00,2024-10-04 08:00:00,DEV_001,23,89,99
DEV_001_2024-10-04 12:00:00,2024-10-04 12:00:00,DEV_001,30,17,62
DEV_001_2024-10-04 16:00:00,2024-10-04 16:00:00,DEV_001,84,89,86
DEV_001_2024-10-04 20:00:00,2024-10-04 20:00:00,DEV_001,13,59,19
DEV_001_2024-10-05 00:00:00,2024-10-05 00:00:00,DEV_001,49,12,61
DEV_001_2024-10-05 04:00:00,2024-10-05 04:00:00,DEV_001,19,76,9
DEV_001_2024-10-05 08:00:00,2024-10-05 08:00:00,DEV_001,71,28,78
DEV_001_2024-10-05 12:00:00,2024-10-05 12:00:00,DEV_001,95,52,83
DEV_001_2024-10-05 16:00:00,2024-10-05 16:00:00,DEV_001,16,69,99
DEV_001_2024-10-05 20:00:00,2024-10-05 20:00:00,DEV_001,12,25,52
DEV_001_2024-10-06 00:00:00,2024-10-06 00:00:00,DEV_001,85,53,23
DEV_001_2024-10-06 04:00:00,2024-10-06 04:00:00,DEV_001,16,57,39
DEV_001_2024-10-06 08:00:00,2024-10-06 08:00:00,DEV_001,53,42,58
DEV_001_2024-10-06 12:00:00,2024-10-06 12:00:00,DEV_001,39,14,95
DEV_001_2024-10-06 16:00:00,2024-10-06 16:00:00,DEV_001,5,35,87
DEV_001_2024-10-06 20:00:00,2024-10-06 20:00:00,DEV_001,93,75,18
DEV_001_2024-10-07 00:00:00,2024-10-07 00:00:00,DEV_001,76,9,74
DEV_001_2024-10-07 04:00:00,2024-10-07 04:00:00,DEV_001,58,17,7
DEV_001_2024-10-07 08:00:00,2024-10-07 08:00:00,DEV_001,46,13,40
DEV_001_2024-10-07 12:00:00,2024-10-07 12:00:00,DEV_001,42,9,50
DEV_001_2024-10-07 16:00:00,2024-10-07 16:00:00,DEV_001,27,66,5
DEV_001_2024-10-07 20:00:00,2024-10-07 20:00:00,DEV_001,29,37,38
DEV_001_2024-10-08 00:00:00,2024-10-08 00:00:00,DEV_001,83,8,65
DEV_001_2024-10-08 04:00:00,2024-10-08 04:00:00,DEV_001,86,17,71
DEV_001_2024-10-08 08:00:00,2024-10-08 08:00:00,DEV_001,89,45,4
DEV_001_2024-10-08 12:00:00,2024-10-08 12:00:00,DEV_001,36,70,31
DEV_001_2024-10-08 16:00:00,2024-10-08 16:00:00,DEV_001,19,61,54
DEV_001_2024-10-08 20:00:00,2024-10-08 20:00:00,DEV_001,39,91,74
DEV_001_2024-10-09 00:00:00,2024-10-09 00:00:00,DEV_001,90,19,39
DEV_001_2024-10-09 04:00:00,2024-10-09 04:00:00,DEV_001,67,45,13
DEV_001_2024-10-09 08:00:00,2024-10-09 08:00:00,DEV_001,92,58,20
DEV_001_2024-10-09 12:00:00,2024-10-09 12:00:00,DEV_001,92,72,61
DEV_001_2024-10-09 16:00:00,2024-10-09 16:00:00,DEV_001,39,1,3
DEV_001_2024-10-09 20:00:00,2024-10-09 20:00:00,DEV_001,77,92,62
DEV_001_2024-10-10 00:00:00,2024-10-10 00:00:00,DEV_001,63,25,56
DEV_001_2024-10-10 04:00:00,2024-10-10 04:00:00,DEV_001,33,38,6
DEV_001_2024-10-10 08:00:00,2024-10-10 08:00:00,DEV_001,58,44,45
DEV_001_2024-10-10 12:00:00,2024-10-10 12:00:00,DEV_001,32,45,61
DEV_001_2024-10-10 16:00:00,2024-10-10 16:00:00,DEV_001,47,21,80
DEV_001_2024-10-10 20:00:00,2024-10-10 20:00:00,DEV_001,85,75,36
DEV_001_2024-10-11 00:00:00,2024-10-11 00:00:00,DEV_001,99,19,20
DEV_001_2024-10-11 04:00:00,2024-10-11 04:00:00,DEV_001,57,18,47
DEV_001_2024-10-11 08:00:00,2024-10-11 08:00:00,DEV_001,49,14,15
DEV_001_2024-10-11 12:00:00,2024-10-11 12:00:00,DEV_001,31,1,54
DEV_001_2024-10-11 16:00:00,2024-10-11 16:00:00,DEV_001,3,16,87
DEV_001_2024-10-11 20:00:00,2024-10-11 20:00:00,DEV_001,57,75,12
DEV_001_2024-10-12 00:00:00,2024-10-12 00:00:00,DEV_001,74,96,16
DEV_001_2024-10-12 04:00:00,2024-10-12 04:00:00,DEV_001,72,76,24
DEV_001_2024-10-12 08:00:00,2024-10-12 08:00:00,DEV_001,28,8,92
DEV_001_2024-10-12 12:00:00,2024-10-12 12:00:00,DEV_001,36,90,8
DEV_001_2024-10-12 16:00:00,2024-10-12 16:00:00,DEV_001,58,60,50
DEV_001_2024-10-12 20:00:00,2024-10-12 20:00:00,DEV_001,28,92,41
DEV_001_2024-10-13 00:00:00,2024-10-13 00:00:00,DEV_001,64,27,63
DEV_001_2024-10-13 04:00:00,2024-10-13 04:00:00,DEV_001,17,73,33
DEV_001_2024-10-13 08:00:00,2024-10-13 08:00:00,DEV_001,84,77,92
DEV_001_2024-10-13 12:00:00,2024-10-13 12:00:00,DEV_001,29,13,46
DEV_001_2024-10-13 16:00:00,2024-10-13 16:00:00,DEV_001,35,6,82
DEV_001_2024-10-13 20:00:00,2024-10-13 20:00:00,DEV_001,69,47,25
DEV_001_2024-10-14 00:00:00,2024-10-14 00:00:00,DEV_001,66,10,56
DEV_001_2024-10-14 04:00:00,2024-10-14 04:00:00,DEV_001,30,5,33
DEV_001_2024-10-14 08:00:00,2024-10-14 08:00:00,DEV_001,65,18,96
DEV_001_2024-10-14 12:00:00,2024-10-14 12:00:00,DEV_001,49,11,85
DEV_001_2024-10-14 16:00:00,2024-10-14 16:00:00,DEV_001,26,63,89
DEV_001_2024-10-14 20:00:00,2024-10-14 20:00:00,DEV_001,86,59,27
DEV_001_2024-10-15 00:00:00,2024-10-15 00:00:00,DEV_001,49,77,33
DEV_001_2024-10-15 04:00:00,2024-10-15 04:00:00,DEV_001,98,99,1
DEV_001_2024-10-15 08:00:00,2024-10-15 08:00:00,DEV_001,21,55,6
DEV_001_2024-10-15 12:00:00,2024-10-15 12:00:00,DEV_001,92,81,69
DEV_001_2024-10-15 16:00:00,2024-10-15 16:00:00,DEV_001,95,5,3
DEV_001_2024-10-15 20:00:00,2024-10-15 20:00:00,DEV_001,53,23,53
DEV_001_2024-10-16 00:00:00,2024-10-16 00:00:00,DEV_001,37,74,74
DEV_001_2024-10-16 04:00:00,2024-10-16 04:00:00,DEV_001,83,17,85
DEV_001_2024-10-16 08:00:00,2024-10-16 08:00:00,DEV_001,78,73,1
DEV_001_2024-10-16 12:00:00,2024-10-16 12:00:00,DEV_001,51,45,77
DEV_001_2024-10-16 16:00:00,2024-10-16 16:00:00,DEV_001,4,62,65
DEV_001_2024-10-16 20:00:00,2024-10-16 20:00:00,DEV_001,32,34,92
DEV_001_2024-10-17 00:00:00,2024-10-17 00:00:00,DEV_001,95,72,39
DEV_001_2024-10-17 04:00:00,2024-10-17 04:00:00,DEV_001,26,34,54
DEV_001_2024-10-17 08:00:00,2024-10-17 08:00:00,DEV_001,3,50,12
DEV_001_2024-10-17 12:00:00,2024-10-17 12:00:00,DEV_001,65,54,5
DEV_001_2024-10-17 16:00:00,2024-10-17 16:00:00,DEV_001,94,94,57
DEV_001_2024-10-17 20:00:00,2024-10-17 20:00:00,DEV_001,17,47,23
DEV_001_2024-10-18 00:00:00,2024-10-18 00:00:00,DEV_001,79,85,14
DEV_001_2024-10-18 04:00:00,2024-10-18 04:00:00,DEV_001,66,75,51
DEV_001_2024-10-18 08:00:00,2024-10-18 08:00:00,DEV_001,38,64,98
DEV_001_2024-10-18 12:00:00,2024-10-18 12:00:00,DEV_001,38,50,98
DEV_001_2024-10-18 16:00:00,2024-10-18 16:00:00,DEV_001,82,30,79
DEV_001_2024-10-18 20:00:00,2024-10-18 20:00:00,DEV_001,91,51,63
DEV_001_2024-10-19 00:00:00,2024-10-19 00:00:00,DEV_001,98,52,38
DEV_001_2024-10-19 04:00:00,2024-10-19 04:00:00,DEV_001,97,88,79
DEV_001_2024-10-19 08:00:00,2024-10-19 08:00:00,DEV_001,30,51,81
DEV_001_2024-10-19 12:00:00,2024-10-19 12:00:00,DEV_001,5,29,4
DEV_001_2024-10-19 16:00:00,2024-10-19 16:00:00,DEV_001,10,56,17
DEV_001_2024-10-19 20:00:00,2024-10-19 20:00:00,DEV_001,74,17,84
DEV_001_2024-10-20 00:00:00,2024-10-20 00:00:00,DEV_001,88,69,34
DEV_001_2024-10-20 04:00:00,2024-10-20 04:00:00,DEV_001,6,53,66
DEV_001_2024-10-20 08:00:00,2024-10-20 08:00:00,DEV_001,77,43,75
DEV_001_2024-10-20 12:00:00,2024-10-20 12:00:00,DEV_001,23,55,80
DEV_001_2024-10-20 16:00:00,2024-10-20 16:00:00,DEV_001,95,75,16
DEV_001_2024-10-20 20:00:00,2024-10-20 20:00:00,DEV_001,8,4,4
DEV_001_2024-10-21 00:00:00,2024-10-21 00:00:00,DEV_001,56,25,67
DEV_001_2024-10-21 04:00:00,2024-10-21 04:00:00,DEV_001,96,67,27
DEV_001_2024-10-21 08:00:00,2024-10-21 08:00:00,DEV_001,93,32,50
DEV_001_2024-10-21 12:00:00,2024-10-21 12:00:00,DEV_001,61,51,19
DEV_001_2024-10-21 16:00:00,2024-10-21 16:00:00,DEV_001,21,5,82
DEV_001_2024-10-21 20:00:00,2024-10-21 20:00:00,DEV_001,92,42,61
DEV_001_2024-10-22 00:00:00,2024-10-22 00:00:00,DEV_001,22,21,70
DEV_001_2024-10-22 04:00:00,2024-10-22 04:00:00,DEV_001,1,5,12
DEV_001_2024-10-22 08:00:00,2024-10-22 08:00:00,DEV_001,90,46,34
DEV_001_2024-10-22 12:00:00,2024-10-22 12:00:00,DEV_001,49,78,90
DEV_001_2024-10-22 16:00:00,2024-10-22 16:00:00,DEV_001,45,27,73
DEV_001_2024-10-22 20:00:00,2024-10-22 20:00:00,DEV_001,26,47,86
DEV_001_2024-10-23 00:00:00,2024-10-23 00:00:00,DEV_001,56,94,63
DEV_001_2024-10-23 04:00:00,2024-10-23 04:00:00,DEV_001,48,61,81
DEV_001_2024-10-23 08:00:00,2024-10-23 08:00:00,DEV_001,26,36,1
DEV_001_2024-10-23 12:00:00,2024-10-23 12:00:00,DEV_001,8,99,52
