distid,createdts,sn,wan_data_ipv4_ip
DEV_001_2024-09-08 08:00:00,2024-09-08 08:00:00,DEV_001,192.168.154.101
DEV_001_2024-09-08 12:00:00,2024-09-08 12:00:00,DEV_001,192.168.59.43
DEV_001_2024-09-08 16:00:00,2024-09-08 16:00:00,DEV_001,192.168.192.55
DEV_001_2024-09-08 20:00:00,2024-09-08 20:00:00,DEV_001,192.168.108.93
DEV_001_2024-09-09 00:00:00,2024-09-09 00:00:00,DEV_001,192.168.215.247
DEV_001_2024-09-09 04:00:00,2024-09-09 04:00:00,DEV_001,192.168.208.163
DEV_001_2024-09-09 08:00:00,2024-09-09 08:00:00,DEV_001,192.168.94.234
DEV_001_2024-09-09 12:00:00,2024-09-09 12:00:00,DEV_001,192.168.159.147
DEV_001_2024-09-09 16:00:00,2024-09-09 16:00:00,DEV_001,192.168.94.167
DEV_001_2024-09-09 20:00:00,2024-09-09 20:00:00,DEV_001,192.168.147.28
DEV_001_2024-09-10 00:00:00,2024-09-10 00:00:00,DEV_001,192.168.2.160
DEV_001_2024-09-10 04:00:00,2024-09-10 04:00:00,DEV_001,192.168.85.108
DEV_001_2024-09-10 08:00:00,2024-09-10 08:00:00,DEV_001,192.168.185.182
DEV_001_2024-09-10 12:00:00,2024-09-10 12:00:00,DEV_001,192.168.169.117
DEV_001_2024-09-10 16:00:00,2024-09-10 16:00:00,DEV_001,192.168.107.15
DEV_001_2024-09-10 20:00:00,2024-09-10 20:00:00,DEV_001,192.168.229.211
DEV_001_2024-09-11 00:00:00,2024-09-11 00:00:00,DEV_001,192.168.61.31
DEV_001_2024-09-11 04:00:00,2024-09-11 04:00:00,DEV_001,192.168.188.26
DEV_001_2024-09-11 08:00:00,2024-09-11 08:00:00,DEV_001,192.168.196.185
DEV_001_2024-09-11 12:00:00,2024-09-11 12:00:00,DEV_001,192.168.147.251
DEV_001_2024-09-11 16:00:00,2024-09-11 16:00:00,DEV_001,192.168.65.149
DEV_001_2024-09-11 20:00:00,2024-09-11 20:00:00,DEV_001,192.168.114.60
DEV_001_2024-09-12 00:00:00,2024-09-12 00:00:00,DEV_001,192.168.62.179
DEV_001_2024-09-12 04:00:00,2024-09-12 04:00:00,DEV_001,192.168.227.220
DEV_001_2024-09-12 08:00:00,2024-09-12 08:00:00,DEV_001,192.168.211.101
DEV_001_2024-09-12 12:00:00,2024-09-12 12:00:00,DEV_001,192.168.166.100
DEV_001_2024-09-12 16:00:00,2024-09-12 16:00:00,DEV_001,192.168.138.119
DEV_001_2024-09-12 20:00:00,2024-09-12 20:00:00,DEV_001,192.168.56.131
DEV_001_2024-09-13 00:00:00,2024-09-13 00:00:00,DEV_001,192.168.36.212
DEV_001_2024-09-13 04:00:00,2024-09-13 04:00:00,DEV_001,192.168.223.111
DEV_001_2024-09-13 08:00:00,2024-09-13 08:00:00,DEV_001,192.168.152.149
DEV_001_2024-09-13 12:00:00,2024-09-13 12:00:00,DEV_001,192.168.249.242
DEV_001_2024-09-13 16:00:00,2024-09-13 16:00:00,DEV_001,192.168.207.112
DEV_001_2024-09-13 20:00:00,2024-09-13 20:00:00,DEV_001,192.168.169.1
DEV_001_2024-09-14 00:00:00,2024-09-14 00:00:00,DEV_001,192.168.22.107
DEV_001_2024-09-14 04:00:00,2024-09-14 04:00:00,DEV_001,192.168.112.152
DEV_001_2024-09-14 08:00:00,2024-09-14 08:00:00,DEV_001,192.168.174.89
DEV_001_2024-09-14 12:00:00,2024-09-14 12:00:00,DEV_001,192.168.134.249
DEV_001_2024-09-14 16:00:00,2024-09-14 16:00:00,DEV_001,192.168.249.38
DEV_001_2024-09-14 20:00:00,2024-09-14 20:00:00,DEV_001,192.168.238.47
DEV_001_2024-09-15 00:00:00,2024-09-15 00:00:00,DEV_001,192.168.102.163
DEV_001_2024-09-15 04:00:00,2024-09-15 04:00:00,DEV_001,192.168.205.62
DEV_001_2024-09-15 08:00:00,2024-09-15 08:00:00,DEV_001,192.168.72.3
DEV_001_2024-09-15 12:00:00,2024-09-15 12:00:00,DEV_001,192.168.101.148
DEV_001_2024-09-15 16:00:00,2024-09-15 16:00:00,DEV_001,192.168.232.225
DEV_001_2024-09-15 20:00:00,2024-09-15 20:00:00,DEV_001,192.168.104.44
DEV_001_2024-09-16 00:00:00,2024-09-16 00:00:00,DEV_001,192.168.159.100
DEV_001_2024-09-16 04:00:00,2024-09-16 04:00:00,DEV_001,192.168.25.48
DEV_001_2024-09-16 08:00:00,2024-09-16 08:00:00,DEV_001,192.168.4.59
DEV_001_2024-09-16 12:00:00,2024-09-16 12:00:00,DEV_001,192.168.60.49
DEV_001_2024-09-16 16:00:00,2024-09-16 16:00:00,DEV_001,192.168.157.145
DEV_001_2024-09-16 20:00:00,2024-09-16 20:00:00,DEV_001,192.168.69.186
DEV_001_2024-09-17 00:00:00,2024-09-17 00:00:00,DEV_001,192.168.190.189
DEV_001_2024-09-17 04:00:00,2024-09-17 04:00:00,DEV_001,192.168.190.15
DEV_001_2024-09-17 08:00:00,2024-09-17 08:00:00,DEV_001,192.168.0.141
DEV_001_2024-09-17 12:00:00,2024-09-17 12:00:00,DEV_001,192.168.175.128
DEV_001_2024-09-17 16:00:00,2024-09-17 16:00:00,DEV_001,192.168.161.125
DEV_001_2024-09-17 20:00:00,2024-09-17 20:00:00,DEV_001,192.168.157.19
DEV_001_2024-09-18 00:00:00,2024-09-18 00:00:00,DEV_001,192.168.118.64
DEV_001_2024-09-18 04:00:00,2024-09-18 04:00:00,DEV_001,192.168.65.245
DEV_001_2024-09-18 08:00:00,2024-09-18 08:00:00,DEV_001,192.168.56.44
DEV_001_2024-09-18 12:00:00,2024-09-18 12:00:00,DEV_001,192.168.11.122
DEV_001_2024-09-18 16:00:00,2024-09-18 16:00:00,DEV_001,192.168.167.236
DEV_001_2024-09-18 20:00:00,2024-09-18 20:00:00,DEV_001,192.168.23.139
DEV_001_2024-09-19 00:00:00,2024-09-19 00:00:00,DEV_001,192.168.193.1
DEV_001_2024-09-19 04:00:00,2024-09-19 04:00:00,DEV_001,192.168.248.186
DEV_001_2024-09-19 08:00:00,2024-09-19 08:00:00,DEV_001,192.168.27.68
DEV_001_2024-09-19 12:00:00,2024-09-19 12:00:00,DEV_001,192.168.104.251
DEV_001_2024-09-19 16:00:00,2024-09-19 16:00:00,DEV_001,192.168.93.124
DEV_001_2024-09-19 20:00:00,2024-09-19 20:00:00,DEV_001,192.168.186.199
DEV_001_2024-09-20 00:00:00,2024-09-20 00:00:00,DEV_001,192.168.123.22
DEV_001_2024-09-20 04:00:00,2024-09-20 04:00:00,DEV_001,192.168.217.157
DEV_001_2024-09-20 08:00:00,2024-09-20 08:00:00,DEV_001,192.168.88.202
DEV_001_2024-09-20 12:00:00,2024-09-20 12:00:00,DEV_001,192.168.211.206
DEV_001_2024-09-20 16:00:00,2024-09-20 16:00:00,DEV_001,192.168.224.197
DEV_001_2024-09-20 20:00:00,2024-09-20 20:00:00,DEV_001,192.168.44.198
DEV_001_2024-09-21 00:00:00,2024-09-21 00:00:00,DEV_001,192.168.213.124
DEV_001_2024-09-21 04:00:00,2024-09-21 04:00:00,DEV_001,192.168.144.79
DEV_001_2024-09-21 08:00:00,2024-09-21 08:00:00,DEV_001,192.168.38.168
DEV_001_2024-09-21 12:00:00,2024-09-21 12:00:00,DEV_001,192.168.27.245
DEV_001_2024-09-21 16:00:00,2024-09-21 16:00:00,DEV_001,192.168.129.210
DEV_001_2024-09-21 20:00:00,2024-09-21 20:00:00,DEV_001,192.168.154.149
DEV_001_2024-09-22 00:00:00,2024-09-22 00:00:00,DEV_001,192.168.86.135
DEV_001_2024-09-22 04:00:00,2024-09-22 04:00:00,DEV_001,192.168.188.52
DEV_001_2024-09-22 08:00:00,2024-09-22 08:00:00,DEV_001,192.168.250.176
DEV_001_2024-09-22 12:00:00,2024-09-22 12:00:00,DEV_001,192.168.125.147
DEV_001_2024-09-22 16:00:00,2024-09-22 16:00:00,DEV_001,192.168.72.140
DEV_001_2024-09-22 20:00:00,2024-09-22 20:00:00,DEV_001,192.168.237.94
DEV_001_2024-09-23 00:00:00,2024-09-23 00:00:00,DEV_001,192.168.198.2
DEV_001_2024-09-23 04:00:00,2024-09-23 04:00:00,DEV_001,192.168.16.203
DEV_001_2024-09-23 08:00:00,2024-09-23 08:00:00,DEV_001,192.168.241.125
DEV_001_2024-09-23 12:00:00,2024-09-23 12:00:00,DEV_001,192.168.203.131
DEV_001_2024-09-23 16:00:00,2024-09-23 16:00:00,DEV_001,192.168.20.78
DEV_001_2024-09-23 20:00:00,2024-09-23 20:00:00,DEV_001,192.168.78.51
DEV_001_2024-09-24 00:00:00,2024-09-24 00:00:00,DEV_001,192.168.105.105
DEV_001_2024-09-24 04:00:00,2024-09-24 04:00:00,DEV_001,192.168.9.116
DEV_001_2024-09-24 08:00:00,2024-09-24 08:00:00,DEV_001,192.168.54.36
DEV_001_2024-09-24 12:00:00,2024-09-24 12:00:00,DEV_001,192.168.50.74
DEV_001_2024-09-24 16:00:00,2024-09-24 16:00:00,DEV_001,192.168.16.254
DEV_001_2024-09-24 20:00:00,2024-09-24 20:00:00,DEV_001,192.168.235.217
DEV_001_2024-09-25 00:00:00,2024-09-25 00:00:00,DEV_001,192.168.60.91
DEV_001_2024-09-25 04:00:00,2024-09-25 04:00:00,DEV_001,192.168.224.203
DEV_001_2024-09-25 08:00:00,2024-09-25 08:00:00,DEV_001,192.168.140.193
DEV_001_2024-09-25 12:00:00,2024-09-25 12:00:00,DEV_001,192.168.94.225
DEV_001_2024-09-25 16:00:00,2024-09-25 16:00:00,DEV_001,192.168.253.213
DEV_001_2024-09-25 20:00:00,2024-09-25 20:00:00,DEV_001,192.168.79.103
DEV_001_2024-09-26 00:00:00,2024-09-26 00:00:00,DEV_001,192.168.214.202
DEV_001_2024-09-26 04:00:00,2024-09-26 04:00:00,DEV_001,192.168.47.225
DEV_001_2024-09-26 08:00:00,2024-09-26 08:00:00,DEV_001,192.168.85.233
DEV_001_2024-09-26 12:00:00,2024-09-26 12:00:00,DEV_001,192.168.69.47
DEV_001_2024-09-26 16:00:00,2024-09-26 16:00:00,DEV_001,192.168.227.239
DEV_001_2024-09-26 20:00:00,2024-09-26 20:00:00,DEV_001,192.168.9.185
DEV_001_2024-09-27 00:00:00,2024-09-27 00:00:00,DEV_001,192.168.79.13
DEV_001_2024-09-27 04:00:00,2024-09-27 04:00:00,DEV_001,192.168.242.189
DEV_001_2024-09-27 08:00:00,2024-09-27 08:00:00,DEV_001,192.168.57.84
DEV_001_2024-09-27 12:00:00,2024-09-27 12:00:00,DEV_001,192.168.67.84
DEV_001_2024-09-27 16:00:00,2024-09-27 16:00:00,DEV_001,192.168.85.157
DEV_001_2024-09-27 20:00:00,2024-09-27 20:00:00,DEV_001,192.168.143.235
DEV_001_2024-09-28 00:00:00,2024-09-28 00:00:00,DEV_001,192.168.62.175
DEV_001_2024-09-28 04:00:00,2024-09-28 04:00:00,DEV_001,192.168.42.151
DEV_001_2024-09-28 08:00:00,2024-09-28 08:00:00,DEV_001,192.168.157.185
DEV_001_2024-09-28 12:00:00,2024-09-28 12:00:00,DEV_001,192.168.29.235
DEV_001_2024-09-28 16:00:00,2024-09-28 16:00:00,DEV_001,192.168.66.184
DEV_001_2024-09-28 20:00:00,2024-09-28 20:00:00,DEV_001,192.168.23.241
DEV_001_2024-09-29 00:00:00,2024-09-29 00:00:00,DEV_001,192.168.100.205
DEV_001_2024-09-29 04:00:00,2024-09-29 04:00:00,DEV_001,192.168.105.224
DEV_001_2024-09-29 08:00:00,2024-09-29 08:00:00,DEV_001,192.168.100.204
DEV_001_2024-09-29 12:00:00,2024-09-29 12:00:00,DEV_001,192.168.7.216
DEV_001_2024-09-29 16:00:00,2024-09-29 16:00:00,DEV_001,192.168.171.208
DEV_001_2024-09-29 20:00:00,2024-09-29 20:00:00,DEV_001,192.168.95.162
DEV_001_2024-09-30 00:00:00,2024-09-30 00:00:00,DEV_001,192.168.34.96
DEV_001_2024-09-30 04:00:00,2024-09-30 04:00:00,DEV_001,192.168.49.145
DEV_001_2024-09-30 08:00:00,2024-09-30 08:00:00,DEV_001,192.168.1.218
DEV_001_2024-09-30 12:00:00,2024-09-30 12:00:00,DEV_001,192.168.181.44
DEV_001_2024-09-30 16:00:00,2024-09-30 16:00:00,DEV_001,192.168.208.102
DEV_001_2024-09-30 20:00:00,2024-09-30 20:00:00,DEV_001,192.168.176.130
DEV_001_2024-10-01 00:00:00,2024-10-01 00:00:00,DEV_001,192.168.71.110
DEV_001_2024-10-01 04:00:00,2024-10-01 04:00:00,DEV_001,192.168.197.137
DEV_001_2024-10-01 08:00:00,2024-10-01 08:00:00,DEV_001,192.168.128.197
DEV_001_2024-10-01 12:00:00,2024-10-01 12:00:00,DEV_001,192.168.102.137
DEV_001_2024-10-01 16:00:00,2024-10-01 16:00:00,DEV_001,192.168.141.27
DEV_001_2024-10-01 20:00:00,2024-10-01 20:00:00,DEV_001,192.168.136.164
DEV_001_2024-10-02 00:00:00,2024-10-02 00:00:00,DEV_001,192.168.92.212
DEV_001_2024-10-02 04:00:00,2024-10-02 04:00:00,DEV_001,192.168.206.100
DEV_001_2024-10-02 08:00:00,2024-10-02 08:00:00,DEV_001,192.168.130.248
DEV_001_2024-10-02 12:00:00,2024-10-02 12:00:00,DEV_001,192.168.116.151
DEV_001_2024-10-02 16:00:00,2024-10-02 16:00:00,DEV_001,192.168.121.246
DEV_001_2024-10-02 20:00:00,2024-10-02 20:00:00,DEV_001,192.168.109.73
DEV_001_2024-10-03 00:00:00,2024-10-03 00:00:00,DEV_001,192.168.29.19
DEV_001_2024-10-03 04:00:00,2024-10-03 04:00:00,DEV_001,192.168.101.67
DEV_001_2024-10-03 08:00:00,2024-10-03 08:00:00,DEV_001,192.168.49.48
DEV_001_2024-10-03 12:00:00,2024-10-03 12:00:00,DEV_001,192.168.2.226
DEV_001_2024-10-03 16:00:00,2024-10-03 16:00:00,DEV_001,192.168.65.250
DEV_001_2024-10-03 20:00:00,2024-10-03 20:00:00,DEV_001,192.168.154.215
DEV_001_2024-10-04 00:00:00,2024-10-04 00:00:00,DEV_001,192.168.105.224
DEV_001_2024-10-04 04:00:00,2024-10-04 04:00:00,DEV_001,192.168.110.227
DEV_001_2024-10-04 08:00:00,2024-10-04 08:00:00,DEV_001,192.168.39.125
DEV_001_2024-10-04 12:00:00,2024-10-04 12:00:00,DEV_001,192.168.17.155
DEV_001_2024-10-04 16:00:00,2024-10-04 16:00:00,DEV_001,192.168.138.167
DEV_001_2024-10-04 20:00:00,2024-10-04 20:00:00,DEV_001,192.168.18.89
DEV_001_2024-10-05 00:00:00,2024-10-05 00:00:00,DEV_001,192.168.134.223
DEV_001_2024-10-05 04:00:00,2024-10-05 04:00:00,DEV_001,192.168.56.130
DEV_001_2024-10-05 08:00:00,2024-10-05 08:00:00,DEV_001,192.168.37.133
DEV_001_2024-10-05 12:00:00,2024-10-05 12:00:00,DEV_001,192.168.205.82
DEV_001_2024-10-05 16:00:00,2024-10-05 16:00:00,DEV_001,192.168.35.196
DEV_001_2024-10-05 20:00:00,2024-10-05 20:00:00,DEV_001,192.168.87.205
DEV_001_2024-10-06 00:00:00,2024-10-06 00:00:00,DEV_001,192.168.118.253
DEV_001_2024-10-06 04:00:00,2024-10-06 04:00:00,DEV_001,192.168.84.185
DEV_001_2024-10-06 08:00:00,2024-10-06 08:00:00,DEV_001,192.168.224.148
DEV_001_2024-10-06 12:00:00,2024-10-06 12:00:00,DEV_001,192.168.132.24
DEV_001_2024-10-06 16:00:00,2024-10-06 16:00:00,DEV_001,192.168.226.30
DEV_001_2024-10-06 20:00:00,2024-10-06 20:00:00,DEV_001,192.168.27.181
DEV_001_2024-10-07 00:00:00,2024-10-07 00:00:00,DEV_001,192.168.178.109
DEV_001_2024-10-07 04:00:00,2024-10-07 04:00:00,DEV_001,192.168.134.170
DEV_001_2024-10-07 08:00:00,2024-10-07 08:00:00,DEV_001,192.168.34.119
DEV_001_2024-10-07 12:00:00,2024-10-07 12:00:00,DEV_001,192.168.221.34
DEV_001_2024-10-07 16:00:00,2024-10-07 16:00:00,DEV_001,192.168.102.201
DEV_001_2024-10-07 20:00:00,2024-10-07 20:00:00,DEV_001,192.168.251.117
DEV_001_2024-10-08 00:00:00,2024-10-08 00:00:00,DEV_001,192.168.75.54
DEV_001_2024-10-08 04:00:00,2024-10-08 04:00:00,DEV_001,192.168.28.138
DEV_001_2024-10-08 08:00:00,2024-10-08 08:00:00,DEV_001,192.168.26.211
DEV_001_2024-10-08 12:00:00,2024-10-08 12:00:00,DEV_001,192.168.12.42
DEV_001_2024-10-08 16:00:00,2024-10-08 16:00:00,DEV_001,192.168.164.189
DEV_001_2024-10-08 20:00:00,2024-10-08 20:00:00,DEV_001,192.168.223.207
DEV_001_2024-10-09 00:00:00,2024-10-09 00:00:00,DEV_001,192.168.20.131
DEV_001_2024-10-09 04:00:00,2024-10-09 04:00:00,DEV_001,192.168.135.70
DEV_001_2024-10-09 08:00:00,2024-10-09 08:00:00,DEV_001,192.168.220.211
DEV_001_2024-10-09 12:00:00,2024-10-09 12:00:00,DEV_001,192.168.144.10
DEV_001_2024-10-09 16:00:00,2024-10-09 16:00:00,DEV_001,192.168.224.141
DEV_001_2024-10-09 20:00:00,2024-10-09 20:00:00,DEV_001,192.168.218.106
DEV_001_2024-10-10 00:00:00,2024-10-10 00:00:00,DEV_001,192.168.11.194
DEV_001_2024-10-10 04:00:00,2024-10-10 04:00:00,DEV_001,192.168.201.128
DEV_001_2024-10-10 08:00:00,2024-10-10 08:00:00,DEV_001,192.168.212.151
DEV_001_2024-10-10 12:00:00,2024-10-10 12:00:00,DEV_001,192.168.192.225
DEV_001_2024-10-10 16:00:00,2024-10-10 16:00:00,DEV_001,192.168.127.180
DEV_001_2024-10-10 20:00:00,2024-10-10 20:00:00,DEV_001,192.168.60.26
DEV_001_2024-10-11 00:00:00,2024-10-11 00:00:00,DEV_001,192.168.14.22
DEV_001_2024-10-11 04:00:00,2024-10-11 04:00:00,DEV_001,192.168.88.65
DEV_001_2024-10-11 08:00:00,2024-10-11 08:00:00,DEV_001,192.168.250.154
DEV_001_2024-10-11 12:00:00,2024-10-11 12:00:00,DEV_001,192.168.20.233
DEV_001_2024-10-11 16:00:00,2024-10-11 16:00:00,DEV_001,192.168.151.231
DEV_001_2024-10-11 20:00:00,2024-10-11 20:00:00,DEV_001,192.168.15.160
DEV_001_2024-10-12 00:00:00,2024-10-12 00:00:00,DEV_001,192.168.15.205
DEV_001_2024-10-12 04:00:00,2024-10-12 04:00:00,DEV_001,192.168.41.160
DEV_001_2024-10-12 08:00:00,2024-10-12 08:00:00,DEV_001,192.168.177.41
DEV_001_2024-10-12 12:00:00,2024-10-12 12:00:00,DEV_001,192.168.107.125
DEV_001_2024-10-12 16:00:00,2024-10-12 16:00:00,DEV_001,192.168.151.13
DEV_001_2024-10-12 20:00:00,2024-10-12 20:00:00,DEV_001,192.168.202.79
DEV_001_2024-10-13 00:00:00,2024-10-13 00:00:00,DEV_001,192.168.137.42
DEV_001_2024-10-13 04:00:00,2024-10-13 04:00:00,DEV_001,192.168.168.249
DEV_001_2024-10-13 08:00:00,2024-10-13 08:00:00,DEV_001,192.168.120.131
DEV_001_2024-10-13 12:00:00,2024-10-13 12:00:00,DEV_001,192.168.182.16
DEV_001_2024-10-13 16:00:00,2024-10-13 16:00:00,DEV_001,192.168.43.209
DEV_001_2024-10-13 20:00:00,2024-10-13 20:00:00,DEV_001,192.168.216.158
DEV_001_2024-10-14 00:00:00,2024-10-14 00:00:00,DEV_001,192.168.238.121
DEV_001_2024-10-14 04:00:00,2024-10-14 04:00:00,DEV_001,192.168.226.165
DEV_001_2024-10-14 08:00:00,2024-10-14 08:00:00,DEV_001,192.168.187.205
DEV_001_2024-10-14 12:00:00,2024-10-14 12:00:00,DEV_001,192.168.23.230
DEV_001_2024-10-14 16:00:00,2024-10-14 16:00:00,DEV_001,192.168.25.58
DEV_001_2024-10-14 20:00:00,2024-10-14 20:00:00,DEV_001,192.168.8.126
DEV_001_2024-10-15 00:00:00,2024-10-15 00:00:00,DEV_001,192.168.188.19
DEV_001_2024-10-15 04:00:00,2024-10-15 04:00:00,DEV_001,192.168.27.135
DEV_001_2024-10-15 08:00:00,2024-10-15 08:00:00,DEV_001,192.168.44.214
DEV_001_2024-10-15 12:00:00,2024-10-15 12:00:00,DEV_001,192.168.127.94
DEV_001_2024-10-15 16:00:00,2024-10-15 16:00:00,DEV_001,192.168.190.165
DEV_001_2024-10-15 20:00:00,2024-10-15 20:00:00,DEV_001,192.168.15.228
DEV_001_2024-10-16 00:00:00,2024-10-16 00:00:00,DEV_001,192.168.4.157
DEV_001_2024-10-16 04:00:00,2024-10-16 04:00:00,DEV_001,192.168.51.243
DEV_001_2024-10-16 08:00:00,2024-10-16 08:00:00,DEV_001,192.168.150.6
DEV_001_2024-10-16 12:00:00,2024-10-16 12:00:00,DEV_001,192.168.163.185
DEV_001_2024-10-16 16:00:00,2024-10-16 16:00:00,DEV_001,192.168.160.49
DEV_001_2024-10-16 20:00:00,2024-10-16 20:00:00,DEV_001,192.168.168.80
DEV_001_2024-10-17 00:00:00,2024-10-17 00:00:00,DEV_001,192.168.182.98
DEV_001_2024-10-17 04:00:00,2024-10-17 04:00:00,DEV_001,192.168.106.154
DEV_001_2024-10-17 08:00:00,2024-10-17 08:00:00,DEV_001,192.168.36.205
DEV_001_2024-10-17 12:00:00,2024-10-17 12:00:00,DEV_001,192.168.115.17
DEV_001_2024-10-17 16:00:00,2024-10-17 16:00:00,DEV_001,192.168.223.32
DEV_001_2024-10-17 20:00:00,2024-10-17 20:00:00,DEV_001,192.168.155.221
DEV_001_2024-10-18 00:00:00,2024-10-18 00:00:00,DEV_001,192.168.24.175
DEV_001_2024-10-18 04:00:00,2024-10-18 04:00:00,DEV_001,192.168.21.219
DEV_001_2024-10-18 08:00:00,2024-10-18 08:00:00,DEV_001,192.168.60.126
DEV_001_2024-10-18 12:00:00,2024-10-18 12:00:00,DEV_001,192.168.43.102
DEV_001_2024-10-18 16:00:00,2024-10-18 16:00:00,DEV_001,192.168.19.109
DEV_001_2024-10-18 20:00:00,2024-10-18 20:00:00,DEV_001,192.168.177.88
DEV_001_2024-10-19 00:00:00,2024-10-19 00:00:00,DEV_001,192.168.174.47
DEV_001_2024-10-19 04:00:00,2024-10-19 04:00:00,DEV_001,192.168.199.51
DEV_001_2024-10-19 08:00:00,2024-10-19 08:00:00,DEV_001,192.168.182.206
DEV_001_2024-10-19 12:00:00,2024-10-19 12:00:00,DEV_001,192.168.38.14
DEV_001_2024-10-19 16:00:00,2024-10-19 16:00:00,DEV_001,192.168.196.175
DEV_001_2024-10-19 20:00:00,2024-10-19 20:00:00,DEV_001,192.168.20.143
DEV_001_2024-10-20 00:00:00,2024-10-20 00:00:00,DEV_001,192.168.247.100
DEV_001_2024-10-20 04:00:00,2024-10-20 04:00:00,DEV_001,192.168.96.209
DEV_001_2024-10-20 08:00:00,2024-10-20 08:00:00,DEV_001,192.168.248.212
DEV_001_2024-10-20 12:00:00,2024-10-20 12:00:00,DEV_001,192.168.0.208
DEV_001_2024-10-20 16:00:00,2024-10-20 16:00:00,DEV_001,192.168.108.82
DEV_001_2024-10-20 20:00:00,2024-10-20 20:00:00,DEV_001,192.168.137.151
DEV_001_2024-10-21 00:00:00,2024-10-21 00:00:00,DEV_001,192.168.17.241
DEV_001_2024-10-21 04:00:00,2024-10-21 04:00:00,DEV_001,192.168.57.126
DEV_001_2024-10-21 08:00:00,2024-10-21 08:00:00,DEV_001,192.168.72.110
