distid,createdts,sn,stations_bs,stations_br,stations_mode,stations_signal_strength,stations_tx_link_rate,stations_max_tx_phy_rate,stations_link_rate,stations_max_rx_phy_rate,stations_airtime_utilization,stations_station_name,connect_type,stations_parent_id
DEV_001_2024-09-06 18:00:00,2024-09-06 18:00:00,DEV_001,72,11,13,69,83,21,3,26,33,Station_6,5G,PARENT_3
DEV_001_2024-09-06 21:00:00,2024-09-06 21:00:00,DEV_001,9,58,24,39,76,61,48,91,50,Station_5,5G,PARENT_6
DEV_001_2024-09-07 00:00:00,2024-09-07 00:00:00,DEV_001,99,96,59,97,43,17,69,44,84,Station_7,5G_iptv,PARENT_4
DEV_001_2024-09-07 03:00:00,2024-09-07 03:00:00,DEV_001,26,94,48,47,46,29,34,10,20,Station_8,Ether,PARENT_5
DEV_001_2024-09-07 06:00:00,2024-09-07 06:00:00,DEV_001,13,87,10,86,45,78,89,82,84,Station_7,6G_guest,PARENT_8
DEV_001_2024-09-07 09:00:00,2024-09-07 09:00:00,DEV_001,5,85,20,44,80,58,20,89,71,Station_9,2.4G_guest,PARENT_3
DEV_001_2024-09-07 12:00:00,2024-09-07 12:00:00,DEV_001,74,40,16,4,10,51,48,95,76,Station_4,Ether,PARENT_4
DEV_001_2024-09-07 15:00:00,2024-09-07 15:00:00,DEV_001,23,77,35,17,10,38,78,83,32,Station_8,5G_guest,PARENT_1
DEV_001_2024-09-07 18:00:00,2024-09-07 18:00:00,DEV_001,57,89,25,14,45,44,38,36,88,Station_9,6G_guest,PARENT_7
DEV_001_2024-09-07 21:00:00,2024-09-07 21:00:00,DEV_001,39,13,66,34,15,58,59,66,52,Station_9,5G,PARENT_2
DEV_001_2024-09-08 00:00:00,2024-09-08 00:00:00,DEV_001,5,43,8,78,93,94,63,68,35,Station_7,5G_H_iptv,PARENT_1
DEV_001_2024-09-08 03:00:00,2024-09-08 03:00:00,DEV_001,24,50,59,65,93,38,38,21,23,Station_5,5G_H,PARENT_2
DEV_001_2024-09-08 06:00:00,2024-09-08 06:00:00,DEV_001,70,69,42,18,59,13,84,21,68,Station_2,6G_iptv,PARENT_7
DEV_001_2024-09-08 09:00:00,2024-09-08 09:00:00,DEV_001,61,99,38,40,27,58,90,76,66,Station_4,2.4G,PARENT_7
DEV_001_2024-09-08 12:00:00,2024-09-08 12:00:00,DEV_001,74,72,40,46,95,79,42,18,15,Station_3,5G_H,PARENT_3
DEV_001_2024-09-08 15:00:00,2024-09-08 15:00:00,DEV_001,66,13,57,9,99,66,16,2,16,Station_8,5G_H_iptv,PARENT_1
DEV_001_2024-09-08 18:00:00,2024-09-08 18:00:00,DEV_001,82,26,44,5,21,35,92,54,90,Station_2,6G_guest,PARENT_5
DEV_001_2024-09-08 21:00:00,2024-09-08 21:00:00,DEV_001,4,42,41,36,24,97,5,57,67,Station_6,6G,PARENT_6
DEV_001_2024-09-09 00:00:00,2024-09-09 00:00:00,DEV_001,59,86,4,67,10,19,82,28,95,Station_1,5G_H,PARENT_1
DEV_001_2024-09-09 03:00:00,2024-09-09 03:00:00,DEV_001,5,32,53,81,57,85,43,86,39,Station_2,5G,PARENT_2
DEV_001_2024-09-09 06:00:00,2024-09-09 06:00:00,DEV_001,4,92,91,70,11,47,85,81,31,Station_2,6G_iptv,PARENT_7
DEV_001_2024-09-09 09:00:00,2024-09-09 09:00:00,DEV_001,65,68,30,31,47,16,43,3,12,Station_5,5G,PARENT_2
DEV_001_2024-09-09 12:00:00,2024-09-09 12:00:00,DEV_001,5,52,13,81,12,81,1,8,16,Station_3,5G_H_guest,PARENT_2
DEV_001_2024-09-09 15:00:00,2024-09-09 15:00:00,DEV_001,59,89,31,68,68,12,17,85,29,Station_6,2.4G_guest,PARENT_8
DEV_001_2024-09-09 18:00:00,2024-09-09 18:00:00,DEV_001,80,63,15,30,51,11,57,13,87,Station_8,5G_iptv,PARENT_9
DEV_001_2024-09-09 21:00:00,2024-09-09 21:00:00,DEV_001,98,63,84,2,72,82,56,7,43,Station_6,6G_guest,PARENT_9
DEV_001_2024-09-10 00:00:00,2024-09-10 00:00:00,DEV_001,65,32,89,48,80,93,24,81,42,Station_6,5G_H_iptv,PARENT_4
DEV_001_2024-09-10 03:00:00,2024-09-10 03:00:00,DEV_001,31,27,66,83,92,45,44,57,21,Station_7,6G_iptv,PARENT_2
DEV_001_2024-09-10 06:00:00,2024-09-10 06:00:00,DEV_001,3,1,24,43,27,9,88,17,92,Station_7,5G_iptv,PARENT_4
DEV_001_2024-09-10 09:00:00,2024-09-10 09:00:00,DEV_001,93,45,28,56,29,29,69,11,2,Station_4,5G_H_iptv,PARENT_8
DEV_001_2024-09-10 12:00:00,2024-09-10 12:00:00,DEV_001,72,87,27,87,98,35,81,50,74,Station_6,Ether,PARENT_1
DEV_001_2024-09-10 15:00:00,2024-09-10 15:00:00,DEV_001,95,80,24,57,71,83,16,97,36,Station_3,6G,PARENT_3
DEV_001_2024-09-10 18:00:00,2024-09-10 18:00:00,DEV_001,66,35,91,69,79,36,49,97,1,Station_9,5G_H_guest,PARENT_9
DEV_001_2024-09-10 21:00:00,2024-09-10 21:00:00,DEV_001,20,94,14,87,93,99,52,91,54,Station_1,6G,PARENT_3
DEV_001_2024-09-11 00:00:00,2024-09-11 00:00:00,DEV_001,12,31,37,27,24,41,64,11,91,Station_9,5G_H,PARENT_1
DEV_001_2024-09-11 03:00:00,2024-09-11 03:00:00,DEV_001,9,49,26,49,42,45,77,21,29,Station_8,6G_iptv,PARENT_8
DEV_001_2024-09-11 06:00:00,2024-09-11 06:00:00,DEV_001,42,84,71,41,48,79,89,99,77,Station_8,5G,PARENT_5
DEV_001_2024-09-11 09:00:00,2024-09-11 09:00:00,DEV_001,63,6,74,52,21,14,58,97,25,Station_8,2.4G,PARENT_9
DEV_001_2024-09-11 12:00:00,2024-09-11 12:00:00,DEV_001,36,57,79,5,81,94,7,6,79,Station_9,2.4G_guest,PARENT_6
DEV_001_2024-09-11 15:00:00,2024-09-11 15:00:00,DEV_001,55,77,14,1,97,83,73,37,49,Station_5,5G_guest,PARENT_4
DEV_001_2024-09-11 18:00:00,2024-09-11 18:00:00,DEV_001,11,53,55,74,79,50,53,55,92,Station_3,5G_H,PARENT_1
DEV_001_2024-09-11 21:00:00,2024-09-11 21:00:00,DEV_001,36,19,4,59,89,91,12,63,56,Station_4,6G_iptv,PARENT_8
DEV_001_2024-09-12 00:00:00,2024-09-12 00:00:00,DEV_001,81,26,82,22,70,19,34,11,88,Station_5,5G_iptv,PARENT_8
DEV_001_2024-09-12 03:00:00,2024-09-12 03:00:00,DEV_001,43,4,82,94,15,23,12,68,68,Station_4,5G_H_guest,PARENT_9
DEV_001_2024-09-12 06:00:00,2024-09-12 06:00:00,DEV_001,78,59,58,59,72,23,1,56,75,Station_4,6G_iptv,PARENT_1
DEV_001_2024-09-12 09:00:00,2024-09-12 09:00:00,DEV_001,49,83,51,49,24,44,41,57,56,Station_1,6G_guest,PARENT_2
DEV_001_2024-09-12 12:00:00,2024-09-12 12:00:00,DEV_001,99,37,16,85,13,82,66,33,82,Station_5,2.4G,PARENT_5
DEV_001_2024-09-12 15:00:00,2024-09-12 15:00:00,DEV_001,76,40,8,54,89,7,2,97,56,Station_1,5G_H,PARENT_9
DEV_001_2024-09-12 18:00:00,2024-09-12 18:00:00,DEV_001,49,87,69,78,8,84,63,82,87,Station_7,5G_H,PARENT_9
DEV_001_2024-09-12 21:00:00,2024-09-12 21:00:00,DEV_001,78,67,46,78,67,42,64,73,53,Station_7,5G_H_iptv,PARENT_7
DEV_001_2024-09-13 00:00:00,2024-09-13 00:00:00,DEV_001,7,36,13,67,20,73,53,86,52,Station_1,6G_iptv,PARENT_7
DEV_001_2024-09-13 03:00:00,2024-09-13 03:00:00,DEV_001,87,90,96,61,56,92,94,40,81,Station_9,5G_H,PARENT_2
DEV_001_2024-09-13 06:00:00,2024-09-13 06:00:00,DEV_001,89,4,26,95,62,76,54,62,18,Station_4,Ether,PARENT_9
DEV_001_2024-09-13 09:00:00,2024-09-13 09:00:00,DEV_001,47,73,32,69,51,67,81,77,67,Station_4,Ether,PARENT_8
DEV_001_2024-09-13 12:00:00,2024-09-13 12:00:00,DEV_001,99,14,16,76,75,66,33,13,30,Station_2,Ether,PARENT_4
DEV_001_2024-09-13 15:00:00,2024-09-13 15:00:00,DEV_001,33,15,17,6,5,33,54,16,46,Station_8,6G_iptv,PARENT_5
DEV_001_2024-09-13 18:00:00,2024-09-13 18:00:00,DEV_001,67,99,91,76,50,41,89,55,81,Station_1,2.4G_guest,PARENT_2
DEV_001_2024-09-13 21:00:00,2024-09-13 21:00:00,DEV_001,35,50,79,33,67,71,10,90,41,Station_8,5G_guest,PARENT_1
DEV_001_2024-09-14 00:00:00,2024-09-14 00:00:00,DEV_001,16,24,94,60,74,11,44,86,3,Station_6,5G_H,PARENT_7
DEV_001_2024-09-14 03:00:00,2024-09-14 03:00:00,DEV_001,19,40,53,77,36,67,86,89,20,Station_9,2.4G,PARENT_6
DEV_001_2024-09-14 06:00:00,2024-09-14 06:00:00,DEV_001,37,18,84,46,5,73,93,81,76,Station_9,5G_H_iptv,PARENT_1
DEV_001_2024-09-14 09:00:00,2024-09-14 09:00:00,DEV_001,97,36,93,22,82,17,44,52,88,Station_6,6G_guest,PARENT_5
DEV_001_2024-09-14 12:00:00,2024-09-14 12:00:00,DEV_001,1,83,30,39,79,35,69,70,89,Station_3,5G_guest,PARENT_2
DEV_001_2024-09-14 15:00:00,2024-09-14 15:00:00,DEV_001,55,78,73,20,80,58,81,17,34,Station_3,Ether,PARENT_4
DEV_001_2024-09-14 18:00:00,2024-09-14 18:00:00,DEV_001,72,19,97,87,66,72,93,42,51,Station_7,MoCA,PARENT_3
DEV_001_2024-09-14 21:00:00,2024-09-14 21:00:00,DEV_001,25,68,62,38,17,74,1,18,63,Station_3,6G_iptv,PARENT_2
DEV_001_2024-09-15 00:00:00,2024-09-15 00:00:00,DEV_001,96,54,31,97,86,65,46,35,49,Station_1,Ether,PARENT_6
DEV_001_2024-09-15 03:00:00,2024-09-15 03:00:00,DEV_001,1,55,27,12,4,80,52,11,52,Station_4,5G_H_iptv,PARENT_8
DEV_001_2024-09-15 06:00:00,2024-09-15 06:00:00,DEV_001,66,90,27,97,55,71,54,46,36,Station_5,MoCA,PARENT_2
DEV_001_2024-09-15 09:00:00,2024-09-15 09:00:00,DEV_001,87,34,40,7,90,52,49,81,95,Station_7,5G_H_guest,PARENT_5
DEV_001_2024-09-15 12:00:00,2024-09-15 12:00:00,DEV_001,62,15,2,11,96,94,17,88,45,Station_4,5G_H,PARENT_2
DEV_001_2024-09-15 15:00:00,2024-09-15 15:00:00,DEV_001,61,46,32,19,67,4,25,73,21,Station_7,6G_iptv,PARENT_9
DEV_001_2024-09-15 18:00:00,2024-09-15 18:00:00,DEV_001,93,98,14,22,48,51,80,11,59,Station_7,5G,PARENT_8
DEV_001_2024-09-15 21:00:00,2024-09-15 21:00:00,DEV_001,93,81,94,25,78,42,86,44,5,Station_8,6G_guest,PARENT_4
DEV_001_2024-09-16 00:00:00,2024-09-16 00:00:00,DEV_001,60,77,21,96,49,56,57,85,61,Station_5,5G_guest,PARENT_9
DEV_001_2024-09-16 03:00:00,2024-09-16 03:00:00,DEV_001,2,3,43,74,35,73,40,96,85,Station_2,5G_H_guest,PARENT_8
DEV_001_2024-09-16 06:00:00,2024-09-16 06:00:00,DEV_001,32,22,89,65,21,80,96,21,28,Station_3,5G_H,PARENT_7
DEV_001_2024-09-16 09:00:00,2024-09-16 09:00:00,DEV_001,24,20,32,74,52,65,95,52,58,Station_8,6G_guest,PARENT_6
DEV_001_2024-09-16 12:00:00,2024-09-16 12:00:00,DEV_001,15,47,91,10,21,19,68,22,63,Station_6,5G_guest,PARENT_2
DEV_001_2024-09-16 15:00:00,2024-09-16 15:00:00,DEV_001,75,44,30,24,86,94,46,4,6,Station_6,5G_H_iptv,PARENT_3
DEV_001_2024-09-16 18:00:00,2024-09-16 18:00:00,DEV_001,2,68,69,47,99,29,64,80,12,Station_5,5G_H_guest,PARENT_8
DEV_001_2024-09-16 21:00:00,2024-09-16 21:00:00,DEV_001,60,26,32,39,4,98,92,89,44,Station_3,2.4G,PARENT_3
DEV_001_2024-09-17 00:00:00,2024-09-17 00:00:00,DEV_001,51,51,29,78,85,36,78,60,15,Station_3,Ether,PARENT_7
DEV_001_2024-09-17 03:00:00,2024-09-17 03:00:00,DEV_001,12,50,62,5,27,79,90,9,35,Station_1,Ether,PARENT_7
DEV_001_2024-09-17 06:00:00,2024-09-17 06:00:00,DEV_001,68,77,74,53,1,11,50,9,38,Station_7,6G_iptv,PARENT_5
DEV_001_2024-09-17 09:00:00,2024-09-17 09:00:00,DEV_001,25,10,5,22,42,89,20,28,21,Station_5,5G,PARENT_1
DEV_001_2024-09-17 12:00:00,2024-09-17 12:00:00,DEV_001,69,33,45,8,6,15,15,9,61,Station_8,5G,PARENT_7
DEV_001_2024-09-17 15:00:00,2024-09-17 15:00:00,DEV_001,80,57,35,10,91,80,21,12,9,Station_9,5G_H,PARENT_6
DEV_001_2024-09-17 18:00:00,2024-09-17 18:00:00,DEV_001,23,39,88,22,55,31,74,47,27,Station_2,5G_iptv,PARENT_8
DEV_001_2024-09-17 21:00:00,2024-09-17 21:00:00,DEV_001,21,15,81,45,19,53,89,55,86,Station_9,2.4G,PARENT_1
DEV_001_2024-09-18 00:00:00,2024-09-18 00:00:00,DEV_001,78,61,60,92,76,91,24,86,39,Station_9,Ether,PARENT_7
DEV_001_2024-09-18 03:00:00,2024-09-18 03:00:00,DEV_001,23,72,92,93,79,39,72,92,97,Station_5,5G_H_guest,PARENT_2
DEV_001_2024-09-18 06:00:00,2024-09-18 06:00:00,DEV_001,22,2,51,16,11,78,96,86,69,Station_4,5G_iptv,PARENT_3
DEV_001_2024-09-18 09:00:00,2024-09-18 09:00:00,DEV_001,29,42,23,60,73,18,95,81,55,Station_2,6G,PARENT_5
DEV_001_2024-09-18 12:00:00,2024-09-18 12:00:00,DEV_001,1,96,14,59,78,33,36,39,76,Station_9,2.4G_guest,PARENT_2
DEV_001_2024-09-18 15:00:00,2024-09-18 15:00:00,DEV_001,58,60,78,30,13,78,93,90,67,Station_9,6G,PARENT_8
DEV_001_2024-09-18 18:00:00,2024-09-18 18:00:00,DEV_001,80,38,75,93,47,88,29,34,11,Station_4,2.4G_guest,PARENT_9
DEV_001_2024-09-18 21:00:00,2024-09-18 21:00:00,DEV_001,56,23,91,88,25,89,33,31,74,Station_7,MoCA,PARENT_6
DEV_001_2024-09-19 00:00:00,2024-09-19 00:00:00,DEV_001,16,85,59,66,3,15,32,50,91,Station_4,2.4G,PARENT_7
DEV_001_2024-09-19 03:00:00,2024-09-19 03:00:00,DEV_001,88,8,7,4,94,10,60,25,42,Station_8,5G_guest,PARENT_2
DEV_001_2024-09-19 06:00:00,2024-09-19 06:00:00,DEV_001,32,74,73,25,89,16,49,16,94,Station_6,5G,PARENT_7
DEV_001_2024-09-19 09:00:00,2024-09-19 09:00:00,DEV_001,77,8,33,62,74,84,32,93,1,Station_4,5G_iptv,PARENT_6
DEV_001_2024-09-19 12:00:00,2024-09-19 12:00:00,DEV_001,52,2,93,39,32,51,69,86,92,Station_8,2.4G,PARENT_6
DEV_001_2024-09-19 15:00:00,2024-09-19 15:00:00,DEV_001,21,61,14,89,71,22,32,41,32,Station_4,MoCA,PARENT_8
DEV_001_2024-09-19 18:00:00,2024-09-19 18:00:00,DEV_001,54,62,85,90,43,3,38,81,39,Station_6,5G,PARENT_3
DEV_001_2024-09-19 21:00:00,2024-09-19 21:00:00,DEV_001,13,52,9,57,69,43,7,44,44,Station_6,2.4G_guest,PARENT_8
DEV_001_2024-09-20 00:00:00,2024-09-20 00:00:00,DEV_001,77,43,62,43,90,19,49,65,77,Station_9,2.4G_guest,PARENT_9
DEV_001_2024-09-20 03:00:00,2024-09-20 03:00:00,DEV_001,23,58,88,43,40,30,34,10,60,Station_1,6G_guest,PARENT_3
DEV_001_2024-09-20 06:00:00,2024-09-20 06:00:00,DEV_001,93,75,17,84,58,38,6,62,84,Station_1,5G,PARENT_5
DEV_001_2024-09-20 09:00:00,2024-09-20 09:00:00,DEV_001,67,20,51,46,79,67,3,23,9,Station_1,5G_H,PARENT_1
DEV_001_2024-09-20 12:00:00,2024-09-20 12:00:00,DEV_001,13,8,63,22,38,27,26,23,95,Station_1,5G_H_iptv,PARENT_4
DEV_001_2024-09-20 15:00:00,2024-09-20 15:00:00,DEV_001,31,4,29,73,79,44,3,59,79,Station_9,5G,PARENT_6
DEV_001_2024-09-20 18:00:00,2024-09-20 18:00:00,DEV_001,47,7,68,85,1,56,87,77,43,Station_2,5G_iptv,PARENT_9
DEV_001_2024-09-20 21:00:00,2024-09-20 21:00:00,DEV_001,62,6,16,1,22,46,62,23,21,Station_3,5G_guest,PARENT_7
DEV_001_2024-09-21 00:00:00,2024-09-21 00:00:00,DEV_001,42,42,60,57,77,96,7,51,97,Station_7,6G_guest,PARENT_8
DEV_001_2024-09-21 03:00:00,2024-09-21 03:00:00,DEV_001,15,59,85,12,77,42,39,63,2,Station_4,5G_guest,PARENT_7
DEV_001_2024-09-21 06:00:00,2024-09-21 06:00:00,DEV_001,30,87,92,56,87,36,42,93,4,Station_4,5G,PARENT_2
DEV_001_2024-09-21 09:00:00,2024-09-21 09:00:00,DEV_001,54,88,59,33,22,47,6,24,93,Station_1,5G,PARENT_3
DEV_001_2024-09-21 12:00:00,2024-09-21 12:00:00,DEV_001,41,67,89,92,79,81,2,91,78,Station_7,6G_guest,PARENT_2
DEV_001_2024-09-21 15:00:00,2024-09-21 15:00:00,DEV_001,7,21,58,95,23,60,25,35,99,Station_7,5G,PARENT_5
DEV_001_2024-09-21 18:00:00,2024-09-21 18:00:00,DEV_001,69,25,95,84,86,77,2,86,61,Station_9,2.4G,PARENT_2
DEV_001_2024-09-21 21:00:00,2024-09-21 21:00:00,DEV_001,45,32,72,80,97,75,32,8,96,Station_5,5G_H_guest,PARENT_9
DEV_001_2024-09-22 00:00:00,2024-09-22 00:00:00,DEV_001,20,65,21,7,89,9,86,2,19,Station_6,6G,PARENT_5
DEV_001_2024-09-22 03:00:00,2024-09-22 03:00:00,DEV_001,45,62,10,65,26,90,60,18,59,Station_5,6G_guest,PARENT_6
DEV_001_2024-09-22 06:00:00,2024-09-22 06:00:00,DEV_001,78,32,39,99,81,55,55,10,35,Station_6,2.4G_guest,PARENT_4
DEV_001_2024-09-22 09:00:00,2024-09-22 09:00:00,DEV_001,9,29,71,80,6,44,64,67,44,Station_4,5G_H_guest,PARENT_4
DEV_001_2024-09-22 12:00:00,2024-09-22 12:00:00,DEV_001,23,57,57,15,64,7,20,64,19,Station_6,2.4G,PARENT_7
DEV_001_2024-09-22 15:00:00,2024-09-22 15:00:00,DEV_001,65,71,99,25,23,89,58,11,34,Station_6,5G_guest,PARENT_2
DEV_001_2024-09-22 18:00:00,2024-09-22 18:00:00,DEV_001,46,12,9,13,64,20,59,85,22,Station_1,5G_H,PARENT_9
DEV_001_2024-09-22 21:00:00,2024-09-22 21:00:00,DEV_001,81,45,4,70,45,58,83,94,23,Station_8,6G_iptv,PARENT_8
DEV_001_2024-09-23 00:00:00,2024-09-23 00:00:00,DEV_001,85,81,81,85,79,91,25,33,66,Station_4,5G_H_iptv,PARENT_7
DEV_001_2024-09-23 03:00:00,2024-09-23 03:00:00,DEV_001,36,72,80,7,69,87,8,3,35,Station_2,2.4G_guest,PARENT_4
DEV_001_2024-09-23 06:00:00,2024-09-23 06:00:00,DEV_001,79,30,15,93,68,98,87,58,99,Station_1,Ether,PARENT_5
DEV_001_2024-09-23 09:00:00,2024-09-23 09:00:00,DEV_001,9,84,9,18,56,15,79,78,62,Station_3,5G_H,PARENT_3
DEV_001_2024-09-23 12:00:00,2024-09-23 12:00:00,DEV_001,60,56,84,75,41,54,17,25,93,Station_7,5G_H_guest,PARENT_8
DEV_001_2024-09-23 15:00:00,2024-09-23 15:00:00,DEV_001,89,23,2,45,65,38,6,48,44,Station_7,Ether,PARENT_4
DEV_001_2024-09-23 18:00:00,2024-09-23 18:00:00,DEV_001,98,94,36,35,66,50,3,76,4,Station_7,2.4G_guest,PARENT_7
DEV_001_2024-09-23 21:00:00,2024-09-23 21:00:00,DEV_001,20,19,8,67,27,79,8,18,29,Station_3,2.4G_guest,PARENT_3
DEV_001_2024-09-24 00:00:00,2024-09-24 00:00:00,DEV_001,9,10,84,66,1,91,4,48,96,Station_2,6G_iptv,PARENT_3
DEV_001_2024-09-24 03:00:00,2024-09-24 03:00:00,DEV_001,61,4,19,88,94,77,11,28,57,Station_6,MoCA,PARENT_8
