distid,createdts,sn,event_reason
DEV_001_2024-09-10 15:00:00,2024-09-10 15:00:00,DEV_001,15
DEV_001_2024-09-10 18:00:00,2024-09-10 18:00:00,DEV_001,54
DEV_001_2024-09-10 21:00:00,2024-09-10 21:00:00,DEV_001,44
DEV_001_2024-09-11 00:00:00,2024-09-11 00:00:00,DEV_001,94
DEV_001_2024-09-11 03:00:00,2024-09-11 03:00:00,DEV_001,63
DEV_001_2024-09-11 06:00:00,2024-09-11 06:00:00,DEV_001,62
DEV_001_2024-09-11 09:00:00,2024-09-11 09:00:00,DEV_001,40
DEV_001_2024-09-11 12:00:00,2024-09-11 12:00:00,DEV_001,31
DEV_001_2024-09-11 15:00:00,2024-09-11 15:00:00,DEV_001,82
DEV_001_2024-09-11 18:00:00,2024-09-11 18:00:00,DEV_001,82
DEV_001_2024-09-11 21:00:00,2024-09-11 21:00:00,DEV_001,81
DEV_001_2024-09-12 00:00:00,2024-09-12 00:00:00,DEV_001,25
DEV_001_2024-09-12 03:00:00,2024-09-12 03:00:00,DEV_001,94
DEV_001_2024-09-12 06:00:00,2024-09-12 06:00:00,DEV_001,83
DEV_001_2024-09-12 09:00:00,2024-09-12 09:00:00,DEV_001,33
DEV_001_2024-09-12 12:00:00,2024-09-12 12:00:00,DEV_001,93
DEV_001_2024-09-12 15:00:00,2024-09-12 15:00:00,DEV_001,61
DEV_001_2024-09-12 18:00:00,2024-09-12 18:00:00,DEV_001,9
DEV_001_2024-09-12 21:00:00,2024-09-12 21:00:00,DEV_001,38
DEV_001_2024-09-13 00:00:00,2024-09-13 00:00:00,DEV_001,66
DEV_001_2024-09-13 03:00:00,2024-09-13 03:00:00,DEV_001,57
DEV_001_2024-09-13 06:00:00,2024-09-13 06:00:00,DEV_001,70
DEV_001_2024-09-13 09:00:00,2024-09-13 09:00:00,DEV_001,25
DEV_001_2024-09-13 12:00:00,2024-09-13 12:00:00,DEV_001,14
DEV_001_2024-09-13 15:00:00,2024-09-13 15:00:00,DEV_001,55
DEV_001_2024-09-13 18:00:00,2024-09-13 18:00:00,DEV_001,67
DEV_001_2024-09-13 21:00:00,2024-09-13 21:00:00,DEV_001,49
DEV_001_2024-09-14 00:00:00,2024-09-14 00:00:00,DEV_001,18
DEV_001_2024-09-14 03:00:00,2024-09-14 03:00:00,DEV_001,44
DEV_001_2024-09-14 06:00:00,2024-09-14 06:00:00,DEV_001,21
DEV_001_2024-09-14 09:00:00,2024-09-14 09:00:00,DEV_001,49
DEV_001_2024-09-14 12:00:00,2024-09-14 12:00:00,DEV_001,99
DEV_001_2024-09-14 15:00:00,2024-09-14 15:00:00,DEV_001,7
DEV_001_2024-09-14 18:00:00,2024-09-14 18:00:00,DEV_001,41
DEV_001_2024-09-14 21:00:00,2024-09-14 21:00:00,DEV_001,95
DEV_001_2024-09-15 00:00:00,2024-09-15 00:00:00,DEV_001,69
DEV_001_2024-09-15 03:00:00,2024-09-15 03:00:00,DEV_001,23
DEV_001_2024-09-15 06:00:00,2024-09-15 06:00:00,DEV_001,92
DEV_001_2024-09-15 09:00:00,2024-09-15 09:00:00,DEV_001,7
DEV_001_2024-09-15 12:00:00,2024-09-15 12:00:00,DEV_001,65
DEV_001_2024-09-15 15:00:00,2024-09-15 15:00:00,DEV_001,7
DEV_001_2024-09-15 18:00:00,2024-09-15 18:00:00,DEV_001,69
DEV_001_2024-09-15 21:00:00,2024-09-15 21:00:00,DEV_001,73
DEV_001_2024-09-16 00:00:00,2024-09-16 00:00:00,DEV_001,49
DEV_001_2024-09-16 03:00:00,2024-09-16 03:00:00,DEV_001,71
DEV_001_2024-09-16 06:00:00,2024-09-16 06:00:00,DEV_001,30
DEV_001_2024-09-16 09:00:00,2024-09-16 09:00:00,DEV_001,70
DEV_001_2024-09-16 12:00:00,2024-09-16 12:00:00,DEV_001,84
DEV_001_2024-09-16 15:00:00,2024-09-16 15:00:00,DEV_001,24
DEV_001_2024-09-16 18:00:00,2024-09-16 18:00:00,DEV_001,34
DEV_001_2024-09-16 21:00:00,2024-09-16 21:00:00,DEV_001,21
DEV_001_2024-09-17 00:00:00,2024-09-17 00:00:00,DEV_001,56
DEV_001_2024-09-17 03:00:00,2024-09-17 03:00:00,DEV_001,36
DEV_001_2024-09-17 06:00:00,2024-09-17 06:00:00,DEV_001,21
DEV_001_2024-09-17 09:00:00,2024-09-17 09:00:00,DEV_001,66
DEV_001_2024-09-17 12:00:00,2024-09-17 12:00:00,DEV_001,41
DEV_001_2024-09-17 15:00:00,2024-09-17 15:00:00,DEV_001,22
DEV_001_2024-09-17 18:00:00,2024-09-17 18:00:00,DEV_001,66
DEV_001_2024-09-17 21:00:00,2024-09-17 21:00:00,DEV_001,75
DEV_001_2024-09-18 00:00:00,2024-09-18 00:00:00,DEV_001,9
DEV_001_2024-09-18 03:00:00,2024-09-18 03:00:00,DEV_001,35
DEV_001_2024-09-18 06:00:00,2024-09-18 06:00:00,DEV_001,34
DEV_001_2024-09-18 09:00:00,2024-09-18 09:00:00,DEV_001,84
DEV_001_2024-09-18 12:00:00,2024-09-18 12:00:00,DEV_001,28
DEV_001_2024-09-18 15:00:00,2024-09-18 15:00:00,DEV_001,89
DEV_001_2024-09-18 18:00:00,2024-09-18 18:00:00,DEV_001,37
DEV_001_2024-09-18 21:00:00,2024-09-18 21:00:00,DEV_001,47
DEV_001_2024-09-19 00:00:00,2024-09-19 00:00:00,DEV_001,3
DEV_001_2024-09-19 03:00:00,2024-09-19 03:00:00,DEV_001,71
DEV_001_2024-09-19 06:00:00,2024-09-19 06:00:00,DEV_001,20
DEV_001_2024-09-19 09:00:00,2024-09-19 09:00:00,DEV_001,14
DEV_001_2024-09-19 12:00:00,2024-09-19 12:00:00,DEV_001,94
DEV_001_2024-09-19 15:00:00,2024-09-19 15:00:00,DEV_001,68
DEV_001_2024-09-19 18:00:00,2024-09-19 18:00:00,DEV_001,57
DEV_001_2024-09-19 21:00:00,2024-09-19 21:00:00,DEV_001,38
DEV_001_2024-09-20 00:00:00,2024-09-20 00:00:00,DEV_001,84
DEV_001_2024-09-20 03:00:00,2024-09-20 03:00:00,DEV_001,25
DEV_001_2024-09-20 06:00:00,2024-09-20 06:00:00,DEV_001,62
DEV_001_2024-09-20 09:00:00,2024-09-20 09:00:00,DEV_001,28
DEV_001_2024-09-20 12:00:00,2024-09-20 12:00:00,DEV_001,57
DEV_001_2024-09-20 15:00:00,2024-09-20 15:00:00,DEV_001,70
DEV_001_2024-09-20 18:00:00,2024-09-20 18:00:00,DEV_001,27
DEV_001_2024-09-20 21:00:00,2024-09-20 21:00:00,DEV_001,42
DEV_001_2024-09-21 00:00:00,2024-09-21 00:00:00,DEV_001,28
DEV_001_2024-09-21 03:00:00,2024-09-21 03:00:00,DEV_001,33
DEV_001_2024-09-21 06:00:00,2024-09-21 06:00:00,DEV_001,87
DEV_001_2024-09-21 09:00:00,2024-09-21 09:00:00,DEV_001,44
DEV_001_2024-09-21 12:00:00,2024-09-21 12:00:00,DEV_001,42
DEV_001_2024-09-21 15:00:00,2024-09-21 15:00:00,DEV_001,88
DEV_001_2024-09-21 18:00:00,2024-09-21 18:00:00,DEV_001,2
DEV_001_2024-09-21 21:00:00,2024-09-21 21:00:00,DEV_001,66
DEV_001_2024-09-22 00:00:00,2024-09-22 00:00:00,DEV_001,95
DEV_001_2024-09-22 03:00:00,2024-09-22 03:00:00,DEV_001,53
DEV_001_2024-09-22 06:00:00,2024-09-22 06:00:00,DEV_001,60
DEV_001_2024-09-22 09:00:00,2024-09-22 09:00:00,DEV_001,68
DEV_001_2024-09-22 12:00:00,2024-09-22 12:00:00,DEV_001,27
DEV_001_2024-09-22 15:00:00,2024-09-22 15:00:00,DEV_001,51
DEV_001_2024-09-22 18:00:00,2024-09-22 18:00:00,DEV_001,26
DEV_001_2024-09-22 21:00:00,2024-09-22 21:00:00,DEV_001,13
DEV_001_2024-09-23 00:00:00,2024-09-23 00:00:00,DEV_001,36
DEV_001_2024-09-23 03:00:00,2024-09-23 03:00:00,DEV_001,82
DEV_001_2024-09-23 06:00:00,2024-09-23 06:00:00,DEV_001,17
DEV_001_2024-09-23 09:00:00,2024-09-23 09:00:00,DEV_001,57
DEV_001_2024-09-23 12:00:00,2024-09-23 12:00:00,DEV_001,83
DEV_001_2024-09-23 15:00:00,2024-09-23 15:00:00,DEV_001,28
DEV_001_2024-09-23 18:00:00,2024-09-23 18:00:00,DEV_001,52
DEV_001_2024-09-23 21:00:00,2024-09-23 21:00:00,DEV_001,62
DEV_001_2024-09-24 00:00:00,2024-09-24 00:00:00,DEV_001,73
DEV_001_2024-09-24 03:00:00,2024-09-24 03:00:00,DEV_001,89
DEV_001_2024-09-24 06:00:00,2024-09-24 06:00:00,DEV_001,57
DEV_001_2024-09-24 09:00:00,2024-09-24 09:00:00,DEV_001,48
DEV_001_2024-09-24 12:00:00,2024-09-24 12:00:00,DEV_001,87
DEV_001_2024-09-24 15:00:00,2024-09-24 15:00:00,DEV_001,48
DEV_001_2024-09-24 18:00:00,2024-09-24 18:00:00,DEV_001,83
DEV_001_2024-09-24 21:00:00,2024-09-24 21:00:00,DEV_001,26
DEV_001_2024-09-25 00:00:00,2024-09-25 00:00:00,DEV_001,94
DEV_001_2024-09-25 03:00:00,2024-09-25 03:00:00,DEV_001,89
DEV_001_2024-09-25 06:00:00,2024-09-25 06:00:00,DEV_001,31
DEV_001_2024-09-25 09:00:00,2024-09-25 09:00:00,DEV_001,48
DEV_001_2024-09-25 12:00:00,2024-09-25 12:00:00,DEV_001,5
DEV_001_2024-09-25 15:00:00,2024-09-25 15:00:00,DEV_001,67
DEV_001_2024-09-25 18:00:00,2024-09-25 18:00:00,DEV_001,19
DEV_001_2024-09-25 21:00:00,2024-09-25 21:00:00,DEV_001,54
DEV_001_2024-09-26 00:00:00,2024-09-26 00:00:00,DEV_001,48
DEV_001_2024-09-26 03:00:00,2024-09-26 03:00:00,DEV_001,93
DEV_001_2024-09-26 06:00:00,2024-09-26 06:00:00,DEV_001,89
DEV_001_2024-09-26 09:00:00,2024-09-26 09:00:00,DEV_001,63
DEV_001_2024-09-26 12:00:00,2024-09-26 12:00:00,DEV_001,20
DEV_001_2024-09-26 15:00:00,2024-09-26 15:00:00,DEV_001,69
DEV_001_2024-09-26 18:00:00,2024-09-26 18:00:00,DEV_001,98
DEV_001_2024-09-26 21:00:00,2024-09-26 21:00:00,DEV_001,35
DEV_001_2024-09-27 00:00:00,2024-09-27 00:00:00,DEV_001,11
DEV_001_2024-09-27 03:00:00,2024-09-27 03:00:00,DEV_001,24
DEV_001_2024-09-27 06:00:00,2024-09-27 06:00:00,DEV_001,56
DEV_001_2024-09-27 09:00:00,2024-09-27 09:00:00,DEV_001,36
DEV_001_2024-09-27 12:00:00,2024-09-27 12:00:00,DEV_001,36
DEV_001_2024-09-27 15:00:00,2024-09-27 15:00:00,DEV_001,72
DEV_001_2024-09-27 18:00:00,2024-09-27 18:00:00,DEV_001,67
DEV_001_2024-09-27 21:00:00,2024-09-27 21:00:00,DEV_001,64
DEV_001_2024-09-28 00:00:00,2024-09-28 00:00:00,DEV_001,3
DEV_001_2024-09-28 03:00:00,2024-09-28 03:00:00,DEV_001,93
DEV_001_2024-09-28 06:00:00,2024-09-28 06:00:00,DEV_001,65
DEV_001_2024-09-28 09:00:00,2024-09-28 09:00:00,DEV_001,26
DEV_001_2024-09-28 12:00:00,2024-09-28 12:00:00,DEV_001,89
DEV_001_2024-09-28 15:00:00,2024-09-28 15:00:00,DEV_001,42
DEV_001_2024-09-28 18:00:00,2024-09-28 18:00:00,DEV_001,39
DEV_001_2024-09-28 21:00:00,2024-09-28 21:00:00,DEV_001,22
DEV_001_2024-09-29 00:00:00,2024-09-29 00:00:00,DEV_001,51
DEV_001_2024-09-29 03:00:00,2024-09-29 03:00:00,DEV_001,33
DEV_001_2024-09-29 06:00:00,2024-09-29 06:00:00,DEV_001,33
DEV_001_2024-09-29 09:00:00,2024-09-29 09:00:00,DEV_001,67
DEV_001_2024-09-29 12:00:00,2024-09-29 12:00:00,DEV_001,31
DEV_001_2024-09-29 15:00:00,2024-09-29 15:00:00,DEV_001,20
DEV_001_2024-09-29 18:00:00,2024-09-29 18:00:00,DEV_001,21
DEV_001_2024-09-29 21:00:00,2024-09-29 21:00:00,DEV_001,41
DEV_001_2024-09-30 00:00:00,2024-09-30 00:00:00,DEV_001,15
DEV_001_2024-09-30 03:00:00,2024-09-30 03:00:00,DEV_001,68
DEV_001_2024-09-30 06:00:00,2024-09-30 06:00:00,DEV_001,39
DEV_001_2024-09-30 09:00:00,2024-09-30 09:00:00,DEV_001,33
DEV_001_2024-09-30 12:00:00,2024-09-30 12:00:00,DEV_001,34
DEV_001_2024-09-30 15:00:00,2024-09-30 15:00:00,DEV_001,63
DEV_001_2024-09-30 18:00:00,2024-09-30 18:00:00,DEV_001,61
DEV_001_2024-09-30 21:00:00,2024-09-30 21:00:00,DEV_001,22
DEV_001_2024-10-01 00:00:00,2024-10-01 00:00:00,DEV_001,55
DEV_001_2024-10-01 03:00:00,2024-10-01 03:00:00,DEV_001,20
DEV_001_2024-10-01 06:00:00,2024-10-01 06:00:00,DEV_001,25
DEV_001_2024-10-01 09:00:00,2024-10-01 09:00:00,DEV_001,39
DEV_001_2024-10-01 12:00:00,2024-10-01 12:00:00,DEV_001,39
DEV_001_2024-10-01 15:00:00,2024-10-01 15:00:00,DEV_001,55
DEV_001_2024-10-01 18:00:00,2024-10-01 18:00:00,DEV_001,56
DEV_001_2024-10-01 21:00:00,2024-10-01 21:00:00,DEV_001,44
DEV_001_2024-10-02 00:00:00,2024-10-02 00:00:00,DEV_001,27
DEV_001_2024-10-02 03:00:00,2024-10-02 03:00:00,DEV_001,51
DEV_001_2024-10-02 06:00:00,2024-10-02 06:00:00,DEV_001,91
DEV_001_2024-10-02 09:00:00,2024-10-02 09:00:00,DEV_001,35
DEV_001_2024-10-02 12:00:00,2024-10-02 12:00:00,DEV_001,59
DEV_001_2024-10-02 15:00:00,2024-10-02 15:00:00,DEV_001,51
DEV_001_2024-10-02 18:00:00,2024-10-02 18:00:00,DEV_001,94
DEV_001_2024-10-02 21:00:00,2024-10-02 21:00:00,DEV_001,4
DEV_001_2024-10-03 00:00:00,2024-10-03 00:00:00,DEV_001,33
DEV_001_2024-10-03 03:00:00,2024-10-03 03:00:00,DEV_001,26
DEV_001_2024-10-03 06:00:00,2024-10-03 06:00:00,DEV_001,25
DEV_001_2024-10-03 09:00:00,2024-10-03 09:00:00,DEV_001,85
DEV_001_2024-10-03 12:00:00,2024-10-03 12:00:00,DEV_001,77
DEV_001_2024-10-03 15:00:00,2024-10-03 15:00:00,DEV_001,45
DEV_001_2024-10-03 18:00:00,2024-10-03 18:00:00,DEV_001,87
DEV_001_2024-10-03 21:00:00,2024-10-03 21:00:00,DEV_001,53
DEV_001_2024-10-04 00:00:00,2024-10-04 00:00:00,DEV_001,27
DEV_001_2024-10-04 03:00:00,2024-10-04 03:00:00,DEV_001,87
DEV_001_2024-10-04 06:00:00,2024-10-04 06:00:00,DEV_001,99
DEV_001_2024-10-04 09:00:00,2024-10-04 09:00:00,DEV_001,97
DEV_001_2024-10-04 12:00:00,2024-10-04 12:00:00,DEV_001,77
DEV_001_2024-10-04 15:00:00,2024-10-04 15:00:00,DEV_001,42
DEV_001_2024-10-04 18:00:00,2024-10-04 18:00:00,DEV_001,84
DEV_001_2024-10-04 21:00:00,2024-10-04 21:00:00,DEV_001,8
DEV_001_2024-10-05 00:00:00,2024-10-05 00:00:00,DEV_001,89
DEV_001_2024-10-05 03:00:00,2024-10-05 03:00:00,DEV_001,11
DEV_001_2024-10-05 06:00:00,2024-10-05 06:00:00,DEV_001,3
DEV_001_2024-10-05 09:00:00,2024-10-05 09:00:00,DEV_001,25
DEV_001_2024-10-05 12:00:00,2024-10-05 12:00:00,DEV_001,57
DEV_001_2024-10-05 15:00:00,2024-10-05 15:00:00,DEV_001,13
DEV_001_2024-10-05 18:00:00,2024-10-05 18:00:00,DEV_001,37
DEV_001_2024-10-05 21:00:00,2024-10-05 21:00:00,DEV_001,56
DEV_001_2024-10-06 00:00:00,2024-10-06 00:00:00,DEV_001,58
DEV_001_2024-10-06 03:00:00,2024-10-06 03:00:00,DEV_001,96
DEV_001_2024-10-06 06:00:00,2024-10-06 06:00:00,DEV_001,1
DEV_001_2024-10-06 09:00:00,2024-10-06 09:00:00,DEV_001,9
DEV_001_2024-10-06 12:00:00,2024-10-06 12:00:00,DEV_001,2
DEV_001_2024-10-06 15:00:00,2024-10-06 15:00:00,DEV_001,39
DEV_001_2024-10-06 18:00:00,2024-10-06 18:00:00,DEV_001,79
DEV_001_2024-10-06 21:00:00,2024-10-06 21:00:00,DEV_001,55
DEV_001_2024-10-07 00:00:00,2024-10-07 00:00:00,DEV_001,78
DEV_001_2024-10-07 03:00:00,2024-10-07 03:00:00,DEV_001,73
DEV_001_2024-10-07 06:00:00,2024-10-07 06:00:00,DEV_001,90
DEV_001_2024-10-07 09:00:00,2024-10-07 09:00:00,DEV_001,86
DEV_001_2024-10-07 12:00:00,2024-10-07 12:00:00,DEV_001,29
DEV_001_2024-10-07 15:00:00,2024-10-07 15:00:00,DEV_001,56
DEV_001_2024-10-07 18:00:00,2024-10-07 18:00:00,DEV_001,21
DEV_001_2024-10-07 21:00:00,2024-10-07 21:00:00,DEV_001,63
DEV_001_2024-10-08 00:00:00,2024-10-08 00:00:00,DEV_001,5
DEV_001_2024-10-08 03:00:00,2024-10-08 03:00:00,DEV_001,52
DEV_001_2024-10-08 06:00:00,2024-10-08 06:00:00,DEV_001,47
DEV_001_2024-10-08 09:00:00,2024-10-08 09:00:00,DEV_001,95
DEV_001_2024-10-08 12:00:00,2024-10-08 12:00:00,DEV_001,2
DEV_001_2024-10-08 15:00:00,2024-10-08 15:00:00,DEV_001,50
DEV_001_2024-10-08 18:00:00,2024-10-08 18:00:00,DEV_001,28
DEV_001_2024-10-08 21:00:00,2024-10-08 21:00:00,DEV_001,61
DEV_001_2024-10-09 00:00:00,2024-10-09 00:00:00,DEV_001,84
DEV_001_2024-10-09 03:00:00,2024-10-09 03:00:00,DEV_001,80
DEV_001_2024-10-09 06:00:00,2024-10-09 06:00:00,DEV_001,99
DEV_001_2024-10-09 09:00:00,2024-10-09 09:00:00,DEV_001,37
DEV_001_2024-10-09 12:00:00,2024-10-09 12:00:00,DEV_001,38
DEV_001_2024-10-09 15:00:00,2024-10-09 15:00:00,DEV_001,29
DEV_001_2024-10-09 18:00:00,2024-10-09 18:00:00,DEV_001,46
DEV_001_2024-10-09 21:00:00,2024-10-09 21:00:00,DEV_001,67
DEV_001_2024-10-10 00:00:00,2024-10-10 00:00:00,DEV_001,15
DEV_001_2024-10-10 03:00:00,2024-10-10 03:00:00,DEV_001,15
DEV_001_2024-10-10 06:00:00,2024-10-10 06:00:00,DEV_001,66
DEV_001_2024-10-10 09:00:00,2024-10-10 09:00:00,DEV_001,70
DEV_001_2024-10-10 12:00:00,2024-10-10 12:00:00,DEV_001,43
DEV_001_2024-10-10 15:00:00,2024-10-10 15:00:00,DEV_001,39
DEV_001_2024-10-10 18:00:00,2024-10-10 18:00:00,DEV_001,87
DEV_001_2024-10-10 21:00:00,2024-10-10 21:00:00,DEV_001,49
DEV_001_2024-10-11 00:00:00,2024-10-11 00:00:00,DEV_001,9
DEV_001_2024-10-11 03:00:00,2024-10-11 03:00:00,DEV_001,17
DEV_001_2024-10-11 06:00:00,2024-10-11 06:00:00,DEV_001,72
DEV_001_2024-10-11 09:00:00,2024-10-11 09:00:00,DEV_001,56
DEV_001_2024-10-11 12:00:00,2024-10-11 12:00:00,DEV_001,84
DEV_001_2024-10-11 15:00:00,2024-10-11 15:00:00,DEV_001,50
DEV_001_2024-10-11 18:00:00,2024-10-11 18:00:00,DEV_001,2
DEV_001_2024-10-11 21:00:00,2024-10-11 21:00:00,DEV_001,76
DEV_001_2024-10-12 00:00:00,2024-10-12 00:00:00,DEV_001,4
DEV_001_2024-10-12 03:00:00,2024-10-12 03:00:00,DEV_001,12
DEV_001_2024-10-12 06:00:00,2024-10-12 06:00:00,DEV_001,60
DEV_001_2024-10-12 09:00:00,2024-10-12 09:00:00,DEV_001,60
DEV_001_2024-10-12 12:00:00,2024-10-12 12:00:00,DEV_001,69
DEV_001_2024-10-12 15:00:00,2024-10-12 15:00:00,DEV_001,53
DEV_001_2024-10-12 18:00:00,2024-10-12 18:00:00,DEV_001,64
DEV_001_2024-10-12 21:00:00,2024-10-12 21:00:00,DEV_001,95
DEV_001_2024-10-13 00:00:00,2024-10-13 00:00:00,DEV_001,66
DEV_001_2024-10-13 03:00:00,2024-10-13 03:00:00,DEV_001,85
DEV_001_2024-10-13 06:00:00,2024-10-13 06:00:00,DEV_001,49
DEV_001_2024-10-13 09:00:00,2024-10-13 09:00:00,DEV_001,68
DEV_001_2024-10-13 12:00:00,2024-10-13 12:00:00,DEV_001,23
DEV_001_2024-10-13 15:00:00,2024-10-13 15:00:00,DEV_001,5
DEV_001_2024-10-13 18:00:00,2024-10-13 18:00:00,DEV_001,26
DEV_001_2024-10-13 21:00:00,2024-10-13 21:00:00,DEV_001,58
DEV_001_2024-10-14 00:00:00,2024-10-14 00:00:00,DEV_001,39
DEV_001_2024-10-14 03:00:00,2024-10-14 03:00:00,DEV_001,73
DEV_001_2024-10-14 06:00:00,2024-10-14 06:00:00,DEV_001,45
DEV_001_2024-10-14 09:00:00,2024-10-14 09:00:00,DEV_001,72
DEV_001_2024-10-14 12:00:00,2024-10-14 12:00:00,DEV_001,45
