distid,createdts,sn,event_type,event_action
DEV_001_2024-09-16 00:00:00,2024-09-16 00:00:00,DEV_001,84,13
DEV_001_2024-09-16 05:00:00,2024-09-16 05:00:00,DEV_001,1,29
DEV_001_2024-09-16 10:00:00,2024-09-16 10:00:00,DEV_001,16,81
DEV_001_2024-09-16 15:00:00,2024-09-16 15:00:00,DEV_001,93,22
DEV_001_2024-09-16 20:00:00,2024-09-16 20:00:00,DEV_001,63,2
DEV_001_2024-09-17 01:00:00,2024-09-17 01:00:00,DEV_001,88,81
DEV_001_2024-09-17 06:00:00,2024-09-17 06:00:00,DEV_001,92,4
DEV_001_2024-09-17 11:00:00,2024-09-17 11:00:00,DEV_001,39,22
DEV_001_2024-09-17 16:00:00,2024-09-17 16:00:00,DEV_001,78,12
DEV_001_2024-09-17 21:00:00,2024-09-17 21:00:00,DEV_001,28,92
DEV_001_2024-09-18 02:00:00,2024-09-18 02:00:00,DEV_001,94,15
DEV_001_2024-09-18 07:00:00,2024-09-18 07:00:00,DEV_001,10,54
DEV_001_2024-09-18 12:00:00,2024-09-18 12:00:00,DEV_001,97,79
DEV_001_2024-09-18 17:00:00,2024-09-18 17:00:00,DEV_001,32,2
DEV_001_2024-09-18 22:00:00,2024-09-18 22:00:00,DEV_001,96,85
DEV_001_2024-09-19 03:00:00,2024-09-19 03:00:00,DEV_001,59,38
DEV_001_2024-09-19 08:00:00,2024-09-19 08:00:00,DEV_001,83,26
DEV_001_2024-09-19 13:00:00,2024-09-19 13:00:00,DEV_001,11,83
DEV_001_2024-09-19 18:00:00,2024-09-19 18:00:00,DEV_001,1,49
DEV_001_2024-09-19 23:00:00,2024-09-19 23:00:00,DEV_001,24,70
DEV_001_2024-09-20 04:00:00,2024-09-20 04:00:00,DEV_001,24,68
DEV_001_2024-09-20 09:00:00,2024-09-20 09:00:00,DEV_001,87,17
DEV_001_2024-09-20 14:00:00,2024-09-20 14:00:00,DEV_001,30,12
DEV_001_2024-09-20 19:00:00,2024-09-20 19:00:00,DEV_001,29,13
DEV_001_2024-09-21 00:00:00,2024-09-21 00:00:00,DEV_001,4,49
DEV_001_2024-09-21 05:00:00,2024-09-21 05:00:00,DEV_001,22,60
DEV_001_2024-09-21 10:00:00,2024-09-21 10:00:00,DEV_001,31,6
DEV_001_2024-09-21 15:00:00,2024-09-21 15:00:00,DEV_001,70,5
DEV_001_2024-09-21 20:00:00,2024-09-21 20:00:00,DEV_001,9,34
DEV_001_2024-09-22 01:00:00,2024-09-22 01:00:00,DEV_001,56,56
DEV_001_2024-09-22 06:00:00,2024-09-22 06:00:00,DEV_001,98,10
DEV_001_2024-09-22 11:00:00,2024-09-22 11:00:00,DEV_001,28,38
DEV_001_2024-09-22 16:00:00,2024-09-22 16:00:00,DEV_001,49,83
DEV_001_2024-09-22 21:00:00,2024-09-22 21:00:00,DEV_001,68,93
DEV_001_2024-09-23 02:00:00,2024-09-23 02:00:00,DEV_001,84,16
DEV_001_2024-09-23 07:00:00,2024-09-23 07:00:00,DEV_001,83,49
DEV_001_2024-09-23 12:00:00,2024-09-23 12:00:00,DEV_001,85,71
DEV_001_2024-09-23 17:00:00,2024-09-23 17:00:00,DEV_001,20,60
DEV_001_2024-09-23 22:00:00,2024-09-23 22:00:00,DEV_001,93,25
DEV_001_2024-09-24 03:00:00,2024-09-24 03:00:00,DEV_001,38,34
DEV_001_2024-09-24 08:00:00,2024-09-24 08:00:00,DEV_001,3,86
DEV_001_2024-09-24 13:00:00,2024-09-24 13:00:00,DEV_001,36,78
DEV_001_2024-09-24 18:00:00,2024-09-24 18:00:00,DEV_001,49,93
DEV_001_2024-09-24 23:00:00,2024-09-24 23:00:00,DEV_001,13,40
DEV_001_2024-09-25 04:00:00,2024-09-25 04:00:00,DEV_001,66,12
DEV_001_2024-09-25 09:00:00,2024-09-25 09:00:00,DEV_001,5,45
DEV_001_2024-09-25 14:00:00,2024-09-25 14:00:00,DEV_001,79,57
DEV_001_2024-09-25 19:00:00,2024-09-25 19:00:00,DEV_001,64,26
DEV_001_2024-09-26 00:00:00,2024-09-26 00:00:00,DEV_001,14,11
DEV_001_2024-09-26 05:00:00,2024-09-26 05:00:00,DEV_001,55,25
DEV_001_2024-09-26 10:00:00,2024-09-26 10:00:00,DEV_001,51,39
DEV_001_2024-09-26 15:00:00,2024-09-26 15:00:00,DEV_001,56,14
DEV_001_2024-09-26 20:00:00,2024-09-26 20:00:00,DEV_001,8,65
DEV_001_2024-09-27 01:00:00,2024-09-27 01:00:00,DEV_001,66,88
DEV_001_2024-09-27 06:00:00,2024-09-27 06:00:00,DEV_001,49,95
DEV_001_2024-09-27 11:00:00,2024-09-27 11:00:00,DEV_001,80,91
DEV_001_2024-09-27 16:00:00,2024-09-27 16:00:00,DEV_001,61,81
DEV_001_2024-09-27 21:00:00,2024-09-27 21:00:00,DEV_001,99,31
DEV_001_2024-09-28 02:00:00,2024-09-28 02:00:00,DEV_001,30,96
DEV_001_2024-09-28 07:00:00,2024-09-28 07:00:00,DEV_001,47,14
DEV_001_2024-09-28 12:00:00,2024-09-28 12:00:00,DEV_001,3,53
DEV_001_2024-09-28 17:00:00,2024-09-28 17:00:00,DEV_001,24,43
DEV_001_2024-09-28 22:00:00,2024-09-28 22:00:00,DEV_001,67,3
DEV_001_2024-09-29 03:00:00,2024-09-29 03:00:00,DEV_001,71,10
DEV_001_2024-09-29 08:00:00,2024-09-29 08:00:00,DEV_001,28,9
DEV_001_2024-09-29 13:00:00,2024-09-29 13:00:00,DEV_001,97,66
DEV_001_2024-09-29 18:00:00,2024-09-29 18:00:00,DEV_001,26,15
DEV_001_2024-09-29 23:00:00,2024-09-29 23:00:00,DEV_001,39,66
DEV_001_2024-09-30 04:00:00,2024-09-30 04:00:00,DEV_001,80,36
DEV_001_2024-09-30 09:00:00,2024-09-30 09:00:00,DEV_001,45,92
DEV_001_2024-09-30 14:00:00,2024-09-30 14:00:00,DEV_001,85,19
DEV_001_2024-09-30 19:00:00,2024-09-30 19:00:00,DEV_001,72,13
DEV_001_2024-10-01 00:00:00,2024-10-01 00:00:00,DEV_001,85,52
DEV_001_2024-10-01 05:00:00,2024-10-01 05:00:00,DEV_001,22,31
DEV_001_2024-10-01 10:00:00,2024-10-01 10:00:00,DEV_001,24,88
DEV_001_2024-10-01 15:00:00,2024-10-01 15:00:00,DEV_001,7,31
DEV_001_2024-10-01 20:00:00,2024-10-01 20:00:00,DEV_001,8,23
DEV_001_2024-10-02 01:00:00,2024-10-02 01:00:00,DEV_001,12,12
DEV_001_2024-10-02 06:00:00,2024-10-02 06:00:00,DEV_001,94,53
DEV_001_2024-10-02 11:00:00,2024-10-02 11:00:00,DEV_001,41,43
DEV_001_2024-10-02 16:00:00,2024-10-02 16:00:00,DEV_001,64,23
DEV_001_2024-10-02 21:00:00,2024-10-02 21:00:00,DEV_001,82,72
DEV_001_2024-10-03 02:00:00,2024-10-03 02:00:00,DEV_001,63,60
DEV_001_2024-10-03 07:00:00,2024-10-03 07:00:00,DEV_001,85,40
DEV_001_2024-10-03 12:00:00,2024-10-03 12:00:00,DEV_001,15,97
DEV_001_2024-10-03 17:00:00,2024-10-03 17:00:00,DEV_001,94,85
DEV_001_2024-10-03 22:00:00,2024-10-03 22:00:00,DEV_001,58,98
DEV_001_2024-10-04 03:00:00,2024-10-04 03:00:00,DEV_001,91,19
DEV_001_2024-10-04 08:00:00,2024-10-04 08:00:00,DEV_001,92,36
DEV_001_2024-10-04 13:00:00,2024-10-04 13:00:00,DEV_001,47,72
DEV_001_2024-10-04 18:00:00,2024-10-04 18:00:00,DEV_001,47,35
DEV_001_2024-10-04 23:00:00,2024-10-04 23:00:00,DEV_001,67,46
DEV_001_2024-10-05 04:00:00,2024-10-05 04:00:00,DEV_001,45,81
DEV_001_2024-10-05 09:00:00,2024-10-05 09:00:00,DEV_001,56,45
DEV_001_2024-10-05 14:00:00,2024-10-05 14:00:00,DEV_001,86,27
DEV_001_2024-10-05 19:00:00,2024-10-05 19:00:00,DEV_001,14,44
DEV_001_2024-10-06 00:00:00,2024-10-06 00:00:00,DEV_001,34,58
DEV_001_2024-10-06 05:00:00,2024-10-06 05:00:00,DEV_001,72,99
DEV_001_2024-10-06 10:00:00,2024-10-06 10:00:00,DEV_001,39,4
DEV_001_2024-10-06 15:00:00,2024-10-06 15:00:00,DEV_001,98,57
DEV_001_2024-10-06 20:00:00,2024-10-06 20:00:00,DEV_001,45,52
DEV_001_2024-10-07 01:00:00,2024-10-07 01:00:00,DEV_001,47,50
DEV_001_2024-10-07 06:00:00,2024-10-07 06:00:00,DEV_001,9,2
DEV_001_2024-10-07 11:00:00,2024-10-07 11:00:00,DEV_001,94,29
DEV_001_2024-10-07 16:00:00,2024-10-07 16:00:00,DEV_001,3,68
DEV_001_2024-10-07 21:00:00,2024-10-07 21:00:00,DEV_001,45,76
DEV_001_2024-10-08 02:00:00,2024-10-08 02:00:00,DEV_001,23,25
DEV_001_2024-10-08 07:00:00,2024-10-08 07:00:00,DEV_001,61,49
DEV_001_2024-10-08 12:00:00,2024-10-08 12:00:00,DEV_001,80,94
DEV_001_2024-10-08 17:00:00,2024-10-08 17:00:00,DEV_001,54,95
DEV_001_2024-10-08 22:00:00,2024-10-08 22:00:00,DEV_001,47,19
DEV_001_2024-10-09 03:00:00,2024-10-09 03:00:00,DEV_001,76,67
DEV_001_2024-10-09 08:00:00,2024-10-09 08:00:00,DEV_001,90,37
DEV_001_2024-10-09 13:00:00,2024-10-09 13:00:00,DEV_001,65,46
DEV_001_2024-10-09 18:00:00,2024-10-09 18:00:00,DEV_001,84,36
DEV_001_2024-10-09 23:00:00,2024-10-09 23:00:00,DEV_001,65,29
DEV_001_2024-10-10 04:00:00,2024-10-10 04:00:00,DEV_001,97,30
DEV_001_2024-10-10 09:00:00,2024-10-10 09:00:00,DEV_001,75,93
DEV_001_2024-10-10 14:00:00,2024-10-10 14:00:00,DEV_001,46,12
DEV_001_2024-10-10 19:00:00,2024-10-10 19:00:00,DEV_001,69,81
DEV_001_2024-10-11 00:00:00,2024-10-11 00:00:00,DEV_001,37,58
DEV_001_2024-10-11 05:00:00,2024-10-11 05:00:00,DEV_001,50,13
DEV_001_2024-10-11 10:00:00,2024-10-11 10:00:00,DEV_001,93,56
DEV_001_2024-10-11 15:00:00,2024-10-11 15:00:00,DEV_001,77,47
DEV_001_2024-10-11 20:00:00,2024-10-11 20:00:00,DEV_001,26,61
DEV_001_2024-10-12 01:00:00,2024-10-12 01:00:00,DEV_001,31,33
DEV_001_2024-10-12 06:00:00,2024-10-12 06:00:00,DEV_001,32,21
DEV_001_2024-10-12 11:00:00,2024-10-12 11:00:00,DEV_001,84,38
DEV_001_2024-10-12 16:00:00,2024-10-12 16:00:00,DEV_001,59,60
DEV_001_2024-10-12 21:00:00,2024-10-12 21:00:00,DEV_001,50,59
DEV_001_2024-10-13 02:00:00,2024-10-13 02:00:00,DEV_001,54,29
DEV_001_2024-10-13 07:00:00,2024-10-13 07:00:00,DEV_001,38,71
DEV_001_2024-10-13 12:00:00,2024-10-13 12:00:00,DEV_001,78,88
DEV_001_2024-10-13 17:00:00,2024-10-13 17:00:00,DEV_001,93,4
DEV_001_2024-10-13 22:00:00,2024-10-13 22:00:00,DEV_001,57,19
DEV_001_2024-10-14 03:00:00,2024-10-14 03:00:00,DEV_001,79,79
DEV_001_2024-10-14 08:00:00,2024-10-14 08:00:00,DEV_001,32,93
DEV_001_2024-10-14 13:00:00,2024-10-14 13:00:00,DEV_001,22,50
DEV_001_2024-10-14 18:00:00,2024-10-14 18:00:00,DEV_001,36,53
DEV_001_2024-10-14 23:00:00,2024-10-14 23:00:00,DEV_001,81,77
DEV_001_2024-10-15 04:00:00,2024-10-15 04:00:00,DEV_001,59,57
DEV_001_2024-10-15 09:00:00,2024-10-15 09:00:00,DEV_001,97,87
DEV_001_2024-10-15 14:00:00,2024-10-15 14:00:00,DEV_001,49,22
DEV_001_2024-10-15 19:00:00,2024-10-15 19:00:00,DEV_001,40,98
DEV_001_2024-10-16 00:00:00,2024-10-16 00:00:00,DEV_001,17,43
DEV_001_2024-10-16 05:00:00,2024-10-16 05:00:00,DEV_001,84,1
DEV_001_2024-10-16 10:00:00,2024-10-16 10:00:00,DEV_001,48,20
DEV_001_2024-10-16 15:00:00,2024-10-16 15:00:00,DEV_001,41,59
DEV_001_2024-10-16 20:00:00,2024-10-16 20:00:00,DEV_001,97,34
DEV_001_2024-10-17 01:00:00,2024-10-17 01:00:00,DEV_001,5,86
DEV_001_2024-10-17 06:00:00,2024-10-17 06:00:00,DEV_001,37,73
DEV_001_2024-10-17 11:00:00,2024-10-17 11:00:00,DEV_001,83,97
DEV_001_2024-10-17 16:00:00,2024-10-17 16:00:00,DEV_001,50,18
DEV_001_2024-10-17 21:00:00,2024-10-17 21:00:00,DEV_001,62,23
DEV_001_2024-10-18 02:00:00,2024-10-18 02:00:00,DEV_001,60,57
DEV_001_2024-10-18 07:00:00,2024-10-18 07:00:00,DEV_001,6,73
DEV_001_2024-10-18 12:00:00,2024-10-18 12:00:00,DEV_001,99,83
DEV_001_2024-10-18 17:00:00,2024-10-18 17:00:00,DEV_001,5,54
DEV_001_2024-10-18 22:00:00,2024-10-18 22:00:00,DEV_001,61,27
DEV_001_2024-10-19 03:00:00,2024-10-19 03:00:00,DEV_001,49,65
DEV_001_2024-10-19 08:00:00,2024-10-19 08:00:00,DEV_001,15,49
DEV_001_2024-10-19 13:00:00,2024-10-19 13:00:00,DEV_001,98,13
DEV_001_2024-10-19 18:00:00,2024-10-19 18:00:00,DEV_001,17,19
DEV_001_2024-10-19 23:00:00,2024-10-19 23:00:00,DEV_001,27,59
DEV_001_2024-10-20 04:00:00,2024-10-20 04:00:00,DEV_001,48,94
DEV_001_2024-10-20 09:00:00,2024-10-20 09:00:00,DEV_001,3,91
DEV_001_2024-10-20 14:00:00,2024-10-20 14:00:00,DEV_001,84,44
DEV_001_2024-10-20 19:00:00,2024-10-20 19:00:00,DEV_001,43,31
DEV_001_2024-10-21 00:00:00,2024-10-21 00:00:00,DEV_001,72,98
DEV_001_2024-10-21 05:00:00,2024-10-21 05:00:00,DEV_001,19,93
DEV_001_2024-10-21 10:00:00,2024-10-21 10:00:00,DEV_001,57,46
DEV_001_2024-10-21 15:00:00,2024-10-21 15:00:00,DEV_001,4,1
DEV_001_2024-10-21 20:00:00,2024-10-21 20:00:00,DEV_001,84,78
DEV_001_2024-10-22 01:00:00,2024-10-22 01:00:00,DEV_001,66,86
DEV_001_2024-10-22 06:00:00,2024-10-22 06:00:00,DEV_001,28,59
DEV_001_2024-10-22 11:00:00,2024-10-22 11:00:00,DEV_001,35,46
DEV_001_2024-10-22 16:00:00,2024-10-22 16:00:00,DEV_001,47,46
DEV_001_2024-10-22 21:00:00,2024-10-22 21:00:00,DEV_001,30,51
DEV_001_2024-10-23 02:00:00,2024-10-23 02:00:00,DEV_001,90,65
DEV_001_2024-10-23 07:00:00,2024-10-23 07:00:00,DEV_001,48,90
DEV_001_2024-10-23 12:00:00,2024-10-23 12:00:00,DEV_001,21,32
DEV_001_2024-10-23 17:00:00,2024-10-23 17:00:00,DEV_001,54,89
DEV_001_2024-10-23 22:00:00,2024-10-23 22:00:00,DEV_001,76,99
DEV_001_2024-10-24 03:00:00,2024-10-24 03:00:00,DEV_001,18,43
DEV_001_2024-10-24 08:00:00,2024-10-24 08:00:00,DEV_001,5,25
DEV_001_2024-10-24 13:00:00,2024-10-24 13:00:00,DEV_001,10,4
DEV_001_2024-10-24 18:00:00,2024-10-24 18:00:00,DEV_001,61,94
DEV_001_2024-10-24 23:00:00,2024-10-24 23:00:00,DEV_001,7,42
DEV_001_2024-10-25 04:00:00,2024-10-25 04:00:00,DEV_001,72,68
DEV_001_2024-10-25 09:00:00,2024-10-25 09:00:00,DEV_001,6,37
DEV_001_2024-10-25 14:00:00,2024-10-25 14:00:00,DEV_001,30,74
DEV_001_2024-10-25 19:00:00,2024-10-25 19:00:00,DEV_001,79,65
DEV_001_2024-10-26 00:00:00,2024-10-26 00:00:00,DEV_001,11,56
DEV_001_2024-10-26 05:00:00,2024-10-26 05:00:00,DEV_001,74,54
DEV_001_2024-10-26 10:00:00,2024-10-26 10:00:00,DEV_001,40,12
DEV_001_2024-10-26 15:00:00,2024-10-26 15:00:00,DEV_001,26,59
DEV_001_2024-10-26 20:00:00,2024-10-26 20:00:00,DEV_001,48,61
DEV_001_2024-10-27 01:00:00,2024-10-27 01:00:00,DEV_001,2,64
DEV_001_2024-10-27 06:00:00,2024-10-27 06:00:00,DEV_001,89,27
DEV_001_2024-10-27 11:00:00,2024-10-27 11:00:00,DEV_001,32,16
DEV_001_2024-10-27 16:00:00,2024-10-27 16:00:00,DEV_001,63,14
DEV_001_2024-10-27 21:00:00,2024-10-27 21:00:00,DEV_001,37,30
DEV_001_2024-10-28 02:00:00,2024-10-28 02:00:00,DEV_001,99,16
DEV_001_2024-10-28 07:00:00,2024-10-28 07:00:00,DEV_001,64,6
DEV_001_2024-10-28 12:00:00,2024-10-28 12:00:00,DEV_001,39,57
DEV_001_2024-10-28 17:00:00,2024-10-28 17:00:00,DEV_001,43,64
DEV_001_2024-10-28 22:00:00,2024-10-28 22:00:00,DEV_001,22,88
DEV_001_2024-10-29 03:00:00,2024-10-29 03:00:00,DEV_001,94,87
DEV_001_2024-10-29 08:00:00,2024-10-29 08:00:00,DEV_001,18,44
DEV_001_2024-10-29 13:00:00,2024-10-29 13:00:00,DEV_001,24,71
DEV_001_2024-10-29 18:00:00,2024-10-29 18:00:00,DEV_001,54,51
DEV_001_2024-10-29 23:00:00,2024-10-29 23:00:00,DEV_001,29,50
DEV_001_2024-10-30 04:00:00,2024-10-30 04:00:00,DEV_001,62,93
DEV_001_2024-10-30 09:00:00,2024-10-30 09:00:00,DEV_001,58,58
DEV_001_2024-10-30 14:00:00,2024-10-30 14:00:00,DEV_001,33,27
DEV_001_2024-10-30 19:00:00,2024-10-30 19:00:00,DEV_001,76,63
DEV_001_2024-10-31 00:00:00,2024-10-31 00:00:00,DEV_001,49,20
DEV_001_2024-10-31 05:00:00,2024-10-31 05:00:00,DEV_001,29,35
DEV_001_2024-10-31 10:00:00,2024-10-31 10:00:00,DEV_001,77,64
DEV_001_2024-10-31 15:00:00,2024-10-31 15:00:00,DEV_001,81,13
DEV_001_2024-10-31 20:00:00,2024-10-31 20:00:00,DEV_001,31,96
DEV_001_2024-11-01 01:00:00,2024-11-01 01:00:00,DEV_001,60,92
DEV_001_2024-11-01 06:00:00,2024-11-01 06:00:00,DEV_001,53,53
DEV_001_2024-11-01 11:00:00,2024-11-01 11:00:00,DEV_001,81,28
DEV_001_2024-11-01 16:00:00,2024-11-01 16:00:00,DEV_001,14,28
DEV_001_2024-11-01 21:00:00,2024-11-01 21:00:00,DEV_001,72,81
DEV_001_2024-11-02 02:00:00,2024-11-02 02:00:00,DEV_001,69,91
DEV_001_2024-11-02 07:00:00,2024-11-02 07:00:00,DEV_001,46,67
DEV_001_2024-11-02 12:00:00,2024-11-02 12:00:00,DEV_001,22,40
DEV_001_2024-11-02 17:00:00,2024-11-02 17:00:00,DEV_001,32,37
DEV_001_2024-11-02 22:00:00,2024-11-02 22:00:00,DEV_001,42,59
DEV_001_2024-11-03 03:00:00,2024-11-03 03:00:00,DEV_001,40,18
DEV_001_2024-11-03 08:00:00,2024-11-03 08:00:00,DEV_001,23,21
DEV_001_2024-11-03 13:00:00,2024-11-03 13:00:00,DEV_001,29,46
DEV_001_2024-11-03 18:00:00,2024-11-03 18:00:00,DEV_001,52,26
DEV_001_2024-11-03 23:00:00,2024-11-03 23:00:00,DEV_001,59,94
DEV_001_2024-11-04 04:00:00,2024-11-04 04:00:00,DEV_001,55,29
DEV_001_2024-11-04 09:00:00,2024-11-04 09:00:00,DEV_001,6,16
DEV_001_2024-11-04 14:00:00,2024-11-04 14:00:00,DEV_001,80,8
DEV_001_2024-11-04 19:00:00,2024-11-04 19:00:00,DEV_001,99,36
DEV_001_2024-11-05 00:00:00,2024-11-05 00:00:00,DEV_001,78,5
DEV_001_2024-11-05 05:00:00,2024-11-05 05:00:00,DEV_001,5,75
DEV_001_2024-11-05 10:00:00,2024-11-05 10:00:00,DEV_001,29,96
DEV_001_2024-11-05 15:00:00,2024-11-05 15:00:00,DEV_001,57,69
DEV_001_2024-11-05 20:00:00,2024-11-05 20:00:00,DEV_001,39,60
DEV_001_2024-11-06 01:00:00,2024-11-06 01:00:00,DEV_001,72,99
DEV_001_2024-11-06 06:00:00,2024-11-06 06:00:00,DEV_001,90,39
DEV_001_2024-11-06 11:00:00,2024-11-06 11:00:00,DEV_001,63,23
DEV_001_2024-11-06 16:00:00,2024-11-06 16:00:00,DEV_001,25,93
DEV_001_2024-11-06 21:00:00,2024-11-06 21:00:00,DEV_001,37,88
DEV_001_2024-11-07 02:00:00,2024-11-07 02:00:00,DEV_001,48,78
DEV_001_2024-11-07 07:00:00,2024-11-07 07:00:00,DEV_001,52,40
DEV_001_2024-11-07 12:00:00,2024-11-07 12:00:00,DEV_001,94,2
DEV_001_2024-11-07 17:00:00,2024-11-07 17:00:00,DEV_001,17,87
DEV_001_2024-11-07 22:00:00,2024-11-07 22:00:00,DEV_001,49,46
DEV_001_2024-11-08 03:00:00,2024-11-08 03:00:00,DEV_001,38,50
DEV_001_2024-11-08 08:00:00,2024-11-08 08:00:00,DEV_001,89,77
DEV_001_2024-11-08 13:00:00,2024-11-08 13:00:00,DEV_001,99,17
DEV_001_2024-11-08 18:00:00,2024-11-08 18:00:00,DEV_001,22,23
DEV_001_2024-11-08 23:00:00,2024-11-08 23:00:00,DEV_001,70,79
