sn,createdts,upload_data,download_data,signal_strength,legacy_devices,stationary_mobile,downlink_phy_rate,max_downlink_phy_rate,uplink_phy_rate,max_uplink_phy_rate,num_clients_connected,son_status,upload_speed,download_speed,latency,channel_switches,wifi_association,son_steer_success_status
DEV_002,2024-09-20 00:00:00,81,65,77,No,Mobile,78,81,34,64,88,25,70,88,92,1,None,None
DEV_002,2024-09-20 12:00:00,1,93,72,No,Mobile,17,85,89,20,9,47,3,39,4,1,None,None
DEV_002,2024-09-21 00:00:00,41,55,94,No,Mobile,61,7,78,2,94,72,83,78,1,1,None,None
DEV_002,2024-09-21 12:00:00,67,66,84,No,Mobile,49,40,79,70,13,37,35,16,60,1,None,None
DEV_002,2024-09-22 00:00:00,25,49,71,No,Mobile,84,24,61,92,3,41,97,9,15,1,None,None
DEV_002,2024-09-22 12:00:00,10,39,44,No,Mobile,69,43,81,47,42,92,52,94,16,1,None,None
DEV_002,2024-09-23 00:00:00,73,76,17,No,Mobile,67,38,29,31,6,49,96,50,96,1,None,None
DEV_002,2024-09-23 12:00:00,46,17,64,No,Mobile,87,65,54,43,84,68,35,70,16,1,None,None
DEV_002,2024-09-24 00:00:00,97,62,74,No,Mobile,67,62,29,99,71,57,3,78,21,1,None,None
DEV_002,2024-09-24 12:00:00,7,47,90,No,Mobile,78,19,53,90,34,10,96,88,13,1,None,None
DEV_002,2024-09-25 00:00:00,14,61,16,No,Mobile,71,35,8,60,95,38,96,90,56,1,None,None
DEV_002,2024-09-25 12:00:00,28,53,26,No,Mobile,39,13,71,54,34,9,92,3,4,1,Association,None
DEV_002,2024-09-26 00:00:00,84,16,99,No,Mobile,50,4,89,13,13,77,16,31,56,1,None,None
DEV_002,2024-09-26 12:00:00,61,45,29,No,Mobile,54,91,34,21,84,4,65,15,18,1,None,None
DEV_002,2024-09-27 00:00:00,19,56,45,No,Mobile,88,80,82,41,32,54,37,88,27,1,None,None
DEV_002,2024-09-27 12:00:00,21,48,30,No,Mobile,42,37,41,46,16,59,78,68,71,1,None,None
DEV_002,2024-09-28 00:00:00,20,86,82,No,Mobile,91,31,35,44,53,76,47,6,55,1,None,None
DEV_002,2024-09-28 12:00:00,49,67,85,No,Mobile,22,72,84,78,71,10,49,3,58,1,None,None
DEV_002,2024-09-29 00:00:00,45,29,94,No,Mobile,82,67,12,58,24,24,19,73,43,1,None,None
DEV_002,2024-09-29 12:00:00,51,55,49,No,Mobile,72,70,69,8,81,46,21,99,27,1,None,None
DEV_002,2024-09-30 00:00:00,36,11,47,No,Mobile,56,94,69,37,53,36,68,89,40,1,None,None
DEV_002,2024-09-30 12:00:00,20,7,52,No,Mobile,37,98,46,42,70,93,87,93,93,1,None,None
DEV_002,2024-10-01 00:00:00,7,61,1,Yes,Mobile,60,6,71,91,34,75,86,39,85,1,None,None
DEV_002,2024-10-01 12:00:00,32,16,11,No,Mobile,32,99,27,98,91,27,33,33,87,1,None,None
DEV_002,2024-10-02 00:00:00,82,17,84,No,Mobile,55,87,92,46,38,41,32,15,87,1,None,None
DEV_002,2024-10-02 12:00:00,17,85,92,No,Mobile,53,22,58,41,87,75,31,60,50,1,None,None
DEV_002,2024-10-03 00:00:00,85,19,19,No,Mobile,34,43,13,36,6,21,40,19,48,1,None,None
DEV_002,2024-10-03 12:00:00,76,38,95,No,Mobile,38,62,56,65,41,55,88,84,27,1,None,None
DEV_002,2024-10-04 00:00:00,34,18,28,No,Mobile,4,21,70,21,5,14,91,37,89,1,None,None
DEV_002,2024-10-04 12:00:00,40,87,69,No,Mobile,5,3,4,63,35,17,17,21,67,1,None,None
DEV_002,2024-10-05 00:00:00,57,65,30,No,Mobile,19,97,8,62,95,48,19,9,40,1,None,None
DEV_002,2024-10-05 12:00:00,63,22,85,No,Mobile,83,2,94,89,92,5,23,36,93,1,None,None
DEV_002,2024-10-06 00:00:00,57,31,49,No,Mobile,9,26,6,7,60,83,76,16,35,1,None,None
DEV_002,2024-10-06 12:00:00,23,50,77,No,Mobile,92,44,13,71,6,83,69,29,87,1,None,None
DEV_002,2024-10-07 00:00:00,15,95,86,No,Mobile,17,92,3,19,58,24,39,65,21,1,None,None
DEV_002,2024-10-07 12:00:00,61,53,24,No,Mobile,53,13,78,95,33,57,14,9,49,1,None,None
DEV_002,2024-10-08 00:00:00,29,92,85,No,Mobile,98,85,88,49,46,39,46,13,49,1,None,None
DEV_002,2024-10-08 12:00:00,20,22,50,No,Mobile,36,37,46,27,5,9,5,17,83,1,None,None
DEV_002,2024-10-09 00:00:00,7,27,55,No,Mobile,63,6,35,32,91,87,97,81,74,1,None,None
DEV_002,2024-10-09 12:00:00,53,64,38,No,Mobile,92,79,8,1,74,82,82,48,5,1,None,None
DEV_002,2024-10-10 00:00:00,97,2,74,No,Mobile,14,12,81,78,75,46,44,86,81,1,None,None
DEV_002,2024-10-10 12:00:00,78,27,99,No,Mobile,28,6,41,59,39,32,46,56,39,1,None,None
DEV_002,2024-10-11 00:00:00,24,70,6,No,Mobile,86,42,43,14,92,2,9,32,1,1,None,None
DEV_002,2024-10-11 12:00:00,3,75,43,No,Mobile,5,47,27,52,61,13,57,72,50,1,None,None
DEV_002,2024-10-12 00:00:00,37,82,99,No,Mobile,3,69,98,59,41,77,72,5,60,1,None,None
DEV_002,2024-10-12 12:00:00,7,20,72,No,Mobile,19,99,64,43,89,95,26,31,5,1,None,None
DEV_002,2024-10-13 00:00:00,29,64,23,No,Mobile,16,44,60,71,51,12,95,99,5,1,None,None
DEV_002,2024-10-13 12:00:00,28,62,62,No,Mobile,10,98,29,31,6,87,33,10,9,1,None,None
DEV_002,2024-10-14 00:00:00,10,2,25,No,Mobile,38,1,80,90,98,81,94,21,4,1,None,None
DEV_002,2024-10-14 12:00:00,51,52,4,No,Mobile,82,9,67,91,94,65,94,4,7,1,None,None
DEV_002,2024-10-15 00:00:00,65,61,65,No,Mobile,18,91,40,38,93,46,17,15,44,1,None,None
DEV_002,2024-10-15 12:00:00,89,36,21,No,Mobile,61,94,38,76,79,6,5,89,48,1,None,None
DEV_002,2024-10-16 00:00:00,48,79,12,No,Mobile,70,21,96,96,1,55,30,94,9,1,None,None
DEV_002,2024-10-16 12:00:00,11,95,44,No,Mobile,90,65,6,31,68,23,49,63,85,1,None,None
DEV_002,2024-10-17 00:00:00,68,43,9,No,Mobile,25,65,66,55,15,52,26,15,97,1,None,None
DEV_002,2024-10-17 12:00:00,82,57,51,No,Mobile,52,9,83,6,85,88,40,18,33,1,None,None
DEV_002,2024-10-18 00:00:00,21,10,24,No,Mobile,25,52,90,1,28,45,30,39,84,1,None,None
DEV_002,2024-10-18 12:00:00,69,66,46,No,Mobile,45,9,36,5,80,70,29,85,13,1,None,None
DEV_002,2024-10-19 00:00:00,68,2,79,No,Mobile,75,87,94,60,83,61,26,94,62,1,None,None
DEV_002,2024-10-19 12:00:00,89,76,38,No,Mobile,41,25,49,60,44,40,49,8,7,1,None,None
DEV_002,2024-10-20 00:00:00,12,99,73,No,Mobile,37,32,57,83,94,56,73,16,75,1,None,None
DEV_002,2024-10-20 12:00:00,26,27,62,No,Mobile,50,89,82,94,63,36,76,12,91,1,None,None
DEV_002,2024-10-21 00:00:00,69,35,35,No,Mobile,83,80,25,80,25,29,29,29,86,1,None,None
DEV_002,2024-10-21 12:00:00,65,53,70,No,Mobile,87,33,78,36,6,6,25,58,97,1,None,None
DEV_002,2024-10-22 00:00:00,91,34,5,No,Mobile,71,36,5,56,64,10,87,77,21,1,None,None
DEV_002,2024-10-22 12:00:00,24,74,45,No,Mobile,26,94,91,83,6,1,67,32,93,1,None,None
DEV_002,2024-10-23 00:00:00,50,95,32,No,Mobile,55,78,92,25,70,43,71,63,87,1,None,None
DEV_002,2024-10-23 12:00:00,17,93,46,No,Mobile,8,93,15,33,64,43,25,63,67,1,None,None
DEV_002,2024-10-24 00:00:00,45,33,93,No,Mobile,72,53,98,78,22,93,78,64,22,1,None,None
DEV_002,2024-10-24 12:00:00,30,64,91,No,Mobile,2,20,81,97,48,76,63,92,56,1,None,None
DEV_002,2024-10-25 00:00:00,2,37,69,No,Mobile,46,6,48,8,17,43,87,71,72,1,None,None
DEV_002,2024-10-25 12:00:00,35,6,89,No,Mobile,47,13,23,44,28,12,37,78,17,1,None,None
DEV_002,2024-10-26 00:00:00,89,62,76,No,Mobile,2,50,76,26,61,6,14,10,63,1,None,None
DEV_002,2024-10-26 12:00:00,74,12,21,No,Mobile,98,22,18,6,47,15,80,14,35,1,None,None
DEV_002,2024-10-27 00:00:00,58,9,41,No,Mobile,27,58,81,68,28,3,14,10,50,1,None,None
DEV_002,2024-10-27 12:00:00,1,75,25,No,Mobile,47,73,39,27,18,22,9,95,9,1,None,None
DEV_002,2024-10-28 00:00:00,53,35,85,No,Mobile,21,65,57,94,89,56,81,61,50,1,None,None
DEV_002,2024-10-28 12:00:00,76,21,6,No,Mobile,34,59,67,41,47,19,95,20,40,1,None,None
DEV_002,2024-10-29 00:00:00,86,92,68,No,Mobile,65,15,52,38,41,59,17,87,82,1,None,None
DEV_002,2024-10-29 12:00:00,24,93,50,No,Mobile,94,78,24,98,36,35,81,97,2,1,None,None
DEV_002,2024-10-30 00:00:00,76,71,30,No,Mobile,80,8,14,48,37,71,72,96,87,1,Disassociation,None
DEV_002,2024-10-30 12:00:00,77,76,22,No,Mobile,8,68,71,86,5,87,27,59,38,1,None,None
DEV_002,2024-10-31 00:00:00,42,75,74,No,Mobile,50,21,28,92,99,42,16,31,67,1,None,None
DEV_002,2024-10-31 12:00:00,35,10,29,No,Mobile,46,70,83,90,74,16,16,35,57,1,None,None
DEV_002,2024-11-01 00:00:00,90,15,92,No,Mobile,30,54,67,70,88,84,62,97,1,1,None,None
DEV_002,2024-11-01 12:00:00,73,66,28,No,Mobile,26,60,60,91,3,65,69,55,36,1,None,None
DEV_002,2024-11-02 00:00:00,54,35,33,Yes,Mobile,73,7,27,1,16,66,95,13,94,1,None,None
DEV_002,2024-11-02 12:00:00,80,16,53,No,Mobile,10,34,18,53,79,49,28,42,63,1,None,None
DEV_002,2024-11-03 00:00:00,90,14,82,No,Mobile,7,64,2,7,79,80,28,70,79,1,None,None
DEV_002,2024-11-03 12:00:00,49,87,68,No,Mobile,95,98,74,37,16,31,59,15,78,1,None,None
DEV_002,2024-11-04 00:00:00,70,96,35,No,Mobile,63,31,90,42,56,22,1,15,17,1,None,None
DEV_002,2024-11-04 12:00:00,88,23,18,No,Mobile,12,35,27,43,28,34,86,50,14,1,None,None
DEV_002,2024-11-05 00:00:00,65,13,32,No,Mobile,67,14,58,92,58,72,94,6,38,1,None,None
DEV_002,2024-11-05 12:00:00,93,24,80,No,Mobile,92,20,53,83,2,3,35,93,17,1,None,None
DEV_002,2024-11-06 00:00:00,37,90,59,No,Mobile,28,53,71,55,29,92,70,24,51,1,None,None
DEV_002,2024-11-06 12:00:00,6,4,13,Yes,Mobile,26,34,77,53,83,87,52,23,2,1,None,None
DEV_002,2024-11-07 00:00:00,81,27,96,No,Mobile,67,13,17,61,5,46,81,46,38,1,None,None
DEV_002,2024-11-07 12:00:00,11,60,44,No,Mobile,22,84,66,43,97,21,37,97,22,1,None,None
DEV_002,2024-11-08 00:00:00,51,9,33,No,Mobile,93,31,83,54,87,19,7,22,25,1,None,None
DEV_002,2024-11-08 12:00:00,40,71,76,No,Mobile,85,28,28,59,90,14,66,8,66,1,None,None
DEV_002,2024-11-09 00:00:00,72,7,2,No,Mobile,43,12,28,19,32,84,52,61,37,1,None,None
DEV_002,2024-11-09 12:00:00,54,14,49,No,Mobile,11,31,66,10,88,67,98,1,16,1,None,None
DEV_002,2024-11-10 00:00:00,44,77,59,No,Mobile,10,48,28,5,63,88,78,56,16,1,None,None
DEV_002,2024-11-10 12:00:00,20,21,38,No,Mobile,56,91,11,18,18,36,6,13,68,1,None,None
DEV_002,2024-11-11 00:00:00,68,41,32,No,Mobile,69,22,57,22,86,31,79,43,16,1,None,None
DEV_002,2024-11-11 12:00:00,18,66,92,No,Mobile,39,74,33,88,94,26,10,32,56,1,None,None
DEV_002,2024-11-12 00:00:00,42,10,43,No,Mobile,68,89,28,24,90,20,79,86,32,1,None,None
DEV_002,2024-11-12 12:00:00,64,70,28,No,Mobile,20,84,41,4,7,14,65,42,6,1,None,None
DEV_002,2024-11-13 00:00:00,99,60,55,No,Mobile,94,43,41,10,41,5,75,5,54,1,None,None
DEV_002,2024-11-13 12:00:00,24,38,51,Yes,Mobile,61,40,54,66,28,15,94,54,77,1,None,None
DEV_002,2024-11-14 00:00:00,67,26,92,No,Mobile,6,32,75,77,60,22,3,94,94,1,None,None
DEV_002,2024-11-14 12:00:00,61,58,31,No,Mobile,57,76,10,84,3,91,81,92,83,1,None,None
DEV_002,2024-11-15 00:00:00,51,83,49,No,Mobile,8,9,23,72,45,7,61,23,13,1,None,None
DEV_002,2024-11-15 12:00:00,25,70,53,No,Mobile,85,39,57,84,3,43,32,31,30,1,None,None
DEV_002,2024-11-16 00:00:00,78,44,91,Yes,Mobile,88,66,12,13,46,4,72,67,11,1,None,None
DEV_002,2024-11-16 12:00:00,91,37,26,No,Mobile,91,25,40,43,22,22,54,35,12,1,None,None
DEV_002,2024-11-17 00:00:00,47,94,52,No,Mobile,89,37,89,30,79,22,45,85,22,1,None,None
DEV_002,2024-11-17 12:00:00,86,73,57,No,Mobile,85,15,73,58,61,5,30,27,76,1,None,None
DEV_002,2024-11-18 00:00:00,96,71,43,No,Mobile,38,27,32,71,27,21,27,23,9,1,None,None
DEV_002,2024-11-18 12:00:00,97,11,22,No,Mobile,74,88,7,49,51,45,96,63,19,1,None,None
DEV_002,2024-11-19 00:00:00,33,35,92,No,Mobile,16,72,33,53,88,72,80,26,2,1,Disassociation,None
DEV_002,2024-11-19 12:00:00,32,87,43,No,Mobile,28,66,67,95,17,84,3,42,51,1,None,None
DEV_002,2024-11-20 00:00:00,99,33,87,No,Mobile,82,53,76,42,76,11,66,61,51,1,None,None
DEV_002,2024-11-20 12:00:00,92,90,7,No,Mobile,57,56,67,13,9,11,69,28,61,1,None,None
DEV_002,2024-11-21 00:00:00,82,77,18,No,Mobile,63,68,50,68,15,85,28,74,8,1,None,None
DEV_002,2024-11-21 12:00:00,29,16,95,No,Mobile,59,11,96,24,94,41,67,61,86,1,None,None
DEV_002,2024-11-22 00:00:00,26,95,20,No,Mobile,22,57,57,26,7,65,51,31,11,1,None,None
DEV_002,2024-11-22 12:00:00,21,75,96,No,Mobile,6,55,83,80,15,36,48,12,83,1,None,None
DEV_002,2024-11-23 00:00:00,42,71,21,No,Mobile,82,1,68,11,71,62,18,29,24,1,None,None
DEV_002,2024-11-23 12:00:00,68,21,36,No,Mobile,91,7,60,56,91,48,45,76,54,1,None,None
DEV_002,2024-11-24 00:00:00,78,96,87,No,Mobile,77,50,21,48,74,66,17,85,18,1,None,None
DEV_002,2024-11-24 12:00:00,3,29,48,No,Mobile,65,42,6,59,53,82,71,1,5,1,None,None
DEV_002,2024-11-25 00:00:00,51,28,8,No,Mobile,91,41,25,59,23,68,94,6,3,1,None,None
DEV_002,2024-11-25 12:00:00,58,61,19,No,Mobile,30,78,14,36,16,47,72,67,75,1,None,None
DEV_002,2024-11-26 00:00:00,45,20,59,No,Mobile,90,11,55,84,90,66,98,99,23,1,None,None
DEV_002,2024-11-26 12:00:00,24,72,39,No,Mobile,64,77,29,31,19,20,71,87,20,1,None,None
DEV_002,2024-11-27 00:00:00,4,84,59,No,Mobile,71,1,69,14,24,49,51,6,24,1,None,None
DEV_002,2024-11-27 12:00:00,72,71,52,No,Mobile,1,45,40,64,71,57,99,32,69,1,None,None
DEV_002,2024-11-28 00:00:00,29,66,59,No,Mobile,95,4,93,54,13,73,63,76,78,1,None,None
DEV_002,2024-11-28 12:00:00,87,76,97,No,Mobile,15,80,98,73,83,8,82,32,89,1,None,None
DEV_002,2024-11-29 00:00:00,3,32,56,No,Mobile,78,99,42,73,70,57,44,52,69,1,None,None
DEV_002,2024-11-29 12:00:00,27,92,71,No,Mobile,83,54,86,82,26,68,14,40,20,1,None,None
DEV_002,2024-11-30 00:00:00,31,44,19,No,Mobile,24,96,12,50,89,5,47,72,85,1,None,None
DEV_002,2024-11-30 12:00:00,15,16,69,No,Mobile,71,85,41,54,25,37,64,53,46,1,None,None
DEV_002,2024-12-01 00:00:00,21,42,81,No,Mobile,8,93,84,39,6,14,73,52,53,1,None,None
DEV_002,2024-12-01 12:00:00,36,80,10,No,Mobile,21,27,55,85,37,99,92,85,46,1,None,None
DEV_002,2024-12-02 00:00:00,48,79,30,No,Mobile,60,18,92,77,89,93,31,54,55,1,None,None
DEV_002,2024-12-02 12:00:00,94,39,87,No,Mobile,16,7,84,78,96,36,16,45,51,1,None,None
DEV_002,2024-12-03 00:00:00,84,3,34,No,Mobile,6,31,99,32,97,26,92,82,35,1,None,None
DEV_002,2024-12-03 12:00:00,6,43,76,No,Mobile,91,71,28,52,97,18,98,55,98,1,None,None
DEV_002,2024-12-04 00:00:00,18,9,70,No,Mobile,45,22,81,79,53,88,89,16,92,1,None,None
DEV_002,2024-12-04 12:00:00,26,73,9,No,Mobile,1,56,56,76,90,52,23,87,4,1,None,None
DEV_002,2024-12-05 00:00:00,89,22,49,No,Mobile,21,74,87,91,70,45,75,42,41,1,None,None
DEV_002,2024-12-05 12:00:00,58,15,85,No,Mobile,71,81,42,18,24,96,26,71,87,1,None,None
DEV_002,2024-12-06 00:00:00,26,42,42,No,Mobile,96,39,61,47,41,74,41,34,77,1,None,None
DEV_002,2024-12-06 12:00:00,38,24,24,No,Mobile,70,25,96,81,66,66,4,96,21,1,None,None
DEV_002,2024-12-07 00:00:00,45,61,35,No,Mobile,22,24,87,51,45,71,29,62,49,1,None,None
DEV_002,2024-12-07 12:00:00,59,77,68,No,Mobile,95,38,64,3,61,25,58,24,66,1,None,None
DEV_002,2024-12-08 00:00:00,64,99,83,No,Mobile,92,93,8,27,36,41,56,24,20,1,None,None
DEV_002,2024-12-08 12:00:00,91,72,10,No,Mobile,50,49,41,99,87,27,69,71,56,1,None,None
DEV_002,2024-12-09 00:00:00,71,24,10,No,Mobile,85,21,15,64,2,98,31,3,87,1,None,None
