distid,createdts,sn,ookla_result
DEV_001_2024-09-03 12:00:00,2024-09-03 12:00:00,DEV_001,"{'SpeedTestType': 'OoklaTCP', 'TransactionID': '', 'OoklaServerID': '37686', 'TestResponse': 'Completed', 'TestProgress': 100, 'DownloadSpeed': 63, 'UploadSpeed': 32, 'Latency': 72, 'PacketLossRate': 28, 'Jitter': 3, 'Download LatencyIQM': 56, 'Download LatencyLow': 50, 'Download LatencyHigh': 64, 'Download LatencyJitter': 69, 'UploadLatencyIQM': 87, 'UploadLatencyLow': 3, 'Upload LatencyHigh': 22, 'UploadLatencyJitter': 65}"
DEV_001_2024-09-03 17:00:00,2024-09-03 17:00:00,DEV_001,"{'SpeedTestType': 'OoklaTCP', 'TransactionID': '', 'OoklaServerID': '37686', 'TestResponse': 'Completed', 'TestProgress': 100, 'DownloadSpeed': 74, 'UploadSpeed': 15, 'Latency': 95, 'PacketLossRate': 3, 'Jitter': 94, 'Download LatencyIQM': 13, 'Download LatencyLow': 9, 'Download LatencyHigh': 9, 'Download LatencyJitter': 17, 'UploadLatencyIQM': 32, 'UploadLatencyLow': 53, 'Upload LatencyHigh': 61, 'UploadLatencyJitter': 39}"
DEV_001_2024-09-03 22:00:00,2024-09-03 22:00:00,DEV_001,"{'SpeedTestType': 'OoklaTCP', 'TransactionID': '', 'OoklaServerID': '37686', 'TestResponse': 'Completed', 'TestProgress': 100, 'DownloadSpeed': 6, 'UploadSpeed': 19, 'Latency': 84, 'PacketLossRate': 78, 'Jitter': 20, 'Download LatencyIQM': 4, 'Download LatencyLow': 9, 'Download LatencyHigh': 80, 'Download LatencyJitter': 85, 'UploadLatencyIQM': 1, 'UploadLatencyLow': 15, 'Upload LatencyHigh': 17, 'UploadLatencyJitter': 57}"
DEV_001_2024-09-04 03:00:00,2024-09-04 03:00:00,DEV_001,"{'SpeedTestType': 'OoklaTCP', 'TransactionID': '', 'OoklaServerID': '37686', 'TestResponse': 'Completed', 'TestProgress': 100, 'DownloadSpeed': 95, 'UploadSpeed': 88, 'Latency': 14, 'PacketLossRate': 17, 'Jitter': 34, 'Download LatencyIQM': 68, 'Download LatencyLow': 37, 'Download LatencyHigh': 51, 'Download LatencyJitter': 74, 'UploadLatencyIQM': 93, 'UploadLatencyLow': 22, 'Upload LatencyHigh': 37, 'UploadLatencyJitter': 23}"
DEV_001_2024-09-04 08:00:00,2024-09-04 08:00:00,DEV_001,"{'SpeedTestType': 'OoklaTCP', 'TransactionID': '', 'OoklaServerID': '37686', 'TestResponse': 'Completed', 'TestProgress': 100, 'DownloadSpeed': 26, 'UploadSpeed': 30, 'Latency': 85, 'PacketLossRate': 52, 'Jitter': 97, 'Download LatencyIQM': 73, 'Download LatencyLow': 93, 'Download LatencyHigh': 11, 'Download LatencyJitter': 48, 'UploadLatencyIQM': 84, 'UploadLatencyLow': 56, 'Upload LatencyHigh': 46, 'UploadLatencyJitter': 75}"
DEV_001_2024-09-04 13:00:00,2024-09-04 13:00:00,DEV_001,"{'SpeedTestType': 'OoklaTCP', 'TransactionID': '', 'OoklaServerID': '37686', 'TestResponse': 'Completed', 'TestProgress': 100, 'DownloadSpeed': 11, 'UploadSpeed': 70, 'Latency': 54, 'PacketLossRate': 30, 'Jitter': 96, 'Download LatencyIQM': 75, 'Download LatencyLow': 36, 'Download LatencyHigh': 63, 'Download LatencyJitter': 73, 'UploadLatencyIQM': 92, 'UploadLatencyLow': 82, 'Upload LatencyHigh': 4, 'UploadLatencyJitter': 67}"
DEV_001_2024-09-04 18:00:00,2024-09-04 18:00:00,DEV_001,"{'SpeedTestType': 'OoklaTCP', 'TransactionID': '', 'OoklaServerID': '37686', 'TestResponse': 'Completed', 'TestProgress': 100, 'DownloadSpeed': 62, 'UploadSpeed': 22, 'Latency': 49, 'PacketLossRate': 21, 'Jitter': 12, 'Download LatencyIQM': 7, 'Download LatencyLow': 66, 'Download LatencyHigh': 96, 'Download LatencyJitter': 18, 'UploadLatencyIQM': 71, 'UploadLatencyLow': 85, 'Upload LatencyHigh': 94, 'UploadLatencyJitter': 3}"
DEV_001_2024-09-04 23:00:00,2024-09-04 23:00:00,DEV_001,"{'SpeedTestType': 'OoklaTCP', 'TransactionID': '', 'OoklaServerID': '37686', 'TestResponse': 'Completed', 'TestProgress': 100, 'DownloadSpeed': 78, 'UploadSpeed': 8, 'Latency': 91, 'PacketLossRate': 96, 'Jitter': 6, 'Download LatencyIQM': 36, 'Download LatencyLow': 55, 'Download LatencyHigh': 23, 'Download LatencyJitter': 12, 'UploadLatencyIQM': 90, 'UploadLatencyLow': 89, 'Upload LatencyHigh': 53, 'UploadLatencyJitter': 12}"
DEV_001_2024-09-05 04:00:00,2024-09-05 04:00:00,DEV_001,"{'SpeedTestType': 'OoklaTCP', 'TransactionID': '', 'OoklaServerID': '37686', 'TestResponse': 'Completed', 'TestProgress': 100, 'DownloadSpeed': 30, 'UploadSpeed': 57, 'Latency': 73, 'PacketLossRate': 10, 'Jitter': 86, 'Download LatencyIQM': 72, 'Download LatencyLow': 70, 'Download LatencyHigh': 15, 'Download LatencyJitter': 11, 'UploadLatencyIQM': 79, 'UploadLatencyLow': 72, 'Upload LatencyHigh': 42, 'UploadLatencyJitter': 71}"
DEV_001_2024-09-05 09:00:00,2024-09-05 09:00:00,DEV_001,"{'SpeedTestType': 'OoklaTCP', 'TransactionID': '', 'OoklaServerID': '37686', 'TestResponse': 'Completed', 'TestProgress': 100, 'DownloadSpeed': 49, 'UploadSpeed': 73, 'Latency': 20, 'PacketLossRate': 73, 'Jitter': 64, 'Download LatencyIQM': 89, 'Download LatencyLow': 47, 'Download LatencyHigh': 47, 'Download LatencyJitter': 80, 'UploadLatencyIQM': 26, 'UploadLatencyLow': 17, 'Upload LatencyHigh': 7, 'UploadLatencyJitter': 62}"
DEV_001_2024-09-05 14:00:00,2024-09-05 14:00:00,DEV_001,"{'SpeedTestType': 'OoklaTCP', 'TransactionID': '', 'OoklaServerID': '37686', 'TestResponse': 'Completed', 'TestProgress': 100, 'DownloadSpeed': 20, 'UploadSpeed': 71, 'Latency': 37, 'PacketLossRate': 15, 'Jitter': 72, 'Download LatencyIQM': 83, 'Download LatencyLow': 79, 'Download LatencyHigh': 74, 'Download LatencyJitter': 12, 'UploadLatencyIQM': 74, 'UploadLatencyLow': 75, 'Upload LatencyHigh': 52, 'UploadLatencyJitter': 91}"
DEV_001_2024-09-05 19:00:00,2024-09-05 19:00:00,DEV_001,"{'SpeedTestType': 'OoklaTCP', 'TransactionID': '', 'OoklaServerID': '37686', 'TestResponse': 'Completed', 'TestProgress': 100, 'DownloadSpeed': 41, 'UploadSpeed': 71, 'Latency': 72, 'PacketLossRate': 89, 'Jitter': 12, 'Download LatencyIQM': 9, 'Download LatencyLow': 29, 'Download LatencyHigh': 36, 'Download LatencyJitter': 26, 'UploadLatencyIQM': 33, 'UploadLatencyLow': 37, 'Upload LatencyHigh': 70, 'UploadLatencyJitter': 64}"
DEV_001_2024-09-06 00:00:00,2024-09-06 00:00:00,DEV_001,"{'SpeedTestType': 'OoklaTCP', 'TransactionID': '', 'OoklaServerID': '37686', 'TestResponse': 'Completed', 'TestProgress': 100, 'DownloadSpeed': 82, 'UploadSpeed': 21, 'Latency': 13, 'PacketLossRate': 34, 'Jitter': 20, 'Download LatencyIQM': 94, 'Download LatencyLow': 47, 'Download LatencyHigh': 57, 'Download LatencyJitter': 39, 'UploadLatencyIQM': 62, 'UploadLatencyLow': 11, 'Upload LatencyHigh': 4, 'UploadLatencyJitter': 6}"
DEV_001_2024-09-06 05:00:00,2024-09-06 05:00:00,DEV_001,"{'SpeedTestType': 'OoklaTCP', 'TransactionID': '', 'OoklaServerID': '37686', 'TestResponse': 'Completed', 'TestProgress': 100, 'DownloadSpeed': 65, 'UploadSpeed': 4, 'Latency': 30, 'PacketLossRate': 93, 'Jitter': 6, 'Download LatencyIQM': 78, 'Download LatencyLow': 95, 'Download LatencyHigh': 73, 'Download LatencyJitter': 96, 'UploadLatencyIQM': 24, 'UploadLatencyLow': 79, 'Upload LatencyHigh': 85, 'UploadLatencyJitter': 93}"
DEV_001_2024-09-06 10:00:00,2024-09-06 10:00:00,DEV_001,"{'SpeedTestType': 'OoklaTCP', 'TransactionID': '', 'OoklaServerID': '37686', 'TestResponse': 'Completed', 'TestProgress': 100, 'DownloadSpeed': 21, 'UploadSpeed': 49, 'Latency': 55, 'PacketLossRate': 47, 'Jitter': 82, 'Download LatencyIQM': 44, 'Download LatencyLow': 90, 'Download LatencyHigh': 88, 'Download LatencyJitter': 40, 'UploadLatencyIQM': 19, 'UploadLatencyLow': 65, 'Upload LatencyHigh': 22, 'UploadLatencyJitter': 90}"
DEV_001_2024-09-06 15:00:00,2024-09-06 15:00:00,DEV_001,"{'SpeedTestType': 'OoklaTCP', 'TransactionID': '', 'OoklaServerID': '37686', 'TestResponse': 'Completed', 'TestProgress': 100, 'DownloadSpeed': 9, 'UploadSpeed': 4, 'Latency': 5, 'PacketLossRate': 41, 'Jitter': 9, 'Download LatencyIQM': 29, 'Download LatencyLow': 42, 'Download LatencyHigh': 62, 'Download LatencyJitter': 47, 'UploadLatencyIQM': 46, 'UploadLatencyLow': 68, 'Upload LatencyHigh': 81, 'UploadLatencyJitter': 23}"
DEV_001_2024-09-06 20:00:00,2024-09-06 20:00:00,DEV_001,"{'SpeedTestType': 'OoklaTCP', 'TransactionID': '', 'OoklaServerID': '37686', 'TestResponse': 'Completed', 'TestProgress': 100, 'DownloadSpeed': 52, 'UploadSpeed': 21, 'Latency': 28, 'PacketLossRate': 52, 'Jitter': 45, 'Download LatencyIQM': 39, 'Download LatencyLow': 89, 'Download LatencyHigh': 61, 'Download LatencyJitter': 10, 'UploadLatencyIQM': 88, 'UploadLatencyLow': 29, 'Upload LatencyHigh': 48, 'UploadLatencyJitter': 40}"
DEV_001_2024-09-07 01:00:00,2024-09-07 01:00:00,DEV_001,"{'SpeedTestType': 'OoklaTCP', 'TransactionID': '', 'OoklaServerID': '37686', 'TestResponse': 'Completed', 'TestProgress': 100, 'DownloadSpeed': 2, 'UploadSpeed': 80, 'Latency': 48, 'PacketLossRate': 57, 'Jitter': 28, 'Download LatencyIQM': 19, 'Download LatencyLow': 40, 'Download LatencyHigh': 57, 'Download LatencyJitter': 59, 'UploadLatencyIQM': 28, 'UploadLatencyLow': 12, 'Upload LatencyHigh': 4, 'UploadLatencyJitter': 99}"
DEV_001_2024-09-07 06:00:00,2024-09-07 06:00:00,DEV_001,"{'SpeedTestType': 'OoklaTCP', 'TransactionID': '', 'OoklaServerID': '37686', 'TestResponse': 'Completed', 'TestProgress': 100, 'DownloadSpeed': 97, 'UploadSpeed': 11, 'Latency': 24, 'PacketLossRate': 95, 'Jitter': 44, 'Download LatencyIQM': 32, 'Download LatencyLow': 91, 'Download LatencyHigh': 31, 'Download LatencyJitter': 98, 'UploadLatencyIQM': 38, 'UploadLatencyLow': 40, 'Upload LatencyHigh': 10, 'UploadLatencyJitter': 54}"
DEV_001_2024-09-07 11:00:00,2024-09-07 11:00:00,DEV_001,"{'SpeedTestType': 'OoklaTCP', 'TransactionID': '', 'OoklaServerID': '37686', 'TestResponse': 'Completed', 'TestProgress': 100, 'DownloadSpeed': 29, 'UploadSpeed': 52, 'Latency': 98, 'PacketLossRate': 46, 'Jitter': 92, 'Download LatencyIQM': 66, 'Download LatencyLow': 92, 'Download LatencyHigh': 24, 'Download LatencyJitter': 75, 'UploadLatencyIQM': 73, 'UploadLatencyLow': 13, 'Upload LatencyHigh': 67, 'UploadLatencyJitter': 66}"
DEV_001_2024-09-07 16:00:00,2024-09-07 16:00:00,DEV_001,"{'SpeedTestType': 'OoklaTCP', 'TransactionID': '', 'OoklaServerID': '37686', 'TestResponse': 'Completed', 'TestProgress': 100, 'DownloadSpeed': 19, 'UploadSpeed': 88, 'Latency': 1, 'PacketLossRate': 65, 'Jitter': 42, 'Download LatencyIQM': 66, 'Download LatencyLow': 71, 'Download LatencyHigh': 86, 'Download LatencyJitter': 16, 'UploadLatencyIQM': 83, 'UploadLatencyLow': 70, 'Upload LatencyHigh': 4, 'UploadLatencyJitter': 19}"
DEV_001_2024-09-07 21:00:00,2024-09-07 21:00:00,DEV_001,"{'SpeedTestType': 'OoklaTCP', 'TransactionID': '', 'OoklaServerID': '37686', 'TestResponse': 'Completed', 'TestProgress': 100, 'DownloadSpeed': 50, 'UploadSpeed': 97, 'Latency': 83, 'PacketLossRate': 26, 'Jitter': 72, 'Download LatencyIQM': 46, 'Download LatencyLow': 2, 'Download LatencyHigh': 43, 'Download LatencyJitter': 48, 'UploadLatencyIQM': 88, 'UploadLatencyLow': 27, 'Upload LatencyHigh': 81, 'UploadLatencyJitter': 88}"
DEV_001_2024-09-08 02:00:00,2024-09-08 02:00:00,DEV_001,"{'SpeedTestType': 'OoklaTCP', 'TransactionID': '', 'OoklaServerID': '37686', 'TestResponse': 'Completed', 'TestProgress': 100, 'DownloadSpeed': 59, 'UploadSpeed': 40, 'Latency': 17, 'PacketLossRate': 6, 'Jitter': 96, 'Download LatencyIQM': 3, 'Download LatencyLow': 19, 'Download LatencyHigh': 28, 'Download LatencyJitter': 27, 'UploadLatencyIQM': 73, 'UploadLatencyLow': 36, 'Upload LatencyHigh': 12, 'UploadLatencyJitter': 24}"
DEV_001_2024-09-08 07:00:00,2024-09-08 07:00:00,DEV_001,"{'SpeedTestType': 'OoklaTCP', 'TransactionID': '', 'OoklaServerID': '37686', 'TestResponse': 'Completed', 'TestProgress': 100, 'DownloadSpeed': 91, 'UploadSpeed': 95, 'Latency': 29, 'PacketLossRate': 55, 'Jitter': 58, 'Download LatencyIQM': 57, 'Download LatencyLow': 13, 'Download LatencyHigh': 87, 'Download LatencyJitter': 49, 'UploadLatencyIQM': 27, 'UploadLatencyLow': 11, 'Upload LatencyHigh': 33, 'UploadLatencyJitter': 58}"
DEV_001_2024-09-08 12:00:00,2024-09-08 12:00:00,DEV_001,"{'SpeedTestType': 'OoklaTCP', 'TransactionID': '', 'OoklaServerID': '37686', 'TestResponse': 'Completed', 'TestProgress': 100, 'DownloadSpeed': 68, 'UploadSpeed': 36, 'Latency': 27, 'PacketLossRate': 9, 'Jitter': 72, 'Download LatencyIQM': 32, 'Download LatencyLow': 22, 'Download LatencyHigh': 72, 'Download LatencyJitter': 71, 'UploadLatencyIQM': 42, 'UploadLatencyLow': 2, 'Upload LatencyHigh': 99, 'UploadLatencyJitter': 35}"
DEV_001_2024-09-08 17:00:00,2024-09-08 17:00:00,DEV_001,"{'SpeedTestType': 'OoklaTCP', 'TransactionID': '', 'OoklaServerID': '37686', 'TestResponse': 'Completed', 'TestProgress': 100, 'DownloadSpeed': 49, 'UploadSpeed': 33, 'Latency': 90, 'PacketLossRate': 63, 'Jitter': 34, 'Download LatencyIQM': 87, 'Download LatencyLow': 6, 'Download LatencyHigh': 44, 'Download LatencyJitter': 61, 'UploadLatencyIQM': 33, 'UploadLatencyLow': 72, 'Upload LatencyHigh': 91, 'UploadLatencyJitter': 91}"
DEV_001_2024-09-08 22:00:00,2024-09-08 22:00:00,DEV_001,"{'SpeedTestType': 'OoklaTCP', 'TransactionID': '', 'OoklaServerID': '37686', 'TestResponse': 'Completed', 'TestProgress': 100, 'DownloadSpeed': 58, 'UploadSpeed': 41, 'Latency': 51, 'PacketLossRate': 45, 'Jitter': 32, 'Download LatencyIQM': 79, 'Download LatencyLow': 62, 'Download LatencyHigh': 19, 'Download LatencyJitter': 23, 'UploadLatencyIQM': 5, 'UploadLatencyLow': 51, 'Upload LatencyHigh': 56, 'UploadLatencyJitter': 21}"
DEV_001_2024-09-09 03:00:00,2024-09-09 03:00:00,DEV_001,"{'SpeedTestType': 'OoklaTCP', 'TransactionID': '', 'OoklaServerID': '37686', 'TestResponse': 'Completed', 'TestProgress': 100, 'DownloadSpeed': 36, 'UploadSpeed': 96, 'Latency': 65, 'PacketLossRate': 98, 'Jitter': 99, 'Download LatencyIQM': 58, 'Download LatencyLow': 25, 'Download LatencyHigh': 88, 'Download LatencyJitter': 50, 'UploadLatencyIQM': 69, 'UploadLatencyLow': 36, 'Upload LatencyHigh': 30, 'UploadLatencyJitter': 85}"
DEV_001_2024-09-09 08:00:00,2024-09-09 08:00:00,DEV_001,"{'SpeedTestType': 'OoklaTCP', 'TransactionID': '', 'OoklaServerID': '37686', 'TestResponse': 'Completed', 'TestProgress': 100, 'DownloadSpeed': 27, 'UploadSpeed': 52, 'Latency': 78, 'PacketLossRate': 7, 'Jitter': 91, 'Download LatencyIQM': 27, 'Download LatencyLow': 53, 'Download LatencyHigh': 8, 'Download LatencyJitter': 57, 'UploadLatencyIQM': 4, 'UploadLatencyLow': 88, 'Upload LatencyHigh': 40, 'UploadLatencyJitter': 61}"
DEV_001_2024-09-09 13:00:00,2024-09-09 13:00:00,DEV_001,"{'SpeedTestType': 'OoklaTCP', 'TransactionID': '', 'OoklaServerID': '37686', 'TestResponse': 'Completed', 'TestProgress': 100, 'DownloadSpeed': 30, 'UploadSpeed': 23, 'Latency': 94, 'PacketLossRate': 51, 'Jitter': 45, 'Download LatencyIQM': 11, 'Download LatencyLow': 36, 'Download LatencyHigh': 27, 'Download LatencyJitter': 57, 'UploadLatencyIQM': 67, 'UploadLatencyLow': 1, 'Upload LatencyHigh': 45, 'UploadLatencyJitter': 93}"
DEV_001_2024-09-09 18:00:00,2024-09-09 18:00:00,DEV_001,"{'SpeedTestType': 'OoklaTCP', 'TransactionID': '', 'OoklaServerID': '37686', 'TestResponse': 'Completed', 'TestProgress': 100, 'DownloadSpeed': 81, 'UploadSpeed': 7, 'Latency': 34, 'PacketLossRate': 99, 'Jitter': 22, 'Download LatencyIQM': 99, 'Download LatencyLow': 88, 'Download LatencyHigh': 44, 'Download LatencyJitter': 6, 'UploadLatencyIQM': 65, 'UploadLatencyLow': 38, 'Upload LatencyHigh': 68, 'UploadLatencyJitter': 88}"
DEV_001_2024-09-09 23:00:00,2024-09-09 23:00:00,DEV_001,"{'SpeedTestType': 'OoklaTCP', 'TransactionID': '', 'OoklaServerID': '37686', 'TestResponse': 'Completed', 'TestProgress': 100, 'DownloadSpeed': 7, 'UploadSpeed': 77, 'Latency': 17, 'PacketLossRate': 22, 'Jitter': 18, 'Download LatencyIQM': 17, 'Download LatencyLow': 14, 'Download LatencyHigh': 75, 'Download LatencyJitter': 58, 'UploadLatencyIQM': 71, 'UploadLatencyLow': 52, 'Upload LatencyHigh': 51, 'UploadLatencyJitter': 47}"
DEV_001_2024-09-10 04:00:00,2024-09-10 04:00:00,DEV_001,"{'SpeedTestType': 'OoklaTCP', 'TransactionID': '', 'OoklaServerID': '37686', 'TestResponse': 'Completed', 'TestProgress': 100, 'DownloadSpeed': 65, 'UploadSpeed': 57, 'Latency': 31, 'PacketLossRate': 8, 'Jitter': 32, 'Download LatencyIQM': 83, 'Download LatencyLow': 2, 'Download LatencyHigh': 60, 'Download LatencyJitter': 78, 'UploadLatencyIQM': 99, 'UploadLatencyLow': 19, 'Upload LatencyHigh': 54, 'UploadLatencyJitter': 70}"
DEV_001_2024-09-10 09:00:00,2024-09-10 09:00:00,DEV_001,"{'SpeedTestType': 'OoklaTCP', 'TransactionID': '', 'OoklaServerID': '37686', 'TestResponse': 'Completed', 'TestProgress': 100, 'DownloadSpeed': 68, 'UploadSpeed': 16, 'Latency': 2, 'PacketLossRate': 74, 'Jitter': 69, 'Download LatencyIQM': 6, 'Download LatencyLow': 91, 'Download LatencyHigh': 29, 'Download LatencyJitter': 28, 'UploadLatencyIQM': 30, 'UploadLatencyLow': 40, 'Upload LatencyHigh': 40, 'UploadLatencyJitter': 49}"
DEV_001_2024-09-10 14:00:00,2024-09-10 14:00:00,DEV_001,"{'SpeedTestType': 'OoklaTCP', 'TransactionID': '', 'OoklaServerID': '37686', 'TestResponse': 'Completed', 'TestProgress': 100, 'DownloadSpeed': 87, 'UploadSpeed': 18, 'Latency': 1, 'PacketLossRate': 99, 'Jitter': 46, 'Download LatencyIQM': 82, 'Download LatencyLow': 30, 'Download LatencyHigh': 41, 'Download LatencyJitter': 58, 'UploadLatencyIQM': 60, 'UploadLatencyLow': 9, 'Upload LatencyHigh': 88, 'UploadLatencyJitter': 59}"
DEV_001_2024-09-10 19:00:00,2024-09-10 19:00:00,DEV_001,"{'SpeedTestType': 'OoklaTCP', 'TransactionID': '', 'OoklaServerID': '37686', 'TestResponse': 'Completed', 'TestProgress': 100, 'DownloadSpeed': 66, 'UploadSpeed': 69, 'Latency': 80, 'PacketLossRate': 50, 'Jitter': 51, 'Download LatencyIQM': 10, 'Download LatencyLow': 33, 'Download LatencyHigh': 4, 'Download LatencyJitter': 48, 'UploadLatencyIQM': 21, 'UploadLatencyLow': 28, 'Upload LatencyHigh': 12, 'UploadLatencyJitter': 61}"
