distid,createdts,sn,acs_bid,acs_primary_ch,acs_prev_ch,acs_reason
DEV_001_2024-09-08 12:00:00,2024-09-08 12:00:00,DEV_001,45,93,1,39
DEV_001_2024-09-08 16:00:00,2024-09-08 16:00:00,DEV_001,46,32,59,62
DEV_001_2024-09-08 20:00:00,2024-09-08 20:00:00,DEV_001,16,46,27,71
DEV_001_2024-09-09 00:00:00,2024-09-09 00:00:00,DEV_001,70,9,49,67
DEV_001_2024-09-09 04:00:00,2024-09-09 04:00:00,DEV_001,89,4,38,84
DEV_001_2024-09-09 08:00:00,2024-09-09 08:00:00,DEV_001,91,19,37,18
DEV_001_2024-09-09 12:00:00,2024-09-09 12:00:00,DEV_001,39,5,52,41
DEV_001_2024-09-09 16:00:00,2024-09-09 16:00:00,DEV_001,83,58,67,50
DEV_001_2024-09-09 20:00:00,2024-09-09 20:00:00,DEV_001,31,41,38,86
DEV_001_2024-09-10 00:00:00,2024-09-10 00:00:00,DEV_001,73,4,72,77
DEV_001_2024-09-10 04:00:00,2024-09-10 04:00:00,DEV_001,36,38,20,43
DEV_001_2024-09-10 08:00:00,2024-09-10 08:00:00,DEV_001,73,68,11,58
DEV_001_2024-09-10 12:00:00,2024-09-10 12:00:00,DEV_001,87,70,9,79
DEV_001_2024-09-10 16:00:00,2024-09-10 16:00:00,DEV_001,1,41,84,11
DEV_001_2024-09-10 20:00:00,2024-09-10 20:00:00,DEV_001,49,59,6,93
DEV_001_2024-09-11 00:00:00,2024-09-11 00:00:00,DEV_001,25,3,82,35
DEV_001_2024-09-11 04:00:00,2024-09-11 04:00:00,DEV_001,25,56,85,38
DEV_001_2024-09-11 08:00:00,2024-09-11 08:00:00,DEV_001,2,86,45,10
DEV_001_2024-09-11 12:00:00,2024-09-11 12:00:00,DEV_001,23,89,63,88
DEV_001_2024-09-11 16:00:00,2024-09-11 16:00:00,DEV_001,64,92,92,32
DEV_001_2024-09-11 20:00:00,2024-09-11 20:00:00,DEV_001,91,41,2,72
DEV_001_2024-09-12 00:00:00,2024-09-12 00:00:00,DEV_001,10,82,70,71
DEV_001_2024-09-12 04:00:00,2024-09-12 04:00:00,DEV_001,46,36,70,22
DEV_001_2024-09-12 08:00:00,2024-09-12 08:00:00,DEV_001,10,60,14,76
DEV_001_2024-09-12 12:00:00,2024-09-12 12:00:00,DEV_001,60,59,25,9
DEV_001_2024-09-12 16:00:00,2024-09-12 16:00:00,DEV_001,92,61,49,15
DEV_001_2024-09-12 20:00:00,2024-09-12 20:00:00,DEV_001,15,47,29,67
DEV_001_2024-09-13 00:00:00,2024-09-13 00:00:00,DEV_001,51,83,30,9
DEV_001_2024-09-13 04:00:00,2024-09-13 04:00:00,DEV_001,67,67,59,3
DEV_001_2024-09-13 08:00:00,2024-09-13 08:00:00,DEV_001,61,92,34,2
DEV_001_2024-09-13 12:00:00,2024-09-13 12:00:00,DEV_001,29,70,91,52
DEV_001_2024-09-13 16:00:00,2024-09-13 16:00:00,DEV_001,78,51,65,39
DEV_001_2024-09-13 20:00:00,2024-09-13 20:00:00,DEV_001,42,12,56,98
DEV_001_2024-09-14 00:00:00,2024-09-14 00:00:00,DEV_001,57,96,14,64
DEV_001_2024-09-14 04:00:00,2024-09-14 04:00:00,DEV_001,24,74,85,27
DEV_001_2024-09-14 08:00:00,2024-09-14 08:00:00,DEV_001,78,1,55,46
DEV_001_2024-09-14 12:00:00,2024-09-14 12:00:00,DEV_001,93,60,87,45
DEV_001_2024-09-14 16:00:00,2024-09-14 16:00:00,DEV_001,25,75,11,95
DEV_001_2024-09-14 20:00:00,2024-09-14 20:00:00,DEV_001,46,72,53,94
DEV_001_2024-09-15 00:00:00,2024-09-15 00:00:00,DEV_001,57,94,50,66
DEV_001_2024-09-15 04:00:00,2024-09-15 04:00:00,DEV_001,64,10,14,8
DEV_001_2024-09-15 08:00:00,2024-09-15 08:00:00,DEV_001,41,39,22,17
DEV_001_2024-09-15 12:00:00,2024-09-15 12:00:00,DEV_001,39,43,20,33
DEV_001_2024-09-15 16:00:00,2024-09-15 16:00:00,DEV_001,90,46,22,22
DEV_001_2024-09-15 20:00:00,2024-09-15 20:00:00,DEV_001,85,91,77,46
DEV_001_2024-09-16 00:00:00,2024-09-16 00:00:00,DEV_001,20,64,51,85
DEV_001_2024-09-16 04:00:00,2024-09-16 04:00:00,DEV_001,14,59,72,30
DEV_001_2024-09-16 08:00:00,2024-09-16 08:00:00,DEV_001,88,23,28,5
DEV_001_2024-09-16 12:00:00,2024-09-16 12:00:00,DEV_001,60,52,22,25
DEV_001_2024-09-16 16:00:00,2024-09-16 16:00:00,DEV_001,10,87,9,60
DEV_001_2024-09-16 20:00:00,2024-09-16 20:00:00,DEV_001,81,37,45,43
DEV_001_2024-09-17 00:00:00,2024-09-17 00:00:00,DEV_001,12,91,6,96
DEV_001_2024-09-17 04:00:00,2024-09-17 04:00:00,DEV_001,65,72,19,7
DEV_001_2024-09-17 08:00:00,2024-09-17 08:00:00,DEV_001,40,2,20,6
DEV_001_2024-09-17 12:00:00,2024-09-17 12:00:00,DEV_001,11,30,26,4
DEV_001_2024-09-17 16:00:00,2024-09-17 16:00:00,DEV_001,81,79,97,84
DEV_001_2024-09-17 20:00:00,2024-09-17 20:00:00,DEV_001,84,72,90,52
DEV_001_2024-09-18 00:00:00,2024-09-18 00:00:00,DEV_001,74,4,65,12
DEV_001_2024-09-18 04:00:00,2024-09-18 04:00:00,DEV_001,27,40,52,79
DEV_001_2024-09-18 08:00:00,2024-09-18 08:00:00,DEV_001,94,61,1,9
DEV_001_2024-09-18 12:00:00,2024-09-18 12:00:00,DEV_001,95,27,32,44
DEV_001_2024-09-18 16:00:00,2024-09-18 16:00:00,DEV_001,3,22,99,34
DEV_001_2024-09-18 20:00:00,2024-09-18 20:00:00,DEV_001,29,78,86,15
DEV_001_2024-09-19 00:00:00,2024-09-19 00:00:00,DEV_001,32,2,73,31
DEV_001_2024-09-19 04:00:00,2024-09-19 04:00:00,DEV_001,20,26,29,68
DEV_001_2024-09-19 08:00:00,2024-09-19 08:00:00,DEV_001,42,88,82,14
DEV_001_2024-09-19 12:00:00,2024-09-19 12:00:00,DEV_001,22,8,34,48
DEV_001_2024-09-19 16:00:00,2024-09-19 16:00:00,DEV_001,10,5,12,80
DEV_001_2024-09-19 20:00:00,2024-09-19 20:00:00,DEV_001,7,67,1,79
DEV_001_2024-09-20 00:00:00,2024-09-20 00:00:00,DEV_001,59,63,13,16
DEV_001_2024-09-20 04:00:00,2024-09-20 04:00:00,DEV_001,23,62,56,99
DEV_001_2024-09-20 08:00:00,2024-09-20 08:00:00,DEV_001,89,7,80,5
DEV_001_2024-09-20 12:00:00,2024-09-20 12:00:00,DEV_001,69,30,6,30
DEV_001_2024-09-20 16:00:00,2024-09-20 16:00:00,DEV_001,27,26,4,9
DEV_001_2024-09-20 20:00:00,2024-09-20 20:00:00,DEV_001,35,83,86,71
DEV_001_2024-09-21 00:00:00,2024-09-21 00:00:00,DEV_001,82,63,21,73
DEV_001_2024-09-21 04:00:00,2024-09-21 04:00:00,DEV_001,13,32,31,45
DEV_001_2024-09-21 08:00:00,2024-09-21 08:00:00,DEV_001,40,23,1,21
DEV_001_2024-09-21 12:00:00,2024-09-21 12:00:00,DEV_001,14,55,53,5
DEV_001_2024-09-21 16:00:00,2024-09-21 16:00:00,DEV_001,5,61,90,85
DEV_001_2024-09-21 20:00:00,2024-09-21 20:00:00,DEV_001,84,21,30,78
DEV_001_2024-09-22 00:00:00,2024-09-22 00:00:00,DEV_001,65,76,38,89
DEV_001_2024-09-22 04:00:00,2024-09-22 04:00:00,DEV_001,93,55,72,35
DEV_001_2024-09-22 08:00:00,2024-09-22 08:00:00,DEV_001,39,91,86,15
DEV_001_2024-09-22 12:00:00,2024-09-22 12:00:00,DEV_001,8,81,49,92
DEV_001_2024-09-22 16:00:00,2024-09-22 16:00:00,DEV_001,45,38,78,13
DEV_001_2024-09-22 20:00:00,2024-09-22 20:00:00,DEV_001,12,10,93,95
DEV_001_2024-09-23 00:00:00,2024-09-23 00:00:00,DEV_001,50,37,59,86
DEV_001_2024-09-23 04:00:00,2024-09-23 04:00:00,DEV_001,89,17,36,61
DEV_001_2024-09-23 08:00:00,2024-09-23 08:00:00,DEV_001,61,86,89,25
DEV_001_2024-09-23 12:00:00,2024-09-23 12:00:00,DEV_001,44,60,56,16
DEV_001_2024-09-23 16:00:00,2024-09-23 16:00:00,DEV_001,49,21,28,64
DEV_001_2024-09-23 20:00:00,2024-09-23 20:00:00,DEV_001,21,95,36,66
DEV_001_2024-09-24 00:00:00,2024-09-24 00:00:00,DEV_001,15,26,17,3
DEV_001_2024-09-24 04:00:00,2024-09-24 04:00:00,DEV_001,25,59,44,90
DEV_001_2024-09-24 08:00:00,2024-09-24 08:00:00,DEV_001,56,91,78,18
DEV_001_2024-09-24 12:00:00,2024-09-24 12:00:00,DEV_001,55,39,66,75
DEV_001_2024-09-24 16:00:00,2024-09-24 16:00:00,DEV_001,75,62,93,69
DEV_001_2024-09-24 20:00:00,2024-09-24 20:00:00,DEV_001,40,26,2,29
DEV_001_2024-09-25 00:00:00,2024-09-25 00:00:00,DEV_001,83,66,68,67
DEV_001_2024-09-25 04:00:00,2024-09-25 04:00:00,DEV_001,73,12,65,89
DEV_001_2024-09-25 08:00:00,2024-09-25 08:00:00,DEV_001,57,38,99,42
DEV_001_2024-09-25 12:00:00,2024-09-25 12:00:00,DEV_001,27,38,24,43
DEV_001_2024-09-25 16:00:00,2024-09-25 16:00:00,DEV_001,4,4,54,72
DEV_001_2024-09-25 20:00:00,2024-09-25 20:00:00,DEV_001,47,52,46,53
DEV_001_2024-09-26 00:00:00,2024-09-26 00:00:00,DEV_001,24,3,41,64
DEV_001_2024-09-26 04:00:00,2024-09-26 04:00:00,DEV_001,33,88,3,1
DEV_001_2024-09-26 08:00:00,2024-09-26 08:00:00,DEV_001,7,17,31,20
DEV_001_2024-09-26 12:00:00,2024-09-26 12:00:00,DEV_001,33,69,21,9
DEV_001_2024-09-26 16:00:00,2024-09-26 16:00:00,DEV_001,24,59,3,44
DEV_001_2024-09-26 20:00:00,2024-09-26 20:00:00,DEV_001,21,30,6,25
DEV_001_2024-09-27 00:00:00,2024-09-27 00:00:00,DEV_001,83,3,18,97
DEV_001_2024-09-27 04:00:00,2024-09-27 04:00:00,DEV_001,35,16,8,88
DEV_001_2024-09-27 08:00:00,2024-09-27 08:00:00,DEV_001,1,8,22,5
DEV_001_2024-09-27 12:00:00,2024-09-27 12:00:00,DEV_001,70,73,12,55
DEV_001_2024-09-27 16:00:00,2024-09-27 16:00:00,DEV_001,68,18,2,22
DEV_001_2024-09-27 20:00:00,2024-09-27 20:00:00,DEV_001,52,77,15,72
DEV_001_2024-09-28 00:00:00,2024-09-28 00:00:00,DEV_001,95,24,7,88
DEV_001_2024-09-28 04:00:00,2024-09-28 04:00:00,DEV_001,20,2,87,94
DEV_001_2024-09-28 08:00:00,2024-09-28 08:00:00,DEV_001,80,21,42,55
DEV_001_2024-09-28 12:00:00,2024-09-28 12:00:00,DEV_001,24,49,87,63
DEV_001_2024-09-28 16:00:00,2024-09-28 16:00:00,DEV_001,97,24,74,14
DEV_001_2024-09-28 20:00:00,2024-09-28 20:00:00,DEV_001,92,38,64,97
DEV_001_2024-09-29 00:00:00,2024-09-29 00:00:00,DEV_001,68,64,66,83
DEV_001_2024-09-29 04:00:00,2024-09-29 04:00:00,DEV_001,19,82,53,16
DEV_001_2024-09-29 08:00:00,2024-09-29 08:00:00,DEV_001,44,73,52,99
DEV_001_2024-09-29 12:00:00,2024-09-29 12:00:00,DEV_001,59,93,20,88
DEV_001_2024-09-29 16:00:00,2024-09-29 16:00:00,DEV_001,57,99,80,51
DEV_001_2024-09-29 20:00:00,2024-09-29 20:00:00,DEV_001,45,74,63,95
DEV_001_2024-09-30 00:00:00,2024-09-30 00:00:00,DEV_001,33,21,16,22
DEV_001_2024-09-30 04:00:00,2024-09-30 04:00:00,DEV_001,69,24,95,54
DEV_001_2024-09-30 08:00:00,2024-09-30 08:00:00,DEV_001,84,49,37,25
DEV_001_2024-09-30 12:00:00,2024-09-30 12:00:00,DEV_001,55,4,81,29
DEV_001_2024-09-30 16:00:00,2024-09-30 16:00:00,DEV_001,53,60,61,80
DEV_001_2024-09-30 20:00:00,2024-09-30 20:00:00,DEV_001,20,6,68,32
DEV_001_2024-10-01 00:00:00,2024-10-01 00:00:00,DEV_001,41,23,56,47
DEV_001_2024-10-01 04:00:00,2024-10-01 04:00:00,DEV_001,48,18,97,86
DEV_001_2024-10-01 08:00:00,2024-10-01 08:00:00,DEV_001,7,5,48,46
DEV_001_2024-10-01 12:00:00,2024-10-01 12:00:00,DEV_001,57,4,88,11
DEV_001_2024-10-01 16:00:00,2024-10-01 16:00:00,DEV_001,16,84,8,86
DEV_001_2024-10-01 20:00:00,2024-10-01 20:00:00,DEV_001,44,79,11,73
DEV_001_2024-10-02 00:00:00,2024-10-02 00:00:00,DEV_001,12,29,62,22
DEV_001_2024-10-02 04:00:00,2024-10-02 04:00:00,DEV_001,44,28,8,48
DEV_001_2024-10-02 08:00:00,2024-10-02 08:00:00,DEV_001,92,73,63,59
DEV_001_2024-10-02 12:00:00,2024-10-02 12:00:00,DEV_001,44,95,66,99
DEV_001_2024-10-02 16:00:00,2024-10-02 16:00:00,DEV_001,32,67,29,28
DEV_001_2024-10-02 20:00:00,2024-10-02 20:00:00,DEV_001,37,6,22,81
DEV_001_2024-10-03 00:00:00,2024-10-03 00:00:00,DEV_001,10,9,3,44
DEV_001_2024-10-03 04:00:00,2024-10-03 04:00:00,DEV_001,3,47,4,62
DEV_001_2024-10-03 08:00:00,2024-10-03 08:00:00,DEV_001,97,43,32,11
DEV_001_2024-10-03 12:00:00,2024-10-03 12:00:00,DEV_001,78,73,69,34
DEV_001_2024-10-03 16:00:00,2024-10-03 16:00:00,DEV_001,64,34,25,71
DEV_001_2024-10-03 20:00:00,2024-10-03 20:00:00,DEV_001,10,81,12,56
DEV_001_2024-10-04 00:00:00,2024-10-04 00:00:00,DEV_001,7,92,87,96
DEV_001_2024-10-04 04:00:00,2024-10-04 04:00:00,DEV_001,71,22,75,28
DEV_001_2024-10-04 08:00:00,2024-10-04 08:00:00,DEV_001,33,36,47,32
DEV_001_2024-10-04 12:00:00,2024-10-04 12:00:00,DEV_001,89,22,17,6
DEV_001_2024-10-04 16:00:00,2024-10-04 16:00:00,DEV_001,10,63,16,94
DEV_001_2024-10-04 20:00:00,2024-10-04 20:00:00,DEV_001,42,27,60,99
DEV_001_2024-10-05 00:00:00,2024-10-05 00:00:00,DEV_001,91,1,37,17
DEV_001_2024-10-05 04:00:00,2024-10-05 04:00:00,DEV_001,47,59,86,58
DEV_001_2024-10-05 08:00:00,2024-10-05 08:00:00,DEV_001,78,31,34,88
DEV_001_2024-10-05 12:00:00,2024-10-05 12:00:00,DEV_001,58,89,71,59
DEV_001_2024-10-05 16:00:00,2024-10-05 16:00:00,DEV_001,48,51,3,4
DEV_001_2024-10-05 20:00:00,2024-10-05 20:00:00,DEV_001,68,75,5,21
DEV_001_2024-10-06 00:00:00,2024-10-06 00:00:00,DEV_001,37,71,18,52
DEV_001_2024-10-06 04:00:00,2024-10-06 04:00:00,DEV_001,94,99,28,61
DEV_001_2024-10-06 08:00:00,2024-10-06 08:00:00,DEV_001,52,93,13,77
DEV_001_2024-10-06 12:00:00,2024-10-06 12:00:00,DEV_001,93,67,2,16
DEV_001_2024-10-06 16:00:00,2024-10-06 16:00:00,DEV_001,67,22,80,2
DEV_001_2024-10-06 20:00:00,2024-10-06 20:00:00,DEV_001,86,3,99,90
DEV_001_2024-10-07 00:00:00,2024-10-07 00:00:00,DEV_001,36,41,81,3
DEV_001_2024-10-07 04:00:00,2024-10-07 04:00:00,DEV_001,65,78,81,84
DEV_001_2024-10-07 08:00:00,2024-10-07 08:00:00,DEV_001,90,27,54,77
DEV_001_2024-10-07 12:00:00,2024-10-07 12:00:00,DEV_001,42,32,43,34
DEV_001_2024-10-07 16:00:00,2024-10-07 16:00:00,DEV_001,54,2,77,7
DEV_001_2024-10-07 20:00:00,2024-10-07 20:00:00,DEV_001,2,74,73,79
DEV_001_2024-10-08 00:00:00,2024-10-08 00:00:00,DEV_001,5,54,49,80
DEV_001_2024-10-08 04:00:00,2024-10-08 04:00:00,DEV_001,56,62,31,49
DEV_001_2024-10-08 08:00:00,2024-10-08 08:00:00,DEV_001,60,19,45,94
DEV_001_2024-10-08 12:00:00,2024-10-08 12:00:00,DEV_001,33,46,32,66
DEV_001_2024-10-08 16:00:00,2024-10-08 16:00:00,DEV_001,43,99,66,79
DEV_001_2024-10-08 20:00:00,2024-10-08 20:00:00,DEV_001,1,44,90,16
DEV_001_2024-10-09 00:00:00,2024-10-09 00:00:00,DEV_001,25,82,36,49
DEV_001_2024-10-09 04:00:00,2024-10-09 04:00:00,DEV_001,35,37,12,55
DEV_001_2024-10-09 08:00:00,2024-10-09 08:00:00,DEV_001,8,37,62,4
DEV_001_2024-10-09 12:00:00,2024-10-09 12:00:00,DEV_001,9,69,99,58
DEV_001_2024-10-09 16:00:00,2024-10-09 16:00:00,DEV_001,32,46,78,73
DEV_001_2024-10-09 20:00:00,2024-10-09 20:00:00,DEV_001,62,44,72,11
DEV_001_2024-10-10 00:00:00,2024-10-10 00:00:00,DEV_001,15,11,50,23
DEV_001_2024-10-10 04:00:00,2024-10-10 04:00:00,DEV_001,99,4,90,74
DEV_001_2024-10-10 08:00:00,2024-10-10 08:00:00,DEV_001,77,74,29,49
DEV_001_2024-10-10 12:00:00,2024-10-10 12:00:00,DEV_001,11,17,55,69
DEV_001_2024-10-10 16:00:00,2024-10-10 16:00:00,DEV_001,10,28,71,8
DEV_001_2024-10-10 20:00:00,2024-10-10 20:00:00,DEV_001,66,86,58,17
DEV_001_2024-10-11 00:00:00,2024-10-11 00:00:00,DEV_001,97,79,67,93
DEV_001_2024-10-11 04:00:00,2024-10-11 04:00:00,DEV_001,5,75,20,66
DEV_001_2024-10-11 08:00:00,2024-10-11 08:00:00,DEV_001,12,23,82,32
DEV_001_2024-10-11 12:00:00,2024-10-11 12:00:00,DEV_001,52,12,65,6
DEV_001_2024-10-11 16:00:00,2024-10-11 16:00:00,DEV_001,72,83,89,79
DEV_001_2024-10-11 20:00:00,2024-10-11 20:00:00,DEV_001,34,29,39,33
DEV_001_2024-10-12 00:00:00,2024-10-12 00:00:00,DEV_001,85,47,71,36
DEV_001_2024-10-12 04:00:00,2024-10-12 04:00:00,DEV_001,68,45,52,37
DEV_001_2024-10-12 08:00:00,2024-10-12 08:00:00,DEV_001,41,9,58,36
DEV_001_2024-10-12 12:00:00,2024-10-12 12:00:00,DEV_001,19,24,89,57
DEV_001_2024-10-12 16:00:00,2024-10-12 16:00:00,DEV_001,92,70,86,11
DEV_001_2024-10-12 20:00:00,2024-10-12 20:00:00,DEV_001,77,49,92,7
DEV_001_2024-10-13 00:00:00,2024-10-13 00:00:00,DEV_001,85,37,86,96
DEV_001_2024-10-13 04:00:00,2024-10-13 04:00:00,DEV_001,35,19,5,99
DEV_001_2024-10-13 08:00:00,2024-10-13 08:00:00,DEV_001,90,31,79,84
DEV_001_2024-10-13 12:00:00,2024-10-13 12:00:00,DEV_001,16,25,58,62
DEV_001_2024-10-13 16:00:00,2024-10-13 16:00:00,DEV_001,62,97,32,72
DEV_001_2024-10-13 20:00:00,2024-10-13 20:00:00,DEV_001,52,49,75,99
DEV_001_2024-10-14 00:00:00,2024-10-14 00:00:00,DEV_001,79,40,91,10
DEV_001_2024-10-14 04:00:00,2024-10-14 04:00:00,DEV_001,94,72,40,39
DEV_001_2024-10-14 08:00:00,2024-10-14 08:00:00,DEV_001,57,72,94,47
DEV_001_2024-10-14 12:00:00,2024-10-14 12:00:00,DEV_001,19,11,40,18
DEV_001_2024-10-14 16:00:00,2024-10-14 16:00:00,DEV_001,48,7,90,38
DEV_001_2024-10-14 20:00:00,2024-10-14 20:00:00,DEV_001,90,87,13,86
DEV_001_2024-10-15 00:00:00,2024-10-15 00:00:00,DEV_001,46,22,92,98
DEV_001_2024-10-15 04:00:00,2024-10-15 04:00:00,DEV_001,69,41,11,87
DEV_001_2024-10-15 08:00:00,2024-10-15 08:00:00,DEV_001,74,44,32,63
DEV_001_2024-10-15 12:00:00,2024-10-15 12:00:00,DEV_001,72,29,37,48
DEV_001_2024-10-15 16:00:00,2024-10-15 16:00:00,DEV_001,61,8,59,11
DEV_001_2024-10-15 20:00:00,2024-10-15 20:00:00,DEV_001,12,81,75,66
DEV_001_2024-10-16 00:00:00,2024-10-16 00:00:00,DEV_001,32,99,23,19
DEV_001_2024-10-16 04:00:00,2024-10-16 04:00:00,DEV_001,27,96,23,64
DEV_001_2024-10-16 08:00:00,2024-10-16 08:00:00,DEV_001,31,68,48,37
DEV_001_2024-10-16 12:00:00,2024-10-16 12:00:00,DEV_001,44,47,59,83
DEV_001_2024-10-16 16:00:00,2024-10-16 16:00:00,DEV_001,79,75,21,74
DEV_001_2024-10-16 20:00:00,2024-10-16 20:00:00,DEV_001,44,32,85,81
DEV_001_2024-10-17 00:00:00,2024-10-17 00:00:00,DEV_001,5,19,61,92
DEV_001_2024-10-17 04:00:00,2024-10-17 04:00:00,DEV_001,88,37,30,37
DEV_001_2024-10-17 08:00:00,2024-10-17 08:00:00,DEV_001,91,94,82,34
DEV_001_2024-10-17 12:00:00,2024-10-17 12:00:00,DEV_001,36,21,29,12
DEV_001_2024-10-17 16:00:00,2024-10-17 16:00:00,DEV_001,76,94,81,93
DEV_001_2024-10-17 20:00:00,2024-10-17 20:00:00,DEV_001,41,23,56,82
DEV_001_2024-10-18 00:00:00,2024-10-18 00:00:00,DEV_001,84,16,36,72
DEV_001_2024-10-18 04:00:00,2024-10-18 04:00:00,DEV_001,86,41,76,28
DEV_001_2024-10-18 08:00:00,2024-10-18 08:00:00,DEV_001,11,78,1,70
DEV_001_2024-10-18 12:00:00,2024-10-18 12:00:00,DEV_001,50,59,28,45
DEV_001_2024-10-18 16:00:00,2024-10-18 16:00:00,DEV_001,48,35,43,94
DEV_001_2024-10-18 20:00:00,2024-10-18 20:00:00,DEV_001,27,23,56,44
DEV_001_2024-10-19 00:00:00,2024-10-19 00:00:00,DEV_001,23,57,91,52
DEV_001_2024-10-19 04:00:00,2024-10-19 04:00:00,DEV_001,42,58,52,61
DEV_001_2024-10-19 08:00:00,2024-10-19 08:00:00,DEV_001,98,78,4,36
DEV_001_2024-10-19 12:00:00,2024-10-19 12:00:00,DEV_001,86,65,21,7
DEV_001_2024-10-19 16:00:00,2024-10-19 16:00:00,DEV_001,78,17,37,45
DEV_001_2024-10-19 20:00:00,2024-10-19 20:00:00,DEV_001,86,71,95,76
DEV_001_2024-10-20 00:00:00,2024-10-20 00:00:00,DEV_001,46,13,11,72
DEV_001_2024-10-20 04:00:00,2024-10-20 04:00:00,DEV_001,72,15,10,54
DEV_001_2024-10-20 08:00:00,2024-10-20 08:00:00,DEV_001,57,45,10,25
DEV_001_2024-10-20 12:00:00,2024-10-20 12:00:00,DEV_001,64,67,31,43
DEV_001_2024-10-20 16:00:00,2024-10-20 16:00:00,DEV_001,4,32,42,68
DEV_001_2024-10-20 20:00:00,2024-10-20 20:00:00,DEV_001,9,27,28,32
DEV_001_2024-10-21 00:00:00,2024-10-21 00:00:00,DEV_001,88,94,67,57
DEV_001_2024-10-21 04:00:00,2024-10-21 04:00:00,DEV_001,51,75,64,55
