distid,createdts,sn,wifi_ap_band_info_band_id,wifi_ap_band_info_channel,wifi_ap_band_info_wifi_name,wifi_ap_band_info_bssid
DEV_001_2024-09-06 00:00:00,2024-09-06 00:00:00,DEV_001,5G,46,37,b4:38:17:18:d1:3f
DEV_001_2024-09-06 04:00:00,2024-09-06 04:00:00,DEV_001,5G,60,34,68:88:a9:74:b7:74
DEV_001_2024-09-06 08:00:00,2024-09-06 08:00:00,DEV_001,5G_guest,67,77,34:58:90:86:95:d2
DEV_001_2024-09-06 12:00:00,2024-09-06 12:00:00,DEV_001,5G,92,2,ba:26:c3:07:a5:6f
DEV_001_2024-09-06 16:00:00,2024-09-06 16:00:00,DEV_001,6G_guest,83,2,a5:5f:10:41:46:67
DEV_001_2024-09-06 20:00:00,2024-09-06 20:00:00,DEV_001,6G,25,10,94:74:ca:8b:eb:ad
DEV_001_2024-09-07 00:00:00,2024-09-07 00:00:00,DEV_001,2.4G,31,65,68:7d:1e:3f:a4:94
DEV_001_2024-09-07 04:00:00,2024-09-07 04:00:00,DEV_001,5G_guest,70,43,72:53:6b:ec:42:ed
DEV_001_2024-09-07 08:00:00,2024-09-07 08:00:00,DEV_001,6G_guest,91,16,cb:89:da:43:79:01
DEV_001_2024-09-07 12:00:00,2024-09-07 12:00:00,DEV_001,6G,45,36,22:a2:4e:df:18:a3
DEV_001_2024-09-07 16:00:00,2024-09-07 16:00:00,DEV_001,6G_iptv,98,70,a3:3d:40:ac:4b:b7
DEV_001_2024-09-07 20:00:00,2024-09-07 20:00:00,DEV_001,5G_iptv,62,22,37:56:77:7e:22:47
DEV_001_2024-09-08 00:00:00,2024-09-08 00:00:00,DEV_001,5G,31,68,5b:0c:bd:32:f4:33
DEV_001_2024-09-08 04:00:00,2024-09-08 04:00:00,DEV_001,5G_guest,15,60,20:ed:ba:53:05:f0
DEV_001_2024-09-08 08:00:00,2024-09-08 08:00:00,DEV_001,6G_iptv,7,4,c9:9f:43:7d:2d:0a
DEV_001_2024-09-08 12:00:00,2024-09-08 12:00:00,DEV_001,5G,98,91,2d:05:48:4d:45:cf
DEV_001_2024-09-08 16:00:00,2024-09-08 16:00:00,DEV_001,6G,11,61,9e:ea:28:07:4e:50
DEV_001_2024-09-08 20:00:00,2024-09-08 20:00:00,DEV_001,5G,86,73,8f:b2:55:b1:07:77
DEV_001_2024-09-09 00:00:00,2024-09-09 00:00:00,DEV_001,6G_iptv,85,81,b2:03:9f:94:4b:ab
DEV_001_2024-09-09 04:00:00,2024-09-09 04:00:00,DEV_001,6G,89,76,a4:5a:de:5a:b6:4a
DEV_001_2024-09-09 08:00:00,2024-09-09 08:00:00,DEV_001,2.4G,45,26,a4:87:a5:72:dd:99
DEV_001_2024-09-09 12:00:00,2024-09-09 12:00:00,DEV_001,6G_iptv,82,35,86:ef:f7:a1:37:fc
DEV_001_2024-09-09 16:00:00,2024-09-09 16:00:00,DEV_001,5G,27,97,69:91:e4:0f:68:d7
DEV_001_2024-09-09 20:00:00,2024-09-09 20:00:00,DEV_001,6G_guest,44,5,50:5f:e6:87:79:6b
DEV_001_2024-09-10 00:00:00,2024-09-10 00:00:00,DEV_001,6G,55,38,be:81:f4:38:fe:1c
DEV_001_2024-09-10 04:00:00,2024-09-10 04:00:00,DEV_001,6G,13,87,ca:5a:8c:23:37:36
DEV_001_2024-09-10 08:00:00,2024-09-10 08:00:00,DEV_001,5G_guest,89,45,e4:2b:b6:2f:12:a5
DEV_001_2024-09-10 12:00:00,2024-09-10 12:00:00,DEV_001,6G_iptv,39,56,1a:d6:f3:b1:e3:eb
DEV_001_2024-09-10 16:00:00,2024-09-10 16:00:00,DEV_001,5G_iptv,61,77,77:78:91:93:71:e1
DEV_001_2024-09-10 20:00:00,2024-09-10 20:00:00,DEV_001,6G,91,56,e0:74:30:ef:a0:d5
DEV_001_2024-09-11 00:00:00,2024-09-11 00:00:00,DEV_001,2.4G,28,36,25:25:91:3b:e1:e6
DEV_001_2024-09-11 04:00:00,2024-09-11 04:00:00,DEV_001,5G_guest,51,38,3f:b7:3a:80:b2:35
DEV_001_2024-09-11 08:00:00,2024-09-11 08:00:00,DEV_001,5G_iptv,39,57,38:da:9d:c8:b6:d8
DEV_001_2024-09-11 12:00:00,2024-09-11 12:00:00,DEV_001,5G_guest,56,88,c6:df:ea:c0:b8:6c
DEV_001_2024-09-11 16:00:00,2024-09-11 16:00:00,DEV_001,6G_iptv,30,59,17:22:d5:45:49:86
DEV_001_2024-09-11 20:00:00,2024-09-11 20:00:00,DEV_001,6G_guest,54,67,b5:be:b1:df:a0:6c
DEV_001_2024-09-12 00:00:00,2024-09-12 00:00:00,DEV_001,5G,10,33,ab:4a:7a:d9:a4:7c
DEV_001_2024-09-12 04:00:00,2024-09-12 04:00:00,DEV_001,6G_iptv,22,13,58:84:3d:8f:ab:a9
DEV_001_2024-09-12 08:00:00,2024-09-12 08:00:00,DEV_001,5G,25,54,39:4a:e3:3b:f9:43
DEV_001_2024-09-12 12:00:00,2024-09-12 12:00:00,DEV_001,6G,59,63,fa:38:79:0a:eb:20
DEV_001_2024-09-12 16:00:00,2024-09-12 16:00:00,DEV_001,6G_guest,73,45,e6:f9:8f:37:4b:3e
DEV_001_2024-09-12 20:00:00,2024-09-12 20:00:00,DEV_001,6G_iptv,88,53,29:32:a2:7a:ed:ac
DEV_001_2024-09-13 00:00:00,2024-09-13 00:00:00,DEV_001,5G_iptv,12,62,9a:1e:8d:6f:24:ee
DEV_001_2024-09-13 04:00:00,2024-09-13 04:00:00,DEV_001,6G_guest,25,15,18:a1:cc:6c:02:7c
DEV_001_2024-09-13 08:00:00,2024-09-13 08:00:00,DEV_001,6G,55,36,ec:42:7f:7d:b2:d3
DEV_001_2024-09-13 12:00:00,2024-09-13 12:00:00,DEV_001,6G,23,8,b2:b4:86:d7:47:d7
DEV_001_2024-09-13 16:00:00,2024-09-13 16:00:00,DEV_001,6G_iptv,24,32,98:a2:54:48:cb:34
DEV_001_2024-09-13 20:00:00,2024-09-13 20:00:00,DEV_001,6G_iptv,32,57,c2:7f:49:e3:18:65
DEV_001_2024-09-14 00:00:00,2024-09-14 00:00:00,DEV_001,5G_guest,34,80,20:d4:ac:76:88:7c
DEV_001_2024-09-14 04:00:00,2024-09-14 04:00:00,DEV_001,6G_iptv,39,6,0a:d5:db:39:b7:e2
DEV_001_2024-09-14 08:00:00,2024-09-14 08:00:00,DEV_001,6G_guest,29,55,73:2e:c1:fd:4b:8c
DEV_001_2024-09-14 12:00:00,2024-09-14 12:00:00,DEV_001,6G,65,1,b5:05:1f:59:5b:c0
DEV_001_2024-09-14 16:00:00,2024-09-14 16:00:00,DEV_001,5G_iptv,48,42,4d:12:a5:2c:c1:2b
DEV_001_2024-09-14 20:00:00,2024-09-14 20:00:00,DEV_001,6G_guest,32,41,d7:71:63:8f:c4:3f
DEV_001_2024-09-15 00:00:00,2024-09-15 00:00:00,DEV_001,6G_iptv,85,13,fe:12:fb:eb:04:e3
DEV_001_2024-09-15 04:00:00,2024-09-15 04:00:00,DEV_001,6G_guest,1,57,3a:cf:6e:93:74:d1
DEV_001_2024-09-15 08:00:00,2024-09-15 08:00:00,DEV_001,6G,25,93,50:9b:5a:0f:39:21
DEV_001_2024-09-15 12:00:00,2024-09-15 12:00:00,DEV_001,6G,50,7,8d:22:fe:67:67:d3
DEV_001_2024-09-15 16:00:00,2024-09-15 16:00:00,DEV_001,5G,5,94,d0:08:90:91:6e:86
DEV_001_2024-09-15 20:00:00,2024-09-15 20:00:00,DEV_001,6G_iptv,49,8,ec:fa:b7:a6:c7:08
DEV_001_2024-09-16 00:00:00,2024-09-16 00:00:00,DEV_001,2.4G,76,66,e9:5f:ae:1a:a7:75
DEV_001_2024-09-16 04:00:00,2024-09-16 04:00:00,DEV_001,2.4G,33,78,73:15:32:b6:a1:5d
DEV_001_2024-09-16 08:00:00,2024-09-16 08:00:00,DEV_001,6G_guest,68,14,56:ca:1f:d7:5b:60
DEV_001_2024-09-16 12:00:00,2024-09-16 12:00:00,DEV_001,5G_iptv,16,71,b4:a0:1e:01:9a:fd
DEV_001_2024-09-16 16:00:00,2024-09-16 16:00:00,DEV_001,6G,42,64,de:53:b6:31:98:54
DEV_001_2024-09-16 20:00:00,2024-09-16 20:00:00,DEV_001,6G_iptv,45,52,07:1e:e0:50:70:ae
DEV_001_2024-09-17 00:00:00,2024-09-17 00:00:00,DEV_001,5G_guest,32,59,ac:6c:55:f3:63:39
DEV_001_2024-09-17 04:00:00,2024-09-17 04:00:00,DEV_001,6G,22,39,5b:16:13:ca:fc:74
DEV_001_2024-09-17 08:00:00,2024-09-17 08:00:00,DEV_001,5G_iptv,98,58,90:d7:bd:a4:e2:5e
DEV_001_2024-09-17 12:00:00,2024-09-17 12:00:00,DEV_001,6G_iptv,81,72,3f:92:0f:70:d6:a9
DEV_001_2024-09-17 16:00:00,2024-09-17 16:00:00,DEV_001,5G_iptv,19,9,46:99:27:27:35:83
DEV_001_2024-09-17 20:00:00,2024-09-17 20:00:00,DEV_001,5G_iptv,83,32,17:ee:3f:45:aa:ec
DEV_001_2024-09-18 00:00:00,2024-09-18 00:00:00,DEV_001,6G_guest,42,96,83:6d:32:50:55:cf
DEV_001_2024-09-18 04:00:00,2024-09-18 04:00:00,DEV_001,5G_iptv,57,63,5a:01:46:d0:8c:84
DEV_001_2024-09-18 08:00:00,2024-09-18 08:00:00,DEV_001,6G_guest,26,7,81:40:47:d3:f4:59
DEV_001_2024-09-18 12:00:00,2024-09-18 12:00:00,DEV_001,5G_iptv,22,19,bb:1e:b3:8c:43:3e
DEV_001_2024-09-18 16:00:00,2024-09-18 16:00:00,DEV_001,6G_iptv,9,69,f6:7a:55:9e:24:4e
DEV_001_2024-09-18 20:00:00,2024-09-18 20:00:00,DEV_001,6G_iptv,33,85,a9:f3:ca:9a:c4:06
DEV_001_2024-09-19 00:00:00,2024-09-19 00:00:00,DEV_001,5G,26,14,d3:53:23:23:4d:06
DEV_001_2024-09-19 04:00:00,2024-09-19 04:00:00,DEV_001,6G_iptv,15,58,c3:7a:ec:ee:94:cc
DEV_001_2024-09-19 08:00:00,2024-09-19 08:00:00,DEV_001,5G_guest,65,86,7f:e2:45:65:ad:c1
DEV_001_2024-09-19 12:00:00,2024-09-19 12:00:00,DEV_001,6G,86,79,f2:34:8c:e5:4d:10
DEV_001_2024-09-19 16:00:00,2024-09-19 16:00:00,DEV_001,6G_iptv,40,50,26:ba:1d:96:8c:04
DEV_001_2024-09-19 20:00:00,2024-09-19 20:00:00,DEV_001,6G_guest,13,74,4f:c2:fd:60:d8:fc
DEV_001_2024-09-20 00:00:00,2024-09-20 00:00:00,DEV_001,5G_guest,41,2,35:0a:dd:7f:61:24
DEV_001_2024-09-20 04:00:00,2024-09-20 04:00:00,DEV_001,5G_guest,32,38,b0:a4:f0:04:33:b3
DEV_001_2024-09-20 08:00:00,2024-09-20 08:00:00,DEV_001,2.4G,26,76,5c:32:d9:37:c9:b2
DEV_001_2024-09-20 12:00:00,2024-09-20 12:00:00,DEV_001,6G_iptv,40,54,5c:70:74:75:87:b7
DEV_001_2024-09-20 16:00:00,2024-09-20 16:00:00,DEV_001,6G_iptv,32,40,f1:7e:64:95:d8:69
DEV_001_2024-09-20 20:00:00,2024-09-20 20:00:00,DEV_001,5G,83,14,ba:8e:4a:ec:6a:ce
DEV_001_2024-09-21 00:00:00,2024-09-21 00:00:00,DEV_001,2.4G,41,82,0b:34:34:8a:5c:43
DEV_001_2024-09-21 04:00:00,2024-09-21 04:00:00,DEV_001,6G_guest,55,68,c4:50:a1:3f:9c:be
DEV_001_2024-09-21 08:00:00,2024-09-21 08:00:00,DEV_001,5G_iptv,13,73,7b:ef:84:f5:9e:14
DEV_001_2024-09-21 12:00:00,2024-09-21 12:00:00,DEV_001,6G,97,87,96:b9:e4:bb:f9:60
DEV_001_2024-09-21 16:00:00,2024-09-21 16:00:00,DEV_001,5G,89,87,da:74:78:1a:8b:5f
DEV_001_2024-09-21 20:00:00,2024-09-21 20:00:00,DEV_001,6G_guest,33,40,7c:51:71:89:ba:41
DEV_001_2024-09-22 00:00:00,2024-09-22 00:00:00,DEV_001,6G,54,43,14:9e:20:de:23:b4
DEV_001_2024-09-22 04:00:00,2024-09-22 04:00:00,DEV_001,6G_guest,85,87,92:de:77:f0:cb:fd
DEV_001_2024-09-22 08:00:00,2024-09-22 08:00:00,DEV_001,5G,40,10,da:f1:e6:2f:17:8b
DEV_001_2024-09-22 12:00:00,2024-09-22 12:00:00,DEV_001,5G_guest,39,7,8f:e6:08:32:0c:db
DEV_001_2024-09-22 16:00:00,2024-09-22 16:00:00,DEV_001,6G_iptv,80,56,bc:ad:54:da:f7:dc
DEV_001_2024-09-22 20:00:00,2024-09-22 20:00:00,DEV_001,5G,27,55,bf:ee:26:15:27:e9
DEV_001_2024-09-23 00:00:00,2024-09-23 00:00:00,DEV_001,5G_guest,53,86,eb:7d:ac:6e:6f:8a
DEV_001_2024-09-23 04:00:00,2024-09-23 04:00:00,DEV_001,5G,7,59,b3:dd:fc:bd:93:e5
DEV_001_2024-09-23 08:00:00,2024-09-23 08:00:00,DEV_001,2.4G,11,79,f2:61:8e:d2:57:d5
DEV_001_2024-09-23 12:00:00,2024-09-23 12:00:00,DEV_001,6G_guest,14,51,d7:c4:5b:32:02:f2
DEV_001_2024-09-23 16:00:00,2024-09-23 16:00:00,DEV_001,6G,40,54,2c:c2:5c:d9:c5:8d
DEV_001_2024-09-23 20:00:00,2024-09-23 20:00:00,DEV_001,6G_guest,12,35,25:45:f8:e6:d0:65
DEV_001_2024-09-24 00:00:00,2024-09-24 00:00:00,DEV_001,2.4G,54,4,49:9f:59:4c:84:a3
DEV_001_2024-09-24 04:00:00,2024-09-24 04:00:00,DEV_001,6G_iptv,33,18,c5:60:6d:c9:13:2f
DEV_001_2024-09-24 08:00:00,2024-09-24 08:00:00,DEV_001,2.4G,83,18,04:f3:ea:fe:47:51
DEV_001_2024-09-24 12:00:00,2024-09-24 12:00:00,DEV_001,6G,46,78,87:16:99:81:8a:00
DEV_001_2024-09-24 16:00:00,2024-09-24 16:00:00,DEV_001,5G_iptv,82,53,4f:e3:e7:e1:2f:25
DEV_001_2024-09-24 20:00:00,2024-09-24 20:00:00,DEV_001,5G_iptv,39,83,15:6a:8f:0d:da:96
DEV_001_2024-09-25 00:00:00,2024-09-25 00:00:00,DEV_001,5G,1,58,bd:91:ca:48:b8:1a
DEV_001_2024-09-25 04:00:00,2024-09-25 04:00:00,DEV_001,6G_guest,14,42,59:7e:3c:35:be:f4
DEV_001_2024-09-25 08:00:00,2024-09-25 08:00:00,DEV_001,6G,56,35,d6:07:77:c1:cf:70
DEV_001_2024-09-25 12:00:00,2024-09-25 12:00:00,DEV_001,6G,56,5,9a:66:55:14:d0:b6
DEV_001_2024-09-25 16:00:00,2024-09-25 16:00:00,DEV_001,6G_iptv,89,43,16:dd:63:1f:ad:fb
DEV_001_2024-09-25 20:00:00,2024-09-25 20:00:00,DEV_001,6G_guest,65,53,cb:96:04:3c:cd:7b
DEV_001_2024-09-26 00:00:00,2024-09-26 00:00:00,DEV_001,5G_iptv,13,21,da:32:1a:a0:e7:bf
DEV_001_2024-09-26 04:00:00,2024-09-26 04:00:00,DEV_001,6G_iptv,96,29,91:0d:30:1e:c8:89
DEV_001_2024-09-26 08:00:00,2024-09-26 08:00:00,DEV_001,6G_guest,48,56,41:b7:27:39:7d:b5
DEV_001_2024-09-26 12:00:00,2024-09-26 12:00:00,DEV_001,5G,39,11,4a:9f:24:80:d6:5e
DEV_001_2024-09-26 16:00:00,2024-09-26 16:00:00,DEV_001,6G_guest,88,30,ba:7c:95:cd:1c:fe
DEV_001_2024-09-26 20:00:00,2024-09-26 20:00:00,DEV_001,2.4G,20,50,90:fe:e7:f1:f2:08
DEV_001_2024-09-27 00:00:00,2024-09-27 00:00:00,DEV_001,6G_iptv,43,69,ed:14:00:ae:a6:d8
DEV_001_2024-09-27 04:00:00,2024-09-27 04:00:00,DEV_001,5G_iptv,77,17,b7:26:37:d1:bb:09
DEV_001_2024-09-27 08:00:00,2024-09-27 08:00:00,DEV_001,6G,25,89,1d:98:ee:91:40:d3
DEV_001_2024-09-27 12:00:00,2024-09-27 12:00:00,DEV_001,5G_iptv,8,65,2a:23:77:ad:97:cd
DEV_001_2024-09-27 16:00:00,2024-09-27 16:00:00,DEV_001,5G_guest,50,79,2c:af:db:87:86:cb
DEV_001_2024-09-27 20:00:00,2024-09-27 20:00:00,DEV_001,5G_guest,18,47,bc:7a:e3:eb:73:ed
DEV_001_2024-09-28 00:00:00,2024-09-28 00:00:00,DEV_001,5G,69,14,76:f8:2c:45:d3:74
DEV_001_2024-09-28 04:00:00,2024-09-28 04:00:00,DEV_001,6G_guest,80,76,f9:a2:0f:6a:d2:35
DEV_001_2024-09-28 08:00:00,2024-09-28 08:00:00,DEV_001,5G_guest,93,45,77:ce:b5:aa:e9:95
DEV_001_2024-09-28 12:00:00,2024-09-28 12:00:00,DEV_001,2.4G,87,80,94:36:f0:12:b5:0a
DEV_001_2024-09-28 16:00:00,2024-09-28 16:00:00,DEV_001,5G_iptv,76,36,9b:93:e4:bc:68:98
DEV_001_2024-09-28 20:00:00,2024-09-28 20:00:00,DEV_001,5G_guest,62,29,d2:85:b6:40:5a:86
DEV_001_2024-09-29 00:00:00,2024-09-29 00:00:00,DEV_001,6G_guest,34,29,09:e8:bf:e2:ee:97
DEV_001_2024-09-29 04:00:00,2024-09-29 04:00:00,DEV_001,2.4G,8,10,c6:4c:48:1b:34:51
DEV_001_2024-09-29 08:00:00,2024-09-29 08:00:00,DEV_001,5G_iptv,57,91,99:85:92:83:6b:c8
DEV_001_2024-09-29 12:00:00,2024-09-29 12:00:00,DEV_001,5G,39,46,20:4c:ac:b6:4c:ab
DEV_001_2024-09-29 16:00:00,2024-09-29 16:00:00,DEV_001,2.4G,92,78,f4:7b:5f:fb:80:b4
DEV_001_2024-09-29 20:00:00,2024-09-29 20:00:00,DEV_001,6G,83,55,3d:8c:a2:78:ba:12
DEV_001_2024-09-30 00:00:00,2024-09-30 00:00:00,DEV_001,6G_guest,7,57,3e:cb:d3:41:89:e7
DEV_001_2024-09-30 04:00:00,2024-09-30 04:00:00,DEV_001,6G_guest,71,11,6b:1e:7e:57:8f:6f
DEV_001_2024-09-30 08:00:00,2024-09-30 08:00:00,DEV_001,6G_iptv,83,83,d2:2c:4f:6c:41:5f
DEV_001_2024-09-30 12:00:00,2024-09-30 12:00:00,DEV_001,5G,11,97,9e:6b:ae:70:ab:89
DEV_001_2024-09-30 16:00:00,2024-09-30 16:00:00,DEV_001,5G_guest,41,96,61:5b:b5:69:63:36
DEV_001_2024-09-30 20:00:00,2024-09-30 20:00:00,DEV_001,6G,82,70,fa:22:65:e4:46:c1
DEV_001_2024-10-01 00:00:00,2024-10-01 00:00:00,DEV_001,6G_guest,93,15,a7:6f:4a:c1:25:0f
DEV_001_2024-10-01 04:00:00,2024-10-01 04:00:00,DEV_001,6G_iptv,32,44,df:9b:fe:e4:04:cd
DEV_001_2024-10-01 08:00:00,2024-10-01 08:00:00,DEV_001,6G_guest,39,6,0b:0f:58:72:67:48
DEV_001_2024-10-01 12:00:00,2024-10-01 12:00:00,DEV_001,6G_iptv,1,51,ed:90:70:fe:c4:ad
DEV_001_2024-10-01 16:00:00,2024-10-01 16:00:00,DEV_001,5G_guest,51,45,a5:22:99:4b:d1:7c
DEV_001_2024-10-01 20:00:00,2024-10-01 20:00:00,DEV_001,5G,34,61,f3:3e:85:b5:03:e1
DEV_001_2024-10-02 00:00:00,2024-10-02 00:00:00,DEV_001,5G_iptv,47,70,3e:df:1c:ae:5e:be
DEV_001_2024-10-02 04:00:00,2024-10-02 04:00:00,DEV_001,5G,70,74,77:f9:e4:c7:99:77
DEV_001_2024-10-02 08:00:00,2024-10-02 08:00:00,DEV_001,5G_guest,97,93,29:f0:12:89:86:94
DEV_001_2024-10-02 12:00:00,2024-10-02 12:00:00,DEV_001,6G_guest,84,47,a6:6d:76:9f:58:47
DEV_001_2024-10-02 16:00:00,2024-10-02 16:00:00,DEV_001,2.4G,6,43,7a:b4:65:bc:b7:cd
DEV_001_2024-10-02 20:00:00,2024-10-02 20:00:00,DEV_001,5G,62,73,90:21:36:b6:13:57
DEV_001_2024-10-03 00:00:00,2024-10-03 00:00:00,DEV_001,6G,19,59,36:97:3c:b6:b2:5e
DEV_001_2024-10-03 04:00:00,2024-10-03 04:00:00,DEV_001,5G,1,37,d0:33:a6:d2:c4:ea
DEV_001_2024-10-03 08:00:00,2024-10-03 08:00:00,DEV_001,6G_iptv,61,90,73:48:52:14:77:81
DEV_001_2024-10-03 12:00:00,2024-10-03 12:00:00,DEV_001,6G_iptv,33,8,5a:94:13:29:32:a6
DEV_001_2024-10-03 16:00:00,2024-10-03 16:00:00,DEV_001,5G,88,71,fb:0c:2e:f3:ab:46
DEV_001_2024-10-03 20:00:00,2024-10-03 20:00:00,DEV_001,6G_iptv,71,50,ec:51:ac:57:3c:58
DEV_001_2024-10-04 00:00:00,2024-10-04 00:00:00,DEV_001,6G_guest,14,70,2e:c5:8a:d3:52:7d
DEV_001_2024-10-04 04:00:00,2024-10-04 04:00:00,DEV_001,2.4G,48,60,39:fb:a4:36:4d:13
DEV_001_2024-10-04 08:00:00,2024-10-04 08:00:00,DEV_001,5G_guest,32,71,63:8b:3c:88:fd:62
DEV_001_2024-10-04 12:00:00,2024-10-04 12:00:00,DEV_001,2.4G,48,27,e6:cb:9e:7a:0a:0e
DEV_001_2024-10-04 16:00:00,2024-10-04 16:00:00,DEV_001,5G_iptv,53,95,8f:90:84:69:b8:a7
DEV_001_2024-10-04 20:00:00,2024-10-04 20:00:00,DEV_001,6G_guest,80,74,ce:8d:7e:99:2b:2f
DEV_001_2024-10-05 00:00:00,2024-10-05 00:00:00,DEV_001,6G_guest,33,11,1c:07:97:19:94:1a
DEV_001_2024-10-05 04:00:00,2024-10-05 04:00:00,DEV_001,5G_guest,60,39,3d:86:92:50:c0:51
DEV_001_2024-10-05 08:00:00,2024-10-05 08:00:00,DEV_001,2.4G,69,31,16:17:b3:68:9a:c1
DEV_001_2024-10-05 12:00:00,2024-10-05 12:00:00,DEV_001,6G_guest,49,17,6b:88:b9:80:e6:4b
DEV_001_2024-10-05 16:00:00,2024-10-05 16:00:00,DEV_001,5G_iptv,48,17,21:cb:72:5a:e6:fc
DEV_001_2024-10-05 20:00:00,2024-10-05 20:00:00,DEV_001,5G_iptv,30,98,2e:ae:ce:f1:e6:b9
DEV_001_2024-10-06 00:00:00,2024-10-06 00:00:00,DEV_001,5G_guest,89,8,0c:dc:de:e3:e6:6a
DEV_001_2024-10-06 04:00:00,2024-10-06 04:00:00,DEV_001,5G,31,84,c2:5d:dc:9e:a1:b1
DEV_001_2024-10-06 08:00:00,2024-10-06 08:00:00,DEV_001,5G_iptv,23,74,45:12:98:b9:d0:9b
DEV_001_2024-10-06 12:00:00,2024-10-06 12:00:00,DEV_001,2.4G,56,2,b3:a1:9b:38:2b:82
DEV_001_2024-10-06 16:00:00,2024-10-06 16:00:00,DEV_001,6G,82,92,6d:58:bb:87:75:05
DEV_001_2024-10-06 20:00:00,2024-10-06 20:00:00,DEV_001,6G_iptv,65,25,5e:b8:d8:fe:a3:28
DEV_001_2024-10-07 00:00:00,2024-10-07 00:00:00,DEV_001,5G,62,72,aa:70:f7:24:60:b6
DEV_001_2024-10-07 04:00:00,2024-10-07 04:00:00,DEV_001,6G_guest,81,28,88:fb:11:68:a1:06
DEV_001_2024-10-07 08:00:00,2024-10-07 08:00:00,DEV_001,2.4G,19,21,4a:00:e3:90:f2:6f
